County,State,Population,Suicides'16
Alleghany,NC,10848,1
Anson,NC,25448,5
Ashe,NC,26924,7
Avery,NC,17516,3
Beaufort,NC,47526,7
Bertie,NC,19854,2
Bladen,NC,33741,4
Brunswick,NC,126953,12
Buncombe,NC,256088,48
Burke,NC,88851,24
Cabarrus,NC,201590,20
Caldwell,NC,81449,17
Camden,NC,10418,4
Carteret,NC,68890,17
Caswell,NC,22910,3
Catawba,NC,156459,32
Chatham,NC,72243,11
Cherokee,NC,27905,5
Chowan,NC,14383,1
Clay,NC,10915,0
Cleveland,NC,97144,19
Columbus,NC,56505,9
Craven,NC,103445,11
Cumberland,NC,327127,50
Currituck,NC,25809,3
Dare,NC,35964,7
Davidson,NC,164926,31
Davie,NC,42013,11
Duplin,NC,58969,5
Durham,NC,306212,22
Edgecombe,NC,53318,5
Forsyth,NC,371511,43
Franklin,NC,64705,7
Gaston,NC,216965,38
Gates,NC,11478,1
Graham,NC,8558,1
Granville,NC,59031,8
Greene,NC,21168,5
Guilford,NC,521330,60
Halifax,NC,51766,5
Harnett,NC,130881,11
Haywood,NC,60682,13
Henderson,NC,114209,14
Hertford,NC,24136,6
Hoke,NC,53262,8
Hyde,NC,5517,-1
Iredell,NC,172916,31
Jackson,NC,42241,8
Johnston,NC,191450,23
Jones,NC,9845,0
Lee,NC,59616,10
Lenoir,NC,57307,6
Lincoln,NC,81168,14
McDowell,NC,45075,8
Macon,NC,34376,7
Madison,NC,21340,3
Martin,NC,23172,4
Mecklenburg,NC,1054835,105
Mitchell,NC,15126,5
Montgomery,NC,27418,5
Moore,NC,95776,13
Nash,NC,94005,12
NewHanover,NC,223483,31
Northampton,NC,20000,1
Onslow,NC,187136,38
Orange,NC,141796,15
Pamlico,NC,12821,5
Pasquotank,NC,39864,7
Pender,NC,59090,16
Perquimans,NC,13335,1
Person,NC,39284,7
Pitt,NC,177220,13
Polk,NC,20334,10
Randolph,NC,143416,26
Richmond,NC,44939,10
Robeson,NC,133235,10
Rockingham,NC,91393,11
Rowan,NC,139933,25
Rutherford,NC,66421,8
Sampson,NC,63124,6
Scotland,NC,35244,4
Stanly,NC,60791,8
Stokes,NC,46097,14
Surry,NC,72113,17
Swain,NC,14346,1
Transylvania,NC,33482,13
Tyrrell,NC,4141,-1
Union,NC,226606,26
Vance,NC,44244,5
Wake,NC,1046791,97
Warren,NC,19907,3
Washington,NC,12195,0
Watauga,NC,53922,2
Wayne,NC,124150,12
Wilkes,NC,68740,10
Wilson,NC,81661,8
Yadkin,NC,37532,3
Yancey,NC,17678,5
Adams,ND,2305,-1
Barnes,ND,10926,1
Benson,ND,6739,3
Billings,ND,934,-1
Bottineau,ND,6579,1
Bowman,ND,3241,-1
Burke,ND,2198,1
Burleigh,ND,94487,9
Cass,ND,175249,34
Cavalier,ND,3827,0
Dickey,ND,5064,-1
Divide,ND,2413,-1
Dunn,ND,4366,-1
Eddy,ND,2358,0
Emmons,ND,3346,1
Foster,ND,3303,-1
GoldenValley,ND,1817,-1
GrandForks,ND,71083,7
Grant,ND,2377,-1
Griggs,ND,2277,-1
Hettinger,ND,2629,-1
Kidder,ND,2414,-1
LaMoure,ND,4111,0
Logan,ND,1941,-1
McHenry,ND,5963,3
McIntosh,ND,2656,-1
McKenzie,ND,12621,1
McLean,ND,9729,2
Mercer,ND,8694,1
Morton,ND,30809,6
Mountrail,ND,10242,3
Nelson,ND,2960,-1
Oliver,ND,1870,-1
Pembina,ND,7069,1
Pierce,ND,4267,-1
Ramsey,ND,11547,2
Ransom,ND,5404,-1
Renville,ND,2550,-1
Richland,ND,16353,1
Rolette,ND,14659,5
Sargent,ND,3890,-1
Sheridan,ND,1322,-1
Sioux,ND,4469,3
Slope,ND,763,-1
Stark,ND,31199,7
Steele,ND,1962,-1
Stutsman,ND,21128,4
Towner,ND,2263,-1
Traill,ND,8030,-1
Walsh,ND,10904,4
Ward,ND,70210,15
Wells,ND,4098,2
Williams,ND,34337,5
Adams,OH,27907,2
Allen,OH,103742,15
Ashland,OH,53652,6
Ashtabula,OH,98231,19
Athens,OH,66186,10
Auglaize,OH,45894,6
Belmont,OH,68673,10
Brown,OH,43759,11
Butler,OH,377537,48
Carroll,OH,27669,6
Champaign,OH,38747,7
Clark,OH,134786,20
Clermont,OH,203022,30
Clinton,OH,41902,4
Columbiana,OH,103685,16
Coshocton,OH,36602,6
Crawford,OH,42083,9
Cuyahoga,OH,1249352,165
Darke,OH,51778,10
Defiance,OH,38158,7
Delaware,OH,196463,24
Erie,OH,75107,19
Fairfield,OH,152597,19
Fayette,OH,28676,5
Franklin,OH,1264518,140
Fulton,OH,42514,6
Gallia,OH,30015,4
Geauga,OH,94060,15
Greene,OH,164765,20
Guernsey,OH,39063,3
Hamilton,OH,809099,107
Hancock,OH,75872,4
Hardin,OH,31474,5
Harrison,OH,15307,5
Henry,OH,27629,3
Highland,OH,43029,12
Hocking,OH,28340,5
Holmes,OH,43936,3
Huron,OH,58439,9
Jackson,OH,32505,4
Jefferson,OH,66704,13
Knox,OH,60814,12
Lake,OH,228614,32
Lawrence,OH,60872,9
Licking,OH,172198,29
Logan,OH,45165,5
Lorain,OH,306365,45
Lucas,OH,432488,62
Madison,OH,43419,5
Mahoning,OH,230008,40
Marion,OH,65096,14
Medina,OH,177221,31
Meigs,OH,23125,8
Mercer,OH,40909,6
Miami,OH,104679,12
Monroe,OH,14210,3
Montgomery,OH,531239,89
Morgan,OH,14804,3
Morrow,OH,35036,4
Muskingum,OH,86068,18
Noble,OH,14294,3
Ottawa,OH,40636,4
Paulding,OH,18865,4
Perry,OH,35927,5
Pickaway,OH,57565,9
Pike,OH,28160,6
Portage,OH,161921,28
Preble,OH,41247,8
Putnam,OH,34056,4
Richland,OH,121107,17
Ross,OH,77000,14
Sandusky,OH,59330,6
Scioto,OH,76088,11
Seneca,OH,55353,11
Shelby,OH,48623,1
Stark,OH,373612,81
Summit,OH,540300,95
Trumbull,OH,201825,40
Tuscarawas,OH,92420,10
Union,OH,55457,5
VanWert,OH,28362,1
Vinton,OH,12921,1
Warren,OH,227063,31
Washington,OH,60610,9
Wayne,OH,116470,11
Williams,OH,37017,6
Wood,OH,130219,24
Wyandot,OH,22118,3
Adair,OK,22098,9
Alfalfa,OK,5827,-1
Atoka,OK,13810,3
Beaver,OK,5382,0
Beckham,OK,22519,4
Blaine,OK,9643,2
Bryan,OK,45573,9
Caddo,OK,29557,10
Canadian,OK,136532,23
Carter,OK,48556,14
Cherokee,OK,48700,8
Choctaw,OK,14885,3
Cimarron,OK,2162,-1
Cleveland,OK,278655,54
Coal,OK,5651,0
Comanche,OK,122136,18
Cotton,OK,5941,1
Craig,OK,14625,4
Creek,OK,71312,25
Custer,OK,29293,7
Delaware,OK,41598,8
Dewey,OK,4819,0
Ellis,OK,4080,0
Garfield,OK,62603,15
Garvin,OK,27838,8
Grady,OK,54655,11
Grant,OK,4465,0
Greer,OK,5998,1
Harmon,OK,2704,-1
Harper,OK,3717,-1
Haskell,OK,12747,2
Hughes,OK,13566,3
Jackson,OK,25497,4
Jefferson,OK,6230,2
Johnston,OK,11087,4
Kay,OK,44943,11
Kingfisher,OK,15638,7
Kiowa,OK,9077,2
Latimer,OK,10414,1
LeFlore,OK,49873,19
Lincoln,OK,35129,7
Logan,OK,46588,7
Love,OK,9997,4
McClain,OK,38682,12
McCurtain,OK,32822,10
McIntosh,OK,19815,6
Major,OK,7772,3
Marshall,OK,16191,3
Mayes,OK,40920,7
Murray,OK,13918,5
Muskogee,OK,69477,18
Noble,OK,11384,0
Nowata,OK,10419,3
Okfuskee,OK,12167,3
Oklahoma,OK,782970,152
Okmulgee,OK,39213,9
Osage,OK,47806,5
Ottawa,OK,31691,6
Pawnee,OK,16485,2
Payne,OK,81131,18
Pittsburg,OK,44173,10
Pontotoc,OK,38330,4
Pottawatomie,OK,72290,22
Pushmataha,OK,11057,4
RogerMills,OK,3640,2
Rogers,OK,91766,19
Seminole,OK,25207,1
Sequoyah,OK,41294,11
Stephens,OK,44090,9
Texas,OK,21098,3
Tillman,OK,7465,4
Tulsa,OK,642940,122
Wagoner,OK,77679,16
Washington,OK,52087,14
Washita,OK,11447,1
Woods,OK,9201,3
Woodward,OK,20814,3
Baker,OR,16059,5
Benton,OR,89385,13
Clackamas,OR,408062,62
Clatsop,OR,38632,10
Columbia,OR,50785,14
Coos,OR,63761,17
Crook,OR,22570,7
Curry,OR,22713,11
Deschutes,OR,181307,34
Douglas,OR,108457,30
Gilliam,OR,1854,-1
Grant,OR,7158,3
Harney,OR,7292,3
HoodRiver,OR,23232,0
Jackson,OR,216527,49
Jefferson,OR,23080,3
Josephine,OR,85904,21
Klamath,OR,66443,18
Lake,OR,7837,2
Lane,OR,369519,79
Lincoln,OR,47806,24
Linn,OR,122849,30
Malheur,OR,30439,7
Marion,OR,336316,56
Morrow,OR,11274,2
Multnomah,OR,799766,122
Polk,OR,81823,7
Sherman,OR,1710,-1
Tillamook,OR,26143,10
Umatilla,OR,76456,15
Union,OR,26087,3
Wallowa,OR,6946,1
Wasco,OR,26115,6
Washington,OR,582779,81
Wheeler,OR,1344,-1
Yamhill,OR,105035,25
Adams,PA,102180,17
Allegheny,PA,1225365,179
Armstrong,PA,66486,17
Beaver,PA,167429,27
Bedford,PA,48325,10
Berks,PA,414812,75
Blair,PA,124650,11
Bradford,PA,60770,15
Bucks,PA,626399,83
Butler,PA,186847,22
Cambria,PA,134732,34
Cameron,PA,4677,0
Carbon,PA,63594,20
Centre,PA,161464,23
Chester,PA,516312,67
Clarion,PA,38513,10
Clearfield,PA,80596,20
Clinton,PA,39233,2
Columbia,PA,66420,15
Crawford,PA,86257,20
Cumberland,PA,248506,31
Dauphin,PA,273707,43
Delaware,PA,563402,68
Elk,PA,30480,8
Erie,PA,276207,48
Fayette,PA,132733,29
Forest,PA,7321,5
Franklin,PA,153851,26
Fulton,PA,14640,2
Greene,PA,37197,6
Huntingdon,PA,45634,8
Indiana,PA,86364,12
Jefferson,PA,44073,7
Juniata,PA,24863,4
Lackawanna,PA,211321,41
Lancaster,PA,538500,64
Lawrence,PA,87294,19
Lebanon,PA,138863,18
Lehigh,PA,363147,62
Luzerne,PA,316383,51
Lycoming,PA,115248,23
McKean,PA,41883,9
Mercer,PA,112913,18
Mifflin,PA,46342,13
Monroe,PA,166098,38
Montgomery,PA,821725,122
Montour,PA,18343,3
Northampton,PA,302294,43
Northumberland,PA,92541,12
Perry,PA,45820,9
Philadelphia,PA,1567872,149
Pike,PA,55562,12
Potter,PA,16885,2
Schuylkill,PA,143573,47
Snyder,PA,40468,4
Somerset,PA,75061,14
Sullivan,PA,6137,0
Susquehanna,PA,40862,7
Tioga,PA,41467,7
Union,PA,45565,5
Venango,PA,52582,8
Warren,PA,40025,6
Washington,PA,207981,39
Wayne,PA,50710,16
Westmoreland,PA,355458,69
Wyoming,PA,27521,4
York,PA,443744,72
Bristol,RI,49067,6
Kent,RI,164614,24
Newport,RI,82784,13
Providence,RI,633673,64
Washington,RI,126288,19
Abbeville,SC,24872,5
Aiken,SC,167458,36
Allendale,SC,9045,-1
Anderson,SC,196569,47
Bamberg,SC,14434,2
Barnwell,SC,21483,3
Beaufort,SC,183149,18
Berkeley,SC,210898,39
Calhoun,SC,14796,4
Charleston,SC,396484,57
Cherokee,SC,56646,8
Chester,SC,32181,8
Chesterfield,SC,46013,5
Clarendon,SC,33951,2
Colleton,SC,37923,7
Darlington,SC,67234,13
Dillon,SC,30858,3
Dorchester,SC,153773,29
Edgefield,SC,26358,3
Fairfield,SC,22653,6
Florence,SC,138742,11
Georgetown,SC,61399,17
Greenville,SC,498766,80
Greenwood,SC,70133,9
Hampton,SC,19922,0
Horry,SC,322342,59
Jasper,SC,28465,8
Kershaw,SC,64097,13
Lancaster,SC,89594,16
Laurens,SC,66777,7
Lee,SC,17635,1
Lexington,SC,286196,64
McCormick,SC,9643,1
Marion,SC,31726,10
Marlboro,SC,26945,1
Newberry,SC,38079,7
Oconee,SC,76355,15
Orangeburg,SC,87903,8
Pickens,SC,122863,33
Richland,SC,409549,52
Saluda,SC,20197,4
Spartanburg,SC,301463,44
Sumter,SC,107396,12
Union,SC,27673,5
Williamsburg,SC,31955,2
York,SC,258526,41
Aurora,SD,2736,-1
Beadle,SD,18101,5
Bennett,SD,3460,0
BonHomme,SD,6984,2
Brookings,SD,34135,5
Brown,SD,39128,4
Brule,SD,5238,1
Buffalo,SD,2043,6
Butte,SD,10205,0
Campbell,SD,1378,-1
CharlesMix,SD,9396,2
Clark,SD,3656,-1
Clay,SD,14086,1
Codington,SD,28063,2
Corson,SD,4132,1
Custer,SD,8596,2
Davison,SD,19903,3
Day,SD,5571,-1
Deuel,SD,4231,-1
Dewey,SD,5742,1
Douglas,SD,2932,-1
Edmunds,SD,3952,-1
FallRiver,SD,6849,2
Faulk,SD,2354,-1
Grant,SD,7148,1
Gregory,SD,4171,1
Haakon,SD,1892,-1
Hamlin,SD,6028,-1
Hand,SD,3319,-1
Hanson,SD,3374,-1
Harding,SD,1278,-1
Hughes,SD,17600,2
Hutchinson,SD,7368,-1
Hyde,SD,1352,-1
Jackson,SD,3326,1
Jerauld,SD,2004,-1
Jones,SD,927,-1
Kingsbury,SD,5001,0
Lake,SD,12909,1
Lawrence,SD,25281,2
Lincoln,SD,54469,5
Lyman,SD,3894,-1
McCook,SD,5625,-1
McPherson,SD,2438,-1
Marshall,SD,4801,-1
Meade,SD,27693,4
Mellette,SD,2102,-1
Miner,SD,2281,-1
Minnehaha,SD,187318,32
Moody,SD,6505,1
Pennington,SD,109372,25
Perkins,SD,2983,-1
Potter,SD,2299,-1
Roberts,SD,10255,4
Sanborn,SD,2396,-1
Shannon,SD,14415,6
Spink,SD,6420,-1
Stanley,SD,2993,2
Sully,SD,1421,-1
Todd,SD,10155,10
Tripp,SD,5492,-1
Turner,SD,8317,0
Union,SD,14934,4
Walworth,SD,5610,-1
Yankton,SD,22616,3
Ziebach,SD,2801,-1
Anderson,TN,75936,17
Bedford,TN,47484,7
Benton,TN,16014,5
Bledsoe,TN,14675,1
Blount,TN,128670,27
Bradley,TN,104490,14
Campbell,TN,39714,7
Cannon,TN,14027,3
Carroll,TN,28092,4
Carter,TN,56502,11
Cheatham,TN,39880,7
Chester,TN,17453,1
Claiborne,TN,31757,11
Clay,TN,7752,4
Cocke,TN,35219,8
Coffee,TN,54682,12
Crockett,TN,14411,3
Cumberland,TN,58655,18
Davidson,TN,684410,110
Decatur,TN,11769,2
DeKalb,TN,19361,8
Dickson,TN,52170,10
Dyer,TN,37708,4
Fayette,TN,39590,5
Fentress,TN,18033,1
Franklin,TN,41700,7
Gibson,TN,49401,11
Giles,TN,29307,12
Grainger,TN,23072,5
Greene,TN,68615,12
Grundy,TN,13389,2
Hamblen,TN,63785,21
Hamilton,TN,357738,42
Hancock,TN,6577,3
Hardeman,TN,25435,0
Hardin,TN,25679,3
Hawkins,TN,56563,8
Haywood,TN,17853,1
Henderson,TN,27822,4
Henry,TN,32310,10
Hickman,TN,24295,2
Houston,TN,8134,1
Humphreys,TN,18347,3
Jackson,TN,11566,0
Jefferson,TN,53535,9
Johnson,TN,17754,4
Knox,TN,456132,72
Lake,TN,7560,1
Lauderdale,TN,26773,4
Lawrence,TN,43081,8
Lewis,TN,11904,8
Lincoln,TN,33645,7
Loudon,TN,51454,4
McMinn,TN,52850,9
McNairy,TN,25935,5
Macon,TN,23450,8
Madison,TN,97663,15
Marion,TN,28446,9
Marshall,TN,31915,6
Maury,TN,89981,15
Meigs,TN,12005,1
Monroe,TN,45970,13
Montgomery,TN,195734,30
Moore,TN,6323,1
Morgan,TN,21554,7
Obion,TN,30578,9
Overton,TN,22051,8
Perry,TN,7964,2
Pickett,TN,5142,1
Polk,TN,16772,4
Putnam,TN,75931,24
Rhea,TN,32442,8
Roane,TN,52874,12
Robertson,TN,69165,13
Rutherford,TN,308251,42
Scott,TN,21947,9
Sequatchie,TN,14897,4
Sevier,TN,96673,20
Shelby,TN,934603,82
Smith,TN,19447,4
Stewart,TN,13182,3
Sullivan,TN,156667,33
Sumner,TN,180063,41
Tipton,TN,61303,14
Trousdale,TN,8271,1
Unicoi,TN,17719,3
Union,TN,19140,9
VanBuren,TN,5689,2
Warren,TN,40516,7
Washington,TN,127440,20
Wayne,TN,16713,2
Weakley,TN,33507,5
White,TN,26653,4
Williamson,TN,219107,21
Wilson,TN,132781,21
Anderson,TX,57734,16
Andrews,TX,17760,3
Angelina,TX,87791,8
Aransas,TX,25721,7
Archer,TX,8703,4
Armstrong,TX,1876,-1
Atascosa,TX,48797,3
Austin,TX,29758,6
Bailey,TX,7181,0
Bandera,TX,21776,2
Bastrop,TX,82733,10
Baylor,TX,3697,-1
Bee,TX,32750,8
Bell,TX,340411,53
Bexar,TX,1928680,230
Blanco,TX,11392,3
Borden,TX,633,-1
Bosque,TX,18097,3
Bowie,TX,93860,16
Brazoria,TX,354195,35
Brazos,TX,220417,20
Brewster,TX,9200,5
Briscoe,TX,1474,-1
Brooks,TX,7214,1
Brown,TX,38271,7
Burleson,TX,17760,1
Burnet,TX,46243,7
Caldwell,TX,41161,5
Calhoun,TX,21965,0
Callahan,TX,13820,2
Cameron,TX,422135,27
Camp,TX,12867,2
Carson,TX,6057,2
Cass,TX,30375,5
Castro,TX,7669,2
Chambers,TX,39899,9
Cherokee,TX,51668,7
Childress,TX,7052,0
Clay,TX,10193,3
Cochran,TX,2882,2
Coke,TX,3264,0
Coleman,TX,8420,2
Collin,TX,939585,100
Collingsworth,TX,3016,0
Colorado,TX,21019,1
Comal,TX,134788,25
Comanche,TX,13484,2
Concho,TX,4279,-1
Cooke,TX,39266,8
Coryell,TX,74686,17
Cottle,TX,1402,-1
Crane,TX,4830,0
Crockett,TX,3675,-1
Crosby,TX,5992,-1
Culberson,TX,2198,-1
Dallam,TX,7056,1
Dallas,TX,2574984,263
Dawson,TX,13111,2
DeafSmith,TX,18830,2
Delta,TX,5215,-1
Denton,TX,806180,91
DeWitt,TX,20865,4
Dickens,TX,2184,-1
Dimmit,TX,10794,2
Donley,TX,3405,-1
Duval,TX,11428,4
Eastland,TX,18274,3
Ector,TX,157462,22
Edwards,TX,1911,-1
Ellis,TX,168499,13
ElPaso,TX,837918,84
Erath,TX,41659,5
Falls,TX,17273,1
Fannin,TX,34031,10
Fayette,TX,25149,1
Fisher,TX,3854,-1
Floyd,TX,5917,0
Foard,TX,1183,-1
FortBend,TX,741237,70
Franklin,TX,10607,1
Freestone,TX,19624,4
Frio,TX,18956,1
Gaines,TX,20478,4
Galveston,TX,329431,47
Garza,TX,6442,-1
Gillespie,TX,26521,8
Glasscock,TX,1314,-1
Goliad,TX,7517,4
Gonzales,TX,20876,2
Gray,TX,22725,3
Grayson,TX,128235,24
Gregg,TX,123745,17
Grimes,TX,27671,5
Guadalupe,TX,155265,24
Hale,TX,34263,5
Hall,TX,3138,-1
Hamilton,TX,8304,2
Hansford,TX,5538,-1
Hardeman,TX,3906,-1
Hardin,TX,56322,10
Harris,TX,4589928,491
Harrison,TX,66534,22
Hartley,TX,5747,0
Haskell,TX,5681,2
Hays,TX,204470,31
Hemphill,TX,4129,-1
Henderson,TX,79901,16
Hidalgo,TX,849843,55
Hill,TX,35077,5
Hockley,TX,23275,5
Hood,TX,56857,11
Hopkins,TX,36400,4
Houston,TX,22754,4
Howard,TX,36708,10
Hudspeth,TX,4053,-1
Hunt,TX,92073,19
Hutchinson,TX,21511,4
Irion,TX,1557,-1
Jack,TX,8744,0
Jackson,TX,14869,1
Jasper,TX,35648,5
JeffDavis,TX,2200,-1
Jefferson,TX,254679,33
JimHogg,TX,5146,1
JimWells,TX,41149,7
Johnson,TX,163274,22
Jones,TX,20009,3
Karnes,TX,15254,0
Kaufman,TX,118350,15
Kendall,TX,42540,9
Kenedy,TX,404,-1
Kent,TX,769,-1
Kerr,TX,51504,13
Kimble,TX,4423,2
King,TX,289,-1
Kinney,TX,3590,-1
Kleberg,TX,31690,2
Knox,TX,3806,-1
Lamar,TX,49791,5
Lamb,TX,13275,0
Lampasas,TX,20760,5
LaSalle,TX,7613,-1
Lavaca,TX,19809,4
Lee,TX,17055,6
Leon,TX,17299,5
Liberty,TX,81704,14
Limestone,TX,23468,2
Lipscomb,TX,3487,-1
LiveOak,TX,12056,4
Llano,TX,20362,3
Loving,TX,113,-1
Lubbock,TX,303137,48
Lynn,TX,5711,0
McCulloch,TX,8172,1
McLennan,TX,247934,29
McMullen,TX,804,-1
Madison,TX,13987,2
Marion,TX,10147,3
Martin,TX,5723,-1
Mason,TX,4111,1
Matagorda,TX,37187,1
Maverick,TX,57685,4
Medina,TX,49283,8
Menard,TX,2123,-1
Midland,TX,162565,16
Milam,TX,24871,4
Mills,TX,4907,-1
Mitchell,TX,8720,3
Montague,TX,19414,4
Montgomery,TX,556203,92
Moore,TX,22120,3
Morris,TX,12593,1
Motley,TX,1160,-1
Nacogdoches,TX,65806,7
Navarro,TX,48523,9
Newton,TX,14003,3
Nolan,TX,14993,1
Nueces,TX,361350,47
Ochiltree,TX,10306,0
Oldham,TX,2076,-1
Orange,TX,84964,13
PaloPinto,TX,28053,10
Panola,TX,23492,3
Parker,TX,129441,29
Parmer,TX,9776,0
Pecos,TX,15970,3
Polk,TX,47916,8
Potter,TX,120832,29
Presidio,TX,6958,-1
Rains,TX,11314,2
Randall,TX,132501,29
Reagan,TX,3608,0
Real,TX,3389,1
RedRiver,TX,12207,2
Reeves,TX,14921,2
Refugio,TX,7321,0
Roberts,TX,916,-1
Robertson,TX,16751,0
Rockwall,TX,93978,11
Runnels,TX,10448,1
Rusk,TX,52732,11
Sabine,TX,10303,2
SanAugustine,TX,8320,2
SanJacinto,TX,27707,5
SanPatricio,TX,67655,12
SanSaba,TX,5944,2
Schleicher,TX,3056,-1
Scurry,TX,17333,3
Shackelford,TX,3315,-1
Shelby,TX,25579,3
Sherman,TX,3068,1
Smith,TX,225290,40
Somervell,TX,8775,2
Starr,TX,64122,4
Stephens,TX,9906,1
Sterling,TX,1367,-1
Stonewall,TX,1426,-1
Sutton,TX,3869,0
Swisher,TX,7466,0
Tarrant,TX,2016872,261
Taylor,TX,136535,36
Terrell,TX,812,-1
Terry,TX,12799,3
Throckmorton,TX,1533,-1
Titus,TX,32592,4
TomGreen,TX,118386,9
Travis,TX,1199323,134
Trinity,TX,14442,4
Tyler,TX,21320,4
Upshur,TX,40969,7
Upton,TX,3673,-1
Uvalde,TX,27285,5
ValVerde,TX,48881,3
VanZandt,TX,54355,11
Victoria,TX,92467,21
Walker,TX,71484,13
Waller,TX,50115,9
Ward,TX,11600,1
Washington,TX,35056,2
Webb,TX,271193,15
Wharton,TX,41735,7
Wheeler,TX,5546,1
Wichita,TX,131838,24
Wilbarger,TX,12892,2
Willacy,TX,21810,3
Williamson,TX,528718,81
Wilson,TX,48480,8
Winkler,TX,7893,1
Wise,TX,64455,14
Wood,TX,44227,7
Yoakum,TX,8488,1
Young,TX,18152,2
Zapata,TX,14349,1
Zavala,TX,12023,0
Beaver,UT,6463,2
BoxElder,UT,53139,13
Cache,UT,122753,21
Carbon,UT,20399,6
Daggett,UT,1095,-1
Davis,UT,342281,57
Duchesne,UT,20337,6
Emery,UT,10216,5
Garfield,UT,4986,3
Grand,UT,9579,4
Iron,UT,49937,11
Juab,UT,11010,6
Kane,UT,7334,2
Millard,UT,12694,3
Morgan,UT,11437,1
Piute,UT,1466,-1
Rich,UT,2319,-1
SaltLake,UT,1121354,235
SanJuan,UT,16895,4
Sanpete,UT,29409,4
Sevier,UT,21267,6
Summit,UT,40307,6
Tooele,UT,64833,8
Uintah,UT,36373,10
Utah,UT,592299,78
Wasatch,UT,30528,7
Washington,UT,160245,48
Wayne,UT,2702,-1
Weber,UT,247560,72
Addison,VT,36959,5
Bennington,VT,36191,6
Caledonia,VT,30333,11
Chittenden,VT,161531,20
Essex,VT,6176,1
Franklin,VT,48915,4
GrandIsle,VT,6919,2
Lamoille,VT,25333,7
Orange,VT,28919,3
Orleans,VT,26863,2
Rutland,VT,59310,13
Washington,VT,58504,17
Windham,VT,43145,18
Windsor,VT,55496,9
Accomack,VA,32947,4
Albemarle,VA,106878,8
Alleghany,VA,15595,3
Amelia,VA,12913,3
Amherst,VA,31633,4
Appomattox,VA,15475,2
Arlington,VA,230050,19
Augusta,VA,74997,9
Bath,VA,4476,0
Bedford,VA,77960,13
Bland,VA,6513,2
Botetourt,VA,33231,9
Brunswick,VA,16243,2
Buchanan,VA,22178,5
Buckingham,VA,17048,2
Campbell,VA,54952,10
Caroline,VA,30178,7
Carroll,VA,29531,4
Charles,VA,7071,0
Charlotte,VA,12129,3
Chesterfield,VA,339009,53
Clarke,VA,14374,2
Craig,VA,5158,4
Culpeper,VA,50083,5
Cumberland,VA,9652,1
Dickenson,VA,14968,5
Dinwiddie,VA,28144,3
Essex,VA,11123,1
Fairfax,VA,1138652,102
Fauquier,VA,69069,11
Floyd,VA,15731,0
Fluvanna,VA,26271,0
Franklin,VA,56069,8
Frederick,VA,84421,17
Giles,VA,16857,4
Gloucester,VA,37214,11
Goochland,VA,22668,7
Grayson,VA,15107,3
Greene,VA,19371,3
Greensville,VA,11706,0
Halifax,VA,34992,5
Hanover,VA,104392,12
Henrico,VA,326501,44
Henry,VA,51445,10
Highland,VA,2216,1
IsleofWight,VA,36596,7
James,VA,74404,12
KingandQueen,VA,7159,1
KingGeorge,VA,25984,7
KingWilliam,VA,16334,5
Lancaster,VA,10972,3
Lee,VA,24179,3
Loudoun,VA,385945,47
Louisa,VA,35236,7
Lunenburg,VA,12273,3
Madison,VA,13078,3
Mathews,VA,8782,3
Mecklenburg,VA,30892,5
Middlesex,VA,10778,3
Montgomery,VA,98602,15
Nelson,VA,14869,3
NewKent,VA,21147,5
Northampton,VA,12139,2
Northumberland,VA,12222,2
Nottoway,VA,15595,1
Orange,VA,35533,5
Page,VA,23654,8
Patrick,VA,17923,4
Pittsylvania,VA,61687,13
Powhatan,VA,28443,4
PrinceEdward,VA,23142,3
PrinceGeorge,VA,37845,7
PrinceWilliam,VA,455210,48
Pulaski,VA,34203,8
Rappahannock,VA,7388,1
Richmond,VA,8774,3
Roanoke,VA,94031,17
Rockbridge,VA,22392,2
Rockingham,VA,79744,12
Russell,VA,27370,7
Scott,VA,21930,6
Shenandoah,VA,43175,10
Smyth,VA,31062,4
Southampton,VA,18057,2
Spotsylvania,VA,132010,26
Stafford,VA,144361,17
Surry,VA,6544,0
Sussex,VA,11504,1
Tazewell,VA,42150,9
Warren,VA,39155,7
Washington,VA,54214,16
Westmoreland,VA,17592,4
Wise,VA,39228,5
Wythe,VA,29016,6
York,VA,67976,5
Alexandria,VA,155810,14
Bedford,VA,NA,0
Bristol,VA,16960,5
BuenaVista,VA,6452,0
Charlottesville,VA,46912,3
Chesapeake,VA,237940,29
CliftonForge,VA,NA,-1
ColonialHeights,VA,17772,5
Covington,VA,5518,2
Danville,VA,41898,10
Emporia,VA,5305,0
Fairfax,VA,24164,3
FallsChurch,VA,14014,3
Franklin,VA,8306,2
Fredericksburg,VA,28297,1
Galax,VA,6775,2
Hampton,VA,135410,16
Harrisonburg,VA,53078,7
Hopewell,VA,22735,2
Lexington,VA,7045,-1
Lynchburg,VA,80212,10
Manassas,VA,41483,3
ManassasPark,VA,15915,1
Martinsville,VA,13445,0
NewportNews,VA,181825,25
Norfolk,VA,245115,25
Norton,VA,3864,-1
Petersburg,VA,31882,8
Poquoson,VA,12017,2
Portsmouth,VA,95252,15
Radford,VA,17483,3
Richmond,VA,223170,30
Roanoke,VA,99660,22
Salem,VA,25549,6
Staunton,VA,24363,8
Suffolk,VA,89273,5
VirginiaBeach,VA,452602,65
Waynesboro,VA,21887,5
Williamsburg,VA,15214,2
