"","county","state","clinton_16","trump_16","obama_08","mccain_08","obama_12","romney_12","clinton_primary","sanders_primary","miss_data","alcohol_08","alcohol_12","alcohol_16","drug_08","drug_12","drug_16","suicides_08","suicides_12","suicides_16","pop_2014","pop_2010","perc_under_18","perc_over_65","perc_females","perc_white","perc_black","perc_asian","perc_hisp","perc_immigrants","perc_high_school","perc_bachelors","perc_vets","commuting_time","perc_own_homes","per_cap_income","median_hh_income","perc_below_poverty","land_area","pop_density_2010","pop_density_2014","religious_14","civic_14","business_14","political_14","professsional_14","labor_14","bowling_14","recreation_14","golf_14","sports_14","pop_14","soc_cap_agg_14","voter_to_12","census_resp_10","non_profits_14","soc_cap_indx_14","hh_inc_change_p25","hh_inc_change_p75","diversity_idx_2016","surplus_hillary","surplus_hillary2"
"417","Butts","Georgia",2566,6717,3064,5944,6306,2966,922,191,0,3,1,3,6,8,4,6,3,1,23368,23655,22,14.3,47.1,70.2,27.7,0.5,3.1,3,74.7,8.4,1534,30.9,75.2,20363,49754,14.5,184.39,128.3,126.7313846,19,0,2,0,0,0,0,1,2,0,23394,1.025904078,0.792514995,0.72,86,-0.169586567,-0.4,-0.01,0.545306,100328,42312
"418","Calhoun","Georgia",1179,830,1342,862,883,1297,499,61,0,1,1,0,0.323041851,0.381238404,0.631424415,0.589097985,0.689340538,0.336204147,6463,6694,19,12.5,40,36.1,61.2,0.6,4.7,4.9,68.6,11.5,420,19,70.6,14868,26986,38.7,280.37,23.9,23.05168171,7,0,1,0,0,0,0,0,0,0,6431,1.243974499,0.767719298,0.53,23,-0.026851206,-0.63,0.17,0.542523,104828,42019
"419","Camden","Georgia",5930,12310,6482,10502,11318,6358,1405,690,0,3,2,5,2,6,7,4,9,2,52027,50513,25.2,11.3,48.6,75,19.5,1.7,6.2,2.1,90.4,19.5,6625,21.9,63.1,22701,51990,15.5,613.03,82.4,84.86860349,41,1,4,0,0,6,0,4,2,0,51973,1.115964058,0.659490978,0.72,168,-0.714383412,-0.15,-0.05,0.539116,98099,42296
"420","Candler","Georgia",1026,2664,1209,2286,2344,1155,435,111,0,2,3,1,0,0,1,1,1,2,10888,10998,25.6,16.7,50.4,73.2,24.5,0.8,11.2,6.9,78.5,14.6,770,24,64,17974,35070,25.9,243.04,45.3,44.79921001,7,0,2,0,0,0,0,0,1,0,10879,0.919202133,0.721472393,0.54,37,-0.542677013,-0.45,-0.02,0.537389,102841,41905
"421","Carroll","Georgia",12464,30029,14334,28661,28249,12635,3186,1941,0,3,12,6,29,17,29,11,18,18,114093,110527,24.2,12.5,50.9,77.3,19.1,1,6.5,4.4,79.7,18.3,7343,28.5,66.7,21227,46147,18.9,499.08,221.5,228.6066362,99,1,2,0,0,1,0,9,3,0,113999,1.008780779,0.716411477,0.74,341,-0.624643854,-0.23,0.04,0.535203,86914,42826
"422","Catoosa","Georgia",4771,20876,6025,18218,17848,5357,1088,1027,0,1,6,2,16,20,23,11,4,16,65621,63942,23.6,16,51.3,93.7,2.8,1.4,2.8,2.3,82.3,17.5,4805,22.3,72.6,21690,47087,13.9,162.16,394.3,404.6682289,49,1,2,0,0,1,0,3,1,0,65598,0.868928931,0.572928765,0.79,161,-1.452084976,0.02,0.18,0.531245,88374,41642
"423","Charlton","Georgia",1004,2951,1193,2458,2527,1197,275,84,0,0,1,2,0,2,1,0,2,2,12897,12171,19,13.3,39.7,65,32,0.6,3.5,7.6,74.3,9.4,1247,28.7,77.9,17102,40111,19.7,773.58,15.7,16.67183743,3,0,2,0,0,0,0,1,0,0,12886,0.465621605,0.711531191,0.5,23,-1.256353814,-0.21,0.12,0.527825,102532,41772
"424","Chatham","Georgia",62290,45688,62755,46829,47083,60077,19916,7507,0,18,33,38,21,28,36,30,32,48,283379,265128,22.2,13.6,51.8,54.5,40.1,2.8,6,6.5,88.7,31.3,24730,21.1,57.5,25093,45794,19.1,426.44,621.7,664.5225589,223,30,8,4,6,22,2,25,8,1,282989,1.162589359,0.722145402,0.73,1154,-0.271338507,-0.55,-0.25,0.527666,121081,53990
"425","Chattahoochee","Georgia",594,751,830,811,732,726,182,40,-1,0.791796011,0.904909726,1.318211005,0,0.78997908,0,2,0,3,11837,11267,22.6,4.1,32.7,72.2,19.3,2.8,15,5.6,92.5,27.5,581,14.2,28.8,20042,48758,11.9,248.74,45.3,47.58784273,1,0,0,0,0,0,0,0,1,0,11898,0.168095478,0.358863198,0.58,9,-3.183281177,NA,NA,0.527542,104322,41723
"426","Chattooga","Georgia",1613,6462,2591,5564,5434,2220,568,302,0,6,2,2,7,6,6,4,1,2,24939,26015,22.6,16.5,48.8,86.6,10.4,0.6,4.8,3.1,69,7.7,1540,23.4,69.7,16045,33228,24,313.34,83,79.59085977,26,1,1,0,0,0,0,0,0,1,24892,1.165032942,0.660418777,0.68,92,-0.572354662,-0.18,-0.07,0.527412,99630,41847
"427","Cherokee","Georgia",25231,80649,22350,70279,76473,19813,4844,4442,0,11,6,13,20,25,50,24,25,38,230985,214346,26,11.9,50.7,89,6.6,1.9,10.1,8.6,88.9,34.2,14589,31.9,79.1,29615,67261,9.8,421.67,508.3,547.7861835,116,5,4,0,1,0,2,26,9,0,230720,0.70648405,0.762145678,0.79,647,-0.757486664,-0.31,-0.44,0.526027,49061,41983
"428","Clarke","Georgia",29603,12717,29513,15309,13804,25386,7107,6878,0,3,9,20,8,15,17,14,15,15,120938,116714,17.6,9.7,52.3,65.5,27.7,4.4,10.8,10.4,85.1,39.5,5581,19,43.9,19295,33060,36.7,119.2,979.1,1014.580537,80,12,3,5,2,3,1,18,1,0,120814,1.034648302,0.669830418,0.73,614,-0.428206081,-0.93,-0.32,0.520283,121365,41810
"429","Clay","Georgia",697,566,879,558,537,862,298,44,0,0,1,1,0.161663196,0.1912806,0.316002087,0.294808436,0.345866184,0.160552897,3102,3183,21.8,23.3,53.1,38.6,59.5,0.5,1.1,1.2,77.9,7.9,234,26.4,66.6,12982,21192,44.5,195.38,16.3,15.87675299,3,0,1,0,0,0,0,0,0,0,3097,1.29157249,0.790750141,0.41,12,0.204917101,NA,NA,0.518661,104610,41835
"430","Clayton","Georgia",78220,12645,82527,16506,14158,81439,25151,5557,0,15,9,16,15,31,22,13,18,20,267542,259424,28.3,8.3,52.6,23.6,68.3,5.3,13.1,15.2,81.7,18,18030,29.4,55.3,17950,40606,24,141.57,1832.5,1889.82129,87,8,7,0,3,4,1,3,1,0,268172,0.425100309,0.615620735,0.68,691,-1.614605436,-0.32,-0.23,0.516495,170054,61175
"431","Clinch","Georgia",686,1727,989,1678,1598,852,167,38,-1,0.409069183,0.467507637,0.681033361,0.345067028,0.408191261,0.674720464,0,1,1,6831,6798,25.9,15,51,69,28.3,0.2,4.2,2.6,71.1,12.5,479,21.1,68.7,17815,30345,29.1,800.22,8.5,8.536402489,9,1,1,0,0,0,0,0,0,0,6816,1.613849765,0.681742967,0.51,25,-0.026144596,-0.38,-0.02,0.514446,103438,41710
"432","Cobb","Georgia",160121,152912,141216,170957,171464,132526,39509,22520,0,24,30,49,64,85,126,54,71,97,730981,688078,24.6,10.6,51.6,64.6,27.3,5.1,12.7,15.1,90.8,43.7,44559,29.5,66.4,33069,63920,12.8,339.55,2026.4,2152.793403,348,24,31,6,14,12,4,83,12,1,731018,0.731856124,0.746702495,0.75,2821,-0.602032311,-0.26,-0.06,0.512687,111688,58570
"433","Coffee","Georgia",4094,9588,4811,8872,9242,5048,1094,309,0,3,1,3,5,5,7,9,7,4,42811,42356,24.7,12.3,48.7,69.4,28,0.9,10.9,6.1,75.5,12.9,2488,19.9,69.4,17031,35693,24.3,575.1,73.7,74.44096679,31,3,1,0,0,1,1,7,2,0,42793,1.074942163,0.726149209,0.72,104,-0.614751304,-0.53,-0.09,0.512421,98985,42366
"434","Colquitt","Georgia",3463,9898,4139,9185,9240,3971,1035,302,0,2,1,4,6,3,1,5,9,5,46102,45498,26.8,14,50.4,73.1,23.2,1,18.3,10.9,72.1,13.1,2367,21.1,66.2,17025,32484,26.7,544.15,83.6,84.72296242,37,3,2,2,0,0,0,1,1,0,46051,0.998892532,0.682227682,0.71,125,-0.811895688,-0.54,-0.01,0.509963,98044,42314
"435","Columbia","Georgia",18887,43085,15703,39322,41724,16420,4806,2338,0,4,3,8,7,16,23,15,12,22,139257,124053,26,11.8,51.1,75.4,16.9,4.2,6.2,6.8,91.3,34.1,13290,24.5,78.9,30949,69306,8.3,290.09,427.6,480.0475714,73,3,3,0,0,3,0,14,4,0,139343,0.71765356,0.738189198,0.79,398,-0.837333672,-0.2,-0.21,0.5098,80281,44049
"436","Cook","Georgia",1753,4176,2075,3782,3934,2042,580,171,0,2,0,0,3,2,0,3,3,2,17214,17212,26.6,14.7,51.6,69.8,27.8,0.8,6.1,3.4,74.8,12.4,1147,25.3,73.4,18592,34985,23.1,227.16,75.8,75.77918648,11,2,1,0,0,0,0,1,0,0,17204,0.871890258,0.71797619,0.68,46,-0.774445321,-0.37,0.01,0.505987,102056,41990
"437","Coweta","Georgia",16583,42533,15521,37571,39633,15156,4359,2235,0,4,3,10,11,17,16,11,16,18,135571,127317,25.7,12.4,51.2,77.7,18,1.9,6.7,5.8,87.8,26.9,10406,30.6,74.5,26757,60813,12.7,440.89,288.8,307.4939327,87,0,4,1,0,0,1,7,7,1,135410,0.797577727,0.751881226,0.78,354,-0.746887504,-0.43,-0.08,0.502624,78529,43705
"438","Crawford","Georgia",1421,3635,1832,3358,3366,1699,493,120,0,0,0,1.253608839,1,2,4,1,2,5,12387,12630,21.2,16.9,49.4,76.2,21.3,0.4,3.1,0.8,78.7,13,887,28.2,79,20556,41586,20.6,324.89,38.9,38.12675059,6,0,2,0,0,0,0,0,0,0,12472,0.641436818,0.737924094,0.6,25,-0.98713514,-0.62,-0.24,0.501455,102265,41954
"439","Crisp","Georgia",2837,4549,3078,4423,4179,3160,731,172,0,2,1,2,3,3,1,2,1,4,22934,23439,24.9,16,52.4,53.8,43.6,1,3.2,1.5,79.5,15.5,1664,19.1,59.8,18185,35240,31.2,272.58,86,84.13676719,17,1,2,0,0,0,0,1,1,0,22988,0.957021054,0.707683475,0.69,75,-0.642309121,-0.75,-0.15,0.498704,102767,42140
"440","Dade","Georgia",965,5051,1608,4698,4458,1404,242,231,0,1,1,1,3,3,0,3,2,2,16389,16633,19.8,17,50.8,95.6,1.4,1.1,2.1,1.6,80.3,17,1342,27.4,77.8,21690,43205,15.9,173.98,95.6,94.20048281,10,1,2,0,0,0,0,1,1,0,16364,0.916646297,0.546974378,0.73,42,-1.47610974,0.15,0.21,0.49331,100393,41592
"441","Dawson","Georgia",1448,9900,1632,8242,8843,1241,312,269,0,2,2,5,2,6,5,2,6,6,22957,22330,21.8,17.9,49.9,96.4,0.9,0.7,4,3.8,85.8,24.4,1913,31.8,73.7,27330,53525,15.6,210.83,105.9,108.8886781,23,1,4,0,0,0,0,3,2,0,22896,1.44129979,0.77506242,0.77,88,0.14202875,-0.02,-0.01,0.486223,96027,41624
"442","Decatur","Georgia",4124,6020,4424,5890,5816,4580,1325,337,0,4,3,9,2,0,3,4,1,6,27220,27842,24.7,15.4,51.4,55.7,41.6,0.7,5.6,3,78.4,14.7,1577,23.2,64.3,18059,30619,27.1,597.14,46.6,45.58395016,26,0,2,0,0,1,0,3,1,0,27239,1.211498219,0.741251326,0.71,103,-0.192904719,-0.53,-0.13,0.484552,102583,42569
"443","DeKalb","Georgia",251370,51468,254594,65581,64308,237704,82601,32707,0,32,45,40,43,52,82,49,64,56,722161,691893,23.7,10.4,52.5,36.7,54.8,5.9,8.9,16.3,88.4,39.7,41447,30.7,56.7,28810,50856,19,267.58,2585.7,2698.860154,335,31,32,2,28,14,4,74,8,0,724222,0.729058217,0.731621959,0.72,3572,-0.470602722,-0.28,-0.07,0.482295,304381,91475
"444","Dodge","Georgia",1839,5021,2595,5543,5214,2440,579,141,0,0,2,1,4,5,5,2,2,7,20976,21796,20.9,15.2,47.8,68,30,0.5,3.4,2.1,80.2,15.2,1499,24.2,65.7,18114,37292,19.8,495.89,44,42.29970356,14,0,2,0,0,1,0,1,0,0,20992,0.857469512,0.700960841,0.52,84,-0.571648052,-0.23,0.09,0.472771,101297,42019
"445","Dooly","Georgia",1872,1951,2138,1991,1983,2278,740,91,0,0,1,2,0,1,1,0,1,3,14188,14918,19.8,15.7,46,47.6,50.5,0.7,7.3,4.2,70.9,10.1,1214,19.7,66.7,14510,29012,29,391.94,38.1,36.19941828,11,0,2,0,0,0,0,0,0,0,14203,0.915299585,0.756690141,0.59,38,-0.544090234,-0.4,0.02,0.471531,104400,42230
"446","Dougherty","Georgia",23311,10232,26135,12547,11441,26209,8920,1439,0,5,13,16,11,14,9,8,11,10,92407,94565,24.9,13.6,53.5,29,68.4,1,2.6,2.4,79.9,17.8,7326,18.3,47.3,18619,31671,31.2,328.69,287.7,281.1372418,72,17,6,1,1,8,0,6,2,0,92515,1.221423553,0.698864684,0.74,467,-0.150508078,-0.74,-0.48,0.471384,117558,49062
"447","Douglas","Georgia",31005,24817,27825,26812,26226,28410,9393,3151,0,3,11,7,11,11,33,13,19,15,138776,132403,26.9,10.3,52.1,51.8,43.5,1.7,8.9,8.4,87.2,24.4,10690,31.8,69.8,23626,52691,16.1,200.07,661.8,693.637227,60,4,2,0,2,2,2,7,2,0,138466,0.584981151,0.744737906,0.73,454,-0.83521384,-0.17,-0.24,0.471287,110667,47823
"448","Early","Georgia",2168,2552,2602,2709,2556,2762,673,76,0,3,2,0,0.571898782,0.677562359,1.116929768,0,2,1,10491,11008,25.2,18.4,52.8,48.2,49.9,0.6,2.2,0.8,76.7,12.9,728,22.7,64.7,17579,28853,31.6,512.59,21.5,20.46664976,12,0,3,0,0,2,0,1,1,0,10458,1.816790973,0.689197889,0.57,48,0.325040919,-0.77,-0.02,0.465121,104095,42178
"449","Echols","Georgia",156,1007,201,981,917,173,32,36,-1,0.2340371,0.267470972,0.389633539,0.19747078,0.233029183,0.386021797,0.36010702,0.421354358,0.210632642,4003,4034,27.7,11.3,50.7,88.7,5.6,0.5,28.1,17.1,74.7,5.7,292,24.8,62.7,15861,31375,31.3,414.89,9.7,9.648340524,0,0,1,0,0,0,0,0,0,0,4054,0.246669956,0.591201717,0.51,5,-2.047757791,NA,NA,0.463435,103628,41577
"450","Effingham","Georgia",4853,17874,4936,15230,15591,4941,1179,621,0,4,5,6,2,9,6,3,7,11,55423,52250,26.9,10.8,50.1,82.7,14,0.9,3.7,2.1,85.2,16.8,4583,29.8,76.6,24824,63030,11.2,477.7,109.4,116.020515,40,1,2,0,0,1,0,0,0,0,55447,0.793550598,0.708798692,0.79,110,-1.040837552,0.09,0.32,0.460464,91458,42139
"451","Elbert","Georgia",2539,5292,3366,4868,4857,3179,818,258,0,4,1,0,7,2,2,2,2,5,19438,20166,22,19.1,52.1,68.2,29.4,0.9,5.5,3,78.3,11.3,1546,21.6,68.4,18835,35817,20.4,351.06,57.4,55.36945252,20,1,3,0,0,0,0,1,1,0,19413,1.339308711,0.728223931,0.77,93,0.021198321,-0.4,0.04,0.459528,101726,42141
"452","Emanuel","Georgia",2435,5335,3068,5110,5086,2919,758,145,0,1,3,2,4,3,0,2,3,5,22755,22598,25.1,15.8,51.1,63.6,34.2,0.7,4.6,1.3,76.5,11.6,1357,25.3,65.6,17064,32046,29.4,680.6,33.2,33.43373494,13,1,3,0,0,0,0,1,1,0,22710,0.836635843,0.729512635,0.64,64,-0.720036297,-0.38,0.13,0.457591,101579,42194
"453","Evans","Georgia",1130,2404,1374,2462,2267,1266,347,85,0,2,2,1,0,0.644744403,1.066157001,0,1,3,10898,11000,26.7,15.1,51.7,65.5,31.2,1.2,12,6.2,76.2,14.1,725,19.2,63.7,18998,36788,27.9,182.85,60.2,59.60076565,13,0,2,1,0,0,0,0,0,0,10864,1.47275405,0.729226361,0.52,38,0.00989255,-0.49,0.05,0.451123,103205,41843
"454","Fannin","Georgia",1923,9632,2611,7807,7853,2027,547,356,0,0,1,0,4,4,7,3,6,6,23753,23682,17.7,25.6,51.1,96.9,0.8,0.5,2,1.1,79,14.4,2322,25.4,78.2,19164,34239,23,386.72,61.2,61.42170046,36,0,3,1,0,0,1,1,0,0,23713,1.771180365,0.690161224,0.47,115,0.368144172,-0.15,0,0.448191,96770,41772
"455","Fayette","Georgia",23284,35048,20313,38501,38046,19703,7267,2925,0,3,2,4,7,5,9,10,12,10,109664,106567,23.9,16.2,51.6,70.9,22,4.5,7.1,9.2,94.3,42.6,11491,30.4,82.9,35344,79977,7.7,194.34,548.3,564.2893897,121,3,4,0,1,1,1,15,7,0,109648,1.395374289,0.785715244,0.81,776,0.689652037,0.5,0.06,0.447209,92715,45923
"456","Floyd","Georgia",9159,24114,10691,23132,22636,9595,2568,1368,0,3,12,9,16,15,17,16,10,24,96063,96317,23.5,15.7,51.5,80.9,14.8,1.4,10.3,6.5,77.9,18.1,7358,21.5,64.2,20500,40821,21,509.91,188.9,188.3920692,81,5,3,0,1,4,1,6,5,0,96061,1.103465506,0.69501429,0.74,363,-0.491801043,-0.54,-0.05,0.443008,89524,42781
"457","Forsyth","Georgia",23462,69851,15406,59166,65853,14544,3707,3153,0,4,9,13,16,15,23,16,20,19,204302,175511,28.9,11.1,50.3,85.2,3.5,9.1,9.7,13.8,91.4,43.8,10111,29.9,85.6,34582,86569,7.6,224.02,783.5,911.9810731,88,2,4,1,3,0,2,26,7,0,203882,0.652338117,0.798513004,0.77,379,-0.812602298,NA,NA,0.43945,58090,42135
"458","Franklin","Georgia",1243,7054,1910,6054,6112,1499,352,205,0,2,1,1,2,4,5,4,2,7,22264,22084,21.9,18.7,51.2,87.3,9.6,0.9,4.3,2.7,72.3,13,1375,24.6,73.1,18234,34830,18.9,261.5,84.5,85.13957935,30,3,1,0,0,0,0,1,0,1,22250,1.617977528,0.692108783,0.76,110,0.15262791,-0.04,0.12,0.434097,98668,41728
"459","Fulton","Georgia",297051,117783,272000,130136,133837,248479,83457,33800,0,55,76,90,128,102,178,70,111,113,996319,920581,23.2,10.4,51.4,46.7,44.3,6.7,7.6,12.9,90.4,48.2,47038,27,53.9,36757,56857,17.6,526.64,1748,1891.840726,472,72,73,22,50,44,5,153,29,4,996463,0.927279789,0.700689735,0.7,7137,-0.027557817,-0.54,0.05,0.42711,283747,91238
"460","Gilmer","Georgia",1965,10477,2614,8408,8920,1955,490,423,0,3,2,5,3,3,6,3,3,8,28829,28292,20.5,22,50.1,96.3,0.9,0.4,10.9,6.1,76.5,16.4,2397,27.9,73.4,21317,39140,21.7,426.54,66.3,67.58803395,17,3,3,0,0,0,0,2,0,0,28866,0.86607081,0.743204047,0.53,100,-0.486148158,0.04,0.14,0.414644,95967,41648
"461","Glascock","Georgia",138,1235,210,1202,1135,176,38,19,-1,0.172233373,0.196838141,0.286740429,0.145026496,0.170766753,0.284082464,0.264469808,0.308773839,0.159808612,3053,3082,24,17.4,51.1,87.9,9.9,0.4,1.5,1,78.3,9.6,181,28.3,70.8,17984,37760,21.4,143.74,21.4,21.23973842,2,0,1,0,0,0,0,0,0,0,3046,0.984898227,0.718211207,0.83,14,-0.392875546,NA,NA,0.41396,103382,41600
"462","Glynn","Georgia",11775,21512,12676,20479,20853,11922,2881,1282,0,1,10,16,15,11,14,9,9,15,82175,79626,23.1,17.7,52.7,69.5,26.5,1.5,6.5,5.7,86.6,26.1,7954,19.1,61.9,26724,46407,19.2,419.75,189.7,195.7712924,74,11,2,1,0,5,2,8,4,0,82343,1.299442576,0.705512851,0.74,415,-0.054409023,-0.65,-0.33,0.411712,94742,43180
"463","Gordon","Georgia",3181,15191,4268,13113,13174,3436,778,554,0,1,6,3,8,9,11,4,10,11,56047,55186,25.6,13.3,50.4,92,4.4,1.1,15.2,9.3,73.4,14.2,3094,23,66.8,19177,40926,21,355.81,155.1,157.5194626,44,5,2,2,0,0,1,3,0,0,55917,1.019367992,0.666627214,0.77,144,-0.903048467,-0.08,0.05,0.409697,92469,41805
"464","Grady","Georgia",3013,6053,3539,5775,5922,3419,887,262,0,3,2,2,1,1,1,2,6,8,25359,25011,25.7,16,51.3,67.4,29.1,0.6,10.9,5.6,72.7,11.3,1743,25.1,58.5,15734,30571,30.1,454.53,55,55.79169692,22,0,1,0,0,0,0,2,1,0,25308,1.027343133,0.628957762,0.75,75,-0.976535979,-0.35,0.07,0.409318,101439,42206
"465","Greene","Georgia",3199,5490,3339,4532,5067,3195,1077,169,0,0,0,1,1,1,1,1,0,2,16490,15994,19.1,26.2,51.2,61,36.6,0.5,6.3,3.9,78.7,21.4,1457,24.6,75.6,27828,42565,22.3,387.44,41.3,42.56142887,17,1,4,0,0,0,0,0,2,0,16474,1.456841083,0.790783848,0.68,90,0.532784463,-0.69,-0.07,0.39737,102188,42489
"466","Gwinnett","Georgia",166153,146989,129025,158746,159563,131879,37881,19094,0,24,37,55,48,55,85,77,81,117,877922,805321,27.8,8.6,51,58.1,27,11.5,20.5,24.9,87,33.9,39586,31.6,68.4,25932,60445,13.9,430.38,1871.2,2039.876388,432,19,23,4,15,5,5,72,14,1,877726,0.67219155,0.749438038,0.73,2604,-0.791403977,-0.18,0.31,0.386647,123643,60368
"467","Habersham","Georgia",2483,13190,2900,11766,12148,2297,612,553,0,3,3,5,5,6,8,4,1,11,43752,43041,23.2,17.4,52.6,90.7,4,2.5,13.6,8.6,77.9,17.1,3319,23.6,76.3,18910,39306,20.8,276.74,155.5,158.0978536,44,1,2,0,1,0,1,1,2,0,43753,1.188489932,0.656223388,0.78,155,-0.630296739,0.17,0.07,0.386177,93772,41640
"468","Hall","Georgia",16180,51733,14457,44962,45918,12489,3495,2256,0,12,17,26,18,25,31,16,21,36,190761,179684,26.5,13.6,50.1,87.3,8.1,2,27.5,15.4,78.8,22.8,10555,25.8,67.8,23645,50853,18.7,392.78,457.5,485.6688222,106,11,6,2,3,1,1,15,2,4,190525,0.79254691,0.721259065,0.77,522,-0.852879108,0.03,-0.09,0.38379,68926,42820
"469","Hancock","Georgia",2701,843,3535,795,764,3301,1121,147,-1,0.56464294,0.645306217,0.940038251,0.475626442,0.564400252,0.931324485,1,1,0,8509,9429,16.3,20,46,25.4,72.6,0.7,1.7,1.9,75.8,9.9,564,25.5,77.7,12381,25000,30.6,471.84,20,18.03365548,2,0,1,0,0,0,0,0,0,0,8519,0.352154009,0.73013038,0.4,18,-1.189225798,-0.82,-0.51,0.379919,106337,42555
"470","Haralson","Georgia",1475,9585,2248,8658,8439,1787,414,312,0,1,1,5,3,8,10,7,14,1,28641,28780,24.4,16,51.6,92.3,5.1,0.7,1.4,1.4,74.2,14.1,1916,30,70.3,19789,39993,22.8,282.17,102,101.5026403,22,0,2,0,0,0,0,0,0,0,28615,0.838720951,0.713470398,0.76,80,-0.830267566,-0.05,0.17,0.374819,96369,41683
"471","Harris","Georgia",4086,11936,4179,10645,11193,4141,1372,448,0,2,3,3,1,4,7,1,8,3,32876,32024,22,16.7,50.2,79.9,17.1,0.9,3.3,2.6,89.2,27.3,3578,26.6,86.7,31482,69223,8,463.87,69,70.87330502,29,0,2,0,0,1,0,2,1,0,32873,1.064703556,0.764537467,0.74,90,-0.419726752,-0.31,0.01,0.369373,96629,42505
"472","Hart","Georgia",2585,7286,3365,6537,6516,2869,740,276,0,5,0,1,6,4,2,5,6,3,25377,25213,21.4,20.6,50.4,78.4,18.8,1,3.6,2.1,80.3,15.5,2148,22.9,73.7,20371,35615,25.4,232.39,108.5,109.2000516,26,1,3,0,0,0,0,1,1,0,25412,1.2592476,0.753107926,0.73,89,-0.156160963,-0.27,0,0.366982,99778,42045
"473","Heard","Georgia",743,3370,1042,3133,3155,947,277,111,0,0,1,1,2,1,3,2,2,1,11603,11834,23.6,15.7,50.1,86.4,10.7,0.6,2.5,0.2,72.7,8.2,863,38.6,76,18964,39909,24.3,296.03,40,39.19535182,7,0,2,0,0,0,0,0,0,0,11606,0.775460968,0.763822776,0.78,28,-0.752540389,-0.09,0.04,0.362141,101852,41747
"474","Henry","Georgia",50057,45724,40527,47115,46299,43374,15795,4468,0,4,13,11,22,21,42,22,25,26,213869,203922,27.1,10.4,52.2,53.4,40.6,3.4,6.4,7.4,89.5,26.1,17462,33.3,75,25299,60781,11.2,322.13,633,663.9213982,111,2,3,2,1,3,1,14,6,0,213738,0.669043408,0.741843039,0.76,680,-0.799176695,0.13,0.06,0.359469,108812,52908
"475","Houston","Georgia",22553,35430,22094,33392,34631,22643,6311,1956,0,6,9,13,13,10,14,18,12,25,149111,139900,25.7,11.7,51.3,63.6,30.3,2.8,6.6,5.8,88.8,24,18505,20.5,67.1,25195,54893,15.2,375.54,372.5,397.0575704,83,3,3,0,0,2,1,11,4,0,149228,0.717023615,0.7278654,0.74,434,-0.853585718,-0.12,-0.05,0.347296,91602,45936
"476","Irwin","Georgia",891,2716,1197,2605,2519,1134,326,76,-1,0.574030554,0.656034918,0.955667095,0,0.572193554,0.946808456,0,2,1,9104,9538,22.3,18.2,49.2,71.3,26.7,0.8,3.6,0.7,81.1,10.3,923,22.5,72.4,18207,40771,21.2,354.34,26.9,25.69283739,6,0,2,0,0,1,0,1,2,0,9091,1.3199868,0.768704663,0.73,30,-0.072780901,-0.19,0.12,0.331579,102654,41831
"477","Jackson","Georgia",4491,21784,4950,17776,19122,4236,1193,733,0,1,2,6,11,11,11,3,11,11,61870,60485,25.7,13.5,50.4,88.8,7.2,1.9,6.7,4.4,81.1,19.5,3962,29.7,77.1,23247,53179,15.9,339.66,178.1,182.152741,41,2,6,0,0,1,0,3,3,0,61848,0.905445609,0.743678233,0.76,182,-0.620404189,-0.09,-0.03,0.32523,87186,42041
"478","Jasper","Georgia",1544,4360,1935,3916,4121,1839,634,133,0,0,2,0,1,1,1,4,1,1,13432,13900,24,15.5,51.3,76,21.5,0.3,4.2,3.1,83.6,13.3,872,36.2,76.1,21297,42192,21.7,368.17,37.8,36.48314637,7,0,2,0,0,1,0,0,1,0,13440,0.818452381,0.75652283,0.77,43,-0.604858754,-0.43,0,0.320937,101663,42082
"479","JeffDavis","Georgia",901,4104,1350,3847,3994,1271,400,107,0,1,0,0,2,6,6,0,4,1,14859,15068,27.5,14.2,50.5,82,15.6,0.6,11.3,4.7,79.6,9.6,773,22,71.3,17684,36296,24.5,330.74,45.6,44.92652839,13,0,2,0,0,0,0,0,0,0,14862,1.009285426,0.714419601,0.53,43,-0.575181105,NA,NA,0.318384,101276,41874
"480","Jefferson","Georgia",3821,3063,4149,3061,2992,4238,1615,208,0,2,0,1,0,0,2,1,0,2,16272,16930,24.1,17,51.4,44.5,53.6,0.7,3.3,1.2,73.8,8.8,1109,23.1,65.5,14757,26968,31.5,526.49,32.2,30.90656993,18,0,2,0,0,0,0,0,2,0,16237,1.354930098,0.744238221,0.76,83,0.160400628,-0.68,-0.13,0.317055,105237,42988
"481","Jenkins","Georgia",1123,1895,1482,1936,1884,1487,356,64,0,1,1,1,1,1,1,0,0,1,9125,8340,22.6,15.3,46.8,54.6,43.2,0.5,5.1,2.6,72.6,13.1,605,26.4,69.6,17565,26104,29.4,347.28,24,26.27562774,7,0,1,0,0,0,0,0,0,0,9129,0.876328185,0.700557967,0.66,28,-0.767379214,-0.45,0.07,0.310587,103707,41873
"482","Johnson","Georgia",1136,2519,1198,2426,2440,1305,389,64,0,0,0,1,0,0,2,0,1,0,9701,9980,19.6,15.5,43.5,63.5,35,0.3,2.2,1.7,75.8,11.5,729,28.9,78.9,16807,36722,22.8,303.01,32.9,32.01544503,13,0,1,0,0,0,0,0,0,0,9707,1.442258164,0.759259259,0.57,31,0.036037145,-0.57,0.19,0.306426,103096,41906
