county,state,clinton,trump
Searcy,AR,601,"2,955"
Sebastian,AR,"12,300","29,127"
Sevier,AR,"1,075","3,282"
Sharp,AR,"1,472","5,407"
Stone,AR,"1,203","4,113"
Union,AR,"5,855","10,456"
Van Buren,AR,"1,549","5,382"
Washington,AR,"33,366","41,476"
White,AR,"5,170","21,077"
Woodruff,AR,"1,118","1,347"
Yell,AR,"1,480","4,608"
Arkansas,T,"380,494","684,872"
,,,
Alameda,CA,"514,842","95,922"
Alpine,CA,334,217
Amador,CA,"6,004","10,485"
Butte,CA,"41,567","45,144"
Calaveras,CA,"7,944","13,511"
Colusa,CA,"2,661","3,551"
Contra Costa,CA,"319,287","115,956"
Del Norte,CA,"3,485","5,134"
El Dorado,CA,"36,404","49,247"
Fresno,CA,"141,341","124,049"
Glenn,CA,"3,065","5,788"
Humboldt,CA,"33,200","18,373"
Imperial,CA,"32,667","12,704"
Inyo,CA,"3,155","4,248"
Kern,CA,"98,689","129,584"
Kings,CA,"13,617","18,093"
Lake,CA,"11,500","10,603"
Lassen,CA,"2,224","7,574"
Los Angeles,CA,"2,464,364","769,743"
Madera,CA,"17,029","23,357"
Marin,CA,"108,707","21,771"
Mariposa,CA,"3,122","5,185"
Mendocino,CA,"22,079","10,888"
Merced,CA,"37,317","28,725"
Modoc,CA,877,"2,696"
Mono,CA,"2,773","2,111"
Monterey,CA,"89,088","34,895"
Napa,CA,"39,199","17,411"
Nevada,CA,"26,053","23,365"
Orange,CA,"609,961","507,148"
Placer,CA,"73,509","95,138"
Plumas,CA,"3,459","5,420"
Riverside,CA,"373,695","333,243"
Sacramento,CA,"326,023","189,789"
San Benito,CA,"12,521","7,841"
San Bernardino,CA,"340,833","271,240"
San Diego,CA,"735,476","477,766"
San Francisco,CA,"345,084","37,688"
San Joaquin,CA,"121,124","88,936"
San Luis Obispo,CA,"67,107","56,164"
San Mateo,CA,"237,882","57,929"
Santa Barbara,CA,"107,142","56,365"
Santa Clara,CA,"511,684","144,826"
Santa Cruz,CA,"95,249","22,438"
Shasta,CA,"22,301","51,778"
Sierra,CA,601,"1,048"
Siskiyou,CA,"7,234","11,341"
Solano,CA,"102,360","51,920"
Sonoma,CA,"160,435","51,408"
Stanislaus,CA,"81,647","78,494"
Sutter,CA,"13,076","18,176"
Tehama,CA,"6,809","15,494"
Trinity,CA,"2,214","2,812"
Tulare,CA,"47,585","58,299"
Tuolumne,CA,"9,123","14,551"
Ventura,CA,"194,402","132,323"
Yolo,CA,"54,752","20,739"
Yuba,CA,"7,910","13,170"
California,T,"8,753,792","4,483,814"
,,,
Adams,CO,"96,558","80,082"
Alamosa,CO,"3,189","3,046"
Arapahoe,CO,"159,885","117,053"
Archuleta,CO,"2,500","4,264"
Baca,CO,283,"1,753"
Bent,CO,590,"1,188"
Boulder,CO,"132,334","41,396"
Broomfield,CO,"19,731","14,367"
Chaffee,CO,"4,888","5,391"
Cheyenne,CO,132,925
Clear Creek,CO,"2,729","2,575"
Conejos,CO,"1,771","1,914"
Costilla,CO,"1,125",588
Crowley,CO,339,"1,079"
Custer,CO,797,"2,061"
Delta,CO,"4,087","11,655"
Denver,CO,"244,551","62,690"
Dolores,CO,242,944
Douglas,CO,"68,657","102,573"
Eagle,CO,"14,099","8,990"
Elbert,CO,"3,134","11,705"
El Paso,CO,"108,010","179,228"
Fremont,CO,"5,297","15,122"
Garfield,CO,"11,271","13,132"
Gilpin,CO,"1,634","1,566"
Grand,CO,"3,358","4,494"
Gunnison,CO,"5,128","3,289"
Hinsdale,CO,197,339
Huerfano,CO,"1,633","1,883"
Jackson,CO,171,629
Jefferson,CO,"160,776","138,177"
Kiowa,CO,91,728
Kit Carson,CO,536,"2,967"
Lake,CO,"1,616","1,270"
La Plata,CO,"15,525","12,587"
Larimer,CO,"93,113","83,430"
Las Animas,CO,"2,650","3,710"
Lincoln,CO,409,"1,892"
Logan,CO,"1,851","7,282"
Mesa,CO,"21,729","49,779"
Mineral,CO,237,344
Moffat,CO,874,"5,305"
Montezuma,CO,"3,973","7,853"
Montrose,CO,"5,466","14,382"
Morgan,CO,"3,151","8,145"
Otero,CO,"2,943","4,928"
Ouray,CO,"1,697","1,351"
Park,CO,"3,421","6,135"
Phillips,CO,436,"1,791"
Pitkin,CO,"7,333","2,550"
Prowers,CO,"1,186","3,531"
Pueblo,CO,"35,875","36,265"
Rio Blanco,CO,436,"2,791"
Rio Grande,CO,"2,001","3,085"
Routt,CO,"7,600","5,230"
Saguache,CO,"1,417","1,147"
San Juan,CO,265,215
San Miguel,CO,"2,975","1,033"
Sedgwick,CO,267,"1,015"
Summit,CO,"9,557","5,100"
Teller,CO,"3,603","9,745"
Washington,CO,296,"2,299"
Weld,CO,"46,519","76,651"
Yuma,CO,726,"3,850"
Colorado,T,"1,338,870","1,202,484"
,,,
Fairfield,CT,"243,852","160,077"
Hartford,CT,"240,403","148,173"
Litchfield,CT,"39,775","53,051"
Middlesex,CT,"45,357","38,867"
New Haven,CT,"205,609","159,048"
New London,CT,"62,278","54,058"
Tolland,CT,"38,506","34,194"
Windham,CT,"21,792","25,747"
Connecticut,T,"897,572","673,215"
,,,
Kent,DE,"33,351","36,991"
New Castle,DE,"162,919","85,525"
Sussex,DE,"39,333","62,611"
Delaware,T,"235,603","185,127"
,,,
District of Columbia,DC,"282,830","12,723"
District of Columbia,T,"282,830","12,723"
,,,
Alachua,FL,"75,820","46,834"
Baker,FL,"2,112","10,294"
Bay,FL,"21,797","62,194"
Bradford,FL,"2,924","8,913"
Brevard,FL,"119,679","181,848"
Broward,FL,"553,320","260,951"
Calhoun,FL,"1,241","4,655"
Charlotte,FL,"33,445","60,218"
Citrus,FL,"22,789","54,456"
Clay,FL,"27,822","74,963"
Collier,FL,"61,085","105,423"
