county,state,diversity_index
Laurel,KY,0.266126
Lawrence,KY,0.263773
Lee,KY,0.260286
Leslie,KY,0.25927
Letcher,KY,0.258959
Lewis,KY,0.257119
Lincoln,KY,0.250718
Livingston,KY,0.246577
Logan,KY,0.245399
Lyon,KY,0.239112
Madison,KY,0.233463
Magoffin,KY,0.232271
Marion,KY,0.227798
Marshall,KY,0.221817
Martin,KY,0.221418
Mason,KY,0.219735
McCracken,KY,0.217084
McCreary,KY,0.216958
McLean,KY,0.212082
Meade,KY,0.209634
Menifee,KY,0.206585
Mercer,KY,0.205829
Metcalfe,KY,0.203838
Monroe,KY,0.19026
Montgomery,KY,0.185524
Morgan,KY,0.183049
Muhlenberg,KY,0.179222
Nelson,KY,0.174189
Nicholas,KY,0.168502
Ohio,KY,0.160525
Oldham,KY,0.158881
Owen,KY,0.153252
Owsley,KY,0.152897
Pendleton,KY,0.147644
Perry,KY,0.145369
Pike,KY,0.140648
Powell,KY,0.131887
Pulaski,KY,0.128163
Robertson,KY,0.118336
Rockcastle,KY,0.117227
Rowan,KY,0.115298
Russell,KY,0.114573
Scott,KY,0.105865
Shelby,KY,0.102373
Simpson,KY,0.100076
Spencer,KY,0.096842
Taylor,KY,0.085577
Todd,KY,0.083259
Trigg,KY,0.081665
Trimble,KY,0.081665
Union,KY,0.077941
Warren,KY,0.070358
Washington,KY,0.066513
Wayne,KY,0.06273
Webster,KY,0.062612
Whitley,KY,0.056914
Wolfe,KY,0.0511
Woodford,KY,0.049201
Acadia,LA,0.769346
Allen,LA,0.651831
Ascension,LA,0.612776
Assumption,LA,0.608129
Avoyelles,LA,0.601006
Beauregard,LA,0.583858
Bienville,LA,0.572081
Bossier,LA,0.562004
Caddo,LA,0.543935
Calcasieu,LA,0.543478
Caldwell,LA,0.543385
Cameron,LA,0.538615
Catahoula,LA,0.531525
Claiborne,LA,0.522006
Concordia,LA,0.506541
DeSoto,LA,0.477976
EastBatonRouge,LA,0.464907
EastCarroll,LA,0.46428
EastFeliciana,LA,0.464137
Evangeline,LA,0.451218
Franklin,LA,0.436648
Grant,LA,0.404968
Iberia,LA,0.339116
Iberville,LA,0.338539
Jackson,LA,0.326671
Jefferson,LA,0.318022
JeffersonDavis,LA,0.310685
Lafayette,LA,0.278008
Lafourche,LA,0.276718
LaSalle,LA,0.267476
Lincoln,LA,0.253317
Livingston,LA,0.247361
Madison,LA,0.234877
Morehouse,LA,0.184482
Natchitoches,LA,0.174869
Orleans,LA,0.156679
Ouachita,LA,0.153527
Plaquemines,LA,0.137937
PointeCoupee,LA,0.135992
Rapides,LA,0.122786
RedRiver,LA,0.122663
Richland,LA,0.120755
Sabine,LA,0.113557
St.Bernard,LA,0.096768
St.Charles,LA,0.096748
St.Helena,LA,0.096534
St.James,LA,0.096468
St.JohntheBaptist,LA,0.096229
St.Landry,LA,0.094976
St.Martin,LA,0.094924
St.Mary,LA,0.094863
St.Tammany,LA,0.094845
Tangipahoa,LA,0.087268
Tensas,LA,0.085455
Terrebonne,LA,0.085454
Union,LA,0.077963
Vermilion,LA,0.074202
Vernon,LA,0.074174
Washington,LA,0.068426
Webster,LA,0.062637
WestBatonRouge,LA,0.060775
WestCarroll,LA,0.060764
WestFeliciana,LA,0.060748
Winn,LA,0.051153
Barnstable,MA,0.591041
Berkshire,MA,0.573836
Bristol,MA,0.555853
Dukes,MA,0.468465
Essex,MA,0.453225
Franklin,MA,0.4329
Hampden,MA,0.380696
Hampshire,MA,0.3806
Middlesex,MA,0.201917
Nantucket,MA,0.176332
Norfolk,MA,0.166201
Plymouth,MA,0.13687
Suffolk,MA,0.091102
Worcester,MA,0.047278
Allegany,MD,0.661628
AnneArundel,MD,0.62912
Baltimore,MD,0.597203
Baltimore,MD,0.597172
Calvert,MD,0.540002
Caroline,MD,0.53569
Carroll,MD,0.534763
Cecil,MD,0.530787
Charles,MD,0.52855
Dorchester,MD,0.47142
Frederick,MD,0.430307
Garrett,MD,0.420387
Harford,MD,0.372174
Howard,MD,0.345799
Kent,MD,0.291607
Montgomery,MD,0.187594
PrinceGeorge's,MD,0.129933
QueenAnne's,MD,0.126541
Somerset,MD,0.098473
St.Mary's,MD,0.094852
Talbot,MD,0.087393
Washington,MD,0.066537
Wicomico,MD,0.056903
Worcester,MD,0.047267
Androscoggin,ME,0.632352
Aroostook,ME,0.612919
Cumberland,ME,0.495749
Franklin,ME,0.431513
Hancock,ME,0.379056
Kennebec,ME,0.2923
Knox,ME,0.281033
Lincoln,ME,0.249824
Oxford,ME,0.152102
Penobscot,ME,0.146841
Piscataquis,ME,0.139135
Sagadahoc,ME,0.113398
Somerset,ME,0.098388
Waldo,ME,0.074
Washington,ME,0.066509
York,ME,0.039483
Alcona,MI,0.678237
Alger,MI,0.663094
Allegan,MI,0.661865
Alpena,MI,0.645004
Antrim,MI,0.624636
Arenac,MI,0.614894
Baraga,MI,0.594718
Barry,MI,0.588653
Bay,MI,0.584602
Benzie,MI,0.575457
Berrien,MI,0.57378
Branch,MI,0.558215
Calhoun,MI,0.541947
Cass,MI,0.53262
Charlevoix,MI,0.528257
Cheboygan,MI,0.526757
Chippewa,MI,0.523314
Clare,MI,0.521448
Clinton,MI,0.514326
Crawford,MI,0.50011
Delta,MI,0.479879
Dickinson,MI,0.475982
Eaton,MI,0.463857
Emmet,MI,0.456623
Genesee,MI,0.417471
Gladwin,MI,0.414104
Gogebic,MI,0.411708
GrandTraverse,MI,0.405884
Gratiot,MI,0.401317
Hillsdale,MI,0.354523
Houghton,MI,0.347391
Huron,MI,0.339937
Ingham,MI,0.334798
Ionia,MI,0.334216
Iosco,MI,0.334101
Iron,MI,0.332108
Isabella,MI,0.331527
Jackson,MI,0.32426
Kalamazoo,MI,0.298347
Kalkaska,MI,0.298113
Kent,MI,0.291752
Keweenaw,MI,0.288816
Lake,MI,0.27436
Lapeer,MI,0.268997
Leelanau,MI,0.260232
Lenawee,MI,0.259801
Livingston,MI,0.246793
Luce,MI,0.241409
Mackinac,MI,0.238768
Macomb,MI,0.238473
Manistee,MI,0.230552
Marquette,MI,0.224858
Mason,MI,0.219624
Mecosta,MI,0.208574
Menominee,MI,0.206384
Midland,MI,0.201105
Missaukee,MI,0.196844
Monroe,MI,0.19031
Montcalm,MI,0.188737
Montmorency,MI,0.185236
Muskegon,MI,0.177815
Newaygo,MI,0.172389
Oakland,MI,0.162475
Oceana,MI,0.162242
Ogemaw,MI,0.161534
Ontonagon,MI,0.158423
Osceola,MI,0.155363
Oscoda,MI,0.155346
Otsego,MI,0.15508
Ottawa,MI,0.154772
PresqueIsle,MI,0.130779
Roscommon,MI,0.115501
Saginaw,MI,0.113379
Sanilac,MI,0.109932
Schoolcraft,MI,0.106119
Shiawassee,MI,0.100445
St.Clair,MI,0.096672
St.Joseph,MI,0.094983
Tuscola,MI,0.079802
VanBuren,MI,0.076029
Washtenaw,MI,0.06463
Wayne,MI,0.064584
Wexford,MI,0.060722
Aitkin,MN,0.686497
Anoka,MN,0.626907
Becker,MN,0.583002
Beltrami,MN,0.580068
Benton,MN,0.576055
BigStone,MN,0.571987
BlueEarth,MN,0.566763
Brown,MN,0.552435
Carlton,MN,0.536361
Carver,MN,0.533312
Cass,MN,0.532785
Chippewa,MN,0.523297
Chisago,MN,0.523098
Clay,MN,0.518111
Clearwater,MN,0.514829
Cook,MN,0.505971
Cottonwood,MN,0.503566
CrowWing,MN,0.497584
Dakota,MN,0.492333
Dodge,MN,0.472135
Douglas,MN,0.469302
Faribault,MN,0.447941
Fillmore,MN,0.445284
Freeborn,MN,0.428703
Goodhue,MN,0.409886
Grant,MN,0.401517
Hennepin,MN,0.359677
Houston,MN,0.345935
Hubbard,MN,0.34308
Isanti,MN,0.331253
Itasca,MN,0.330784
Jackson,MN,0.323523
Kanabec,MN,0.297942
Kandiyohi,MN,0.2974
Kittson,MN,0.284228
Koochiching,MN,0.2801
LacquiParle,MN,0.278438
Lake,MN,0.272796
LakeoftheWoods,MN,0.272606
LeSueur,MN,0.258983
Lincoln,MN,0.249792
Lyon,MN,0.239113
Mahnomen,MN,0.231825
Marshall,MN,0.222089
Martin,MN,0.221376
McLeod,MN,0.21142
Meeker,MN,0.207804
MilleLacs,MN,0.200393
Morrison,MN,0.180297
Mower,MN,0.179369
Murray,MN,0.178393
Nicollet,MN,0.16842
Nobles,MN,0.167201
Norman,MN,0.166185
Olmsted,MN,0.158783
OtterTail,MN,0.154645
Pennington,MN,0.147337
Pine,MN,0.140308
Pipestone,MN,0.13924
Polk,MN,0.134941
Pope,MN,0.13333
Ramsey,MN,0.125789
RedLake,MN,0.122699
Redwood,MN,0.122585
Renville,MN,0.121141
Rice,MN,0.120809
Rock,MN,0.117435
Roseau,MN,0.11546
Scott,MN,0.105966
Sherburne,MN,0.102115
Sibley,MN,0.100394
St.Louis,MN,0.094951
Stearns,MN,0.092939
Steele,MN,0.09293
Stevens,MN,0.091184
Swift,MN,0.087411
Todd,MN,0.082592
Traverse,MN,0.081704
Wabasha,MN,0.074125
Wadena,MN,0.074071
Waseca,MN,0.070233
Washington,MN,0.066529
Watonwan,MN,0.064611
Wilkin,MN,0.055026
Winona,MN,0.05112
Wright,MN,0.045338
YellowMedicine,MN,0.041427
Adair,MO,0.738867
Andrew,MO,0.634152
Atchison,MO,0.606696
Audrain,MO,0.602527
Barry,MO,0.589671
Barton,MO,0.587233
Bates,MO,0.586408
Benton,MO,0.575881
Bollinger,MO,0.56628
Boone,MO,0.564655
Buchanan,MO,0.550859
Butler,MO,0.547051
Caldwell,MO,0.542915
Callaway,MO,0.540543
Camden,MO,0.538819
CapeGirardeau,MO,0.53702
Carroll,MO,0.534485
Carter,MO,0.53385
Cass,MO,0.532569
Cedar,MO,0.530753
Chariton,MO,0.528564
Christian,MO,0.522405
Clark,MO,0.520317
Clay,MO,0.518314
Clinton,MO,0.513695
Cole,MO,0.511588
Cooper,MO,0.50557
Crawford,MO,0.499601
Dade,MO,0.493042
Dallas,MO,0.491125
Daviess,MO,0.488617
DeKalb,MO,0.482243
Dent,MO,0.479531
Douglas,MO,0.469828
Dunklin,MO,0.467708
Franklin,MO,0.431593
Gasconade,MO,0.419252
Gentry,MO,0.417309
Greene,MO,0.395103
Grundy,MO,0.388965
Harrison,MO,0.36786
Henry,MO,0.356945
Hickory,MO,0.355644
Holt,MO,0.351218
Howard,MO,0.344602
Howell,MO,0.343143
Iron,MO,0.332214
Jackson,MO,0.327473
Jasper,MO,0.320296
Jefferson,MO,0.311687
Johnson,MO,0.304435
Knox,MO,0.280244
Laclede,MO,0.279369
Lafayette,MO,0.277228
Lawrence,MO,0.264588
Lewis,MO,0.257861
Lincoln,MO,0.250803
Linn,MO,0.248532
Livingston,MO,0.24696
Macon,MO,0.23706
Madison,MO,0.23268
Maries,MO,0.229436
Marion,MO,0.227049
McDonald,MO,0.216385
Mercer,MO,0.204957
Miller,MO,0.199795
Mississippi,MO,0.196354
Moniteau,MO,0.192974
Monroe,MO,0.190036
Montgomery,MO,0.185338
Morgan,MO,0.183028
NewMadrid,MO,0.171069
Newton,MO,0.170181
Nodaway,MO,0.167048
Oregon,MO,0.156679
Osage,MO,0.156119
Ozark,MO,0.15178
Pemiscot,MO,0.147697
Perry,MO,0.145606
Pettis,MO,0.144565
Phelps,MO,0.144511
Pike,MO,0.141004
Platte,MO,0.137566
Polk,MO,0.134452
Pulaski,MO,0.128244
Putnam,MO,0.127258
Ralls,MO,0.125884
Randolph,MO,0.124418
Ray,MO,0.122712
Reynolds,MO,0.120969
Ripley,MO,0.118982
Saline,MO,0.111632
Schuyler,MO,0.106051
Scotland,MO,0.106016
Scott,MO,0.10591
Shannon,MO,0.10398
Shelby,MO,0.102302
St.Charles,MO,0.096736
St.Clair,MO,0.096653
St.Francois,MO,0.096558
St.Louis,MO,0.094971
St.Louis,MO,0.094969
Ste.Genevieve,MO,0.092969
Stoddard,MO,0.091152
Stone,MO,0.091125
Sullivan,MO,0.090986
Taney,MO,0.087292
Texas,MO,0.085327
Vernon,MO,0.074172
Warren,MO,0.07031
Washington,MO,0.06643
Wayne,MO,0.062697
Webster,MO,0.062594
Worth,MO,0.047225
Wright,MO,0.045328
Adams,MS,0.730326
Alcorn,MS,0.674524
Amite,MS,0.641095
Attala,MS,0.605139
Benton,MS,0.576978
Bolivar,MS,0.566401
Calhoun,MS,0.542471
Carroll,MS,0.535304
Chickasaw,MS,0.524418
Choctaw,MS,0.522787
Claiborne,MS,0.521992
Clarke,MS,0.520215
Clay,MS,0.518483
Coahoma,MS,0.512896
Copiah,MS,0.505187
Covington,MS,0.503023
DeSoto,MS,0.477956
Forrest,MS,0.439733
Franklin,MS,0.436835
George,MS,0.41724
Greene,MS,0.396959
Grenada,MS,0.390945
Hancock,MS,0.379474
Harrison,MS,0.368242
Hinds,MS,0.354433
Holmes,MS,0.352144
Humphreys,MS,0.34064
Issaquena,MS,0.330959
Itawamba,MS,0.328709
Jackson,MS,0.326747
Jasper,MS,0.321336
Jefferson,MS,0.315375
JeffersonDavis,MS,0.311324
Jones,MS,0.301108
Kemper,MS,0.29391
Lafayette,MS,0.277705
Lamar,MS,0.271318
Lauderdale,MS,0.266254
Lawrence,MS,0.26541
Leake,MS,0.263549
Lee,MS,0.261648
Leflore,MS,0.260087
Lincoln,MS,0.252753
Lowndes,MS,0.242211
Madison,MS,0.235541
Marion,MS,0.228122
Marshall,MS,0.223572
Monroe,MS,0.191443
Montgomery,MS,0.187133
Neshoba,MS,0.17355
Newton,MS,0.170709
Noxubee,MS,0.163732
Oktibbeha,MS,0.15903
Panola,MS,0.150144
PearlRiver,MS,0.147755
Perry,MS,0.146075
Pike,MS,0.141244
Pontotoc,MS,0.133559
Prentiss,MS,0.131167
Quitman,MS,0.126397
Rankin,MS,0.122895
Scott,MS,0.106005
Sharkey,MS,0.103969
Simpson,MS,0.100249
Smith,MS,0.09864
Stone,MS,0.091144
Sunflower,MS,0.08914
Tallahatchie,MS,0.08735
Tate,MS,0.087098
Tippah,MS,0.083589
Tishomingo,MS,0.083508
Tunica,MS,0.079872
Union,MS,0.077941
Walthall,MS,0.072249
Warren,MS,0.070389
Washington,MS,0.068291
Wayne,MS,0.06457
Webster,MS,0.062631
Wilkinson,MS,0.054998
Winston,MS,0.051117
Yalobusha,MS,0.043362
Yazoo,MS,0.041444
Beaverhead,MT,0.583248
BigHorn,MT,0.57207
Blaine,MT,0.570089
Broadwater,MT,0.554916
Carbon,MT,0.536629
Carter,MT,0.533668
Cascade,MT,0.533163
Chouteau,MT,0.522781
Custer,MT,0.493429
Daniels,MT,0.490852
Dawson,MT,0.486708
DeerLodge,MT,0.482499
Fallon,MT,0.449488
Fergus,MT,0.445417
Flathead,MT,0.444007
Gallatin,MT,0.423906
Garfield,MT,0.420595
Glacier,MT,0.41435
GoldenValley,MT,0.411591
Granite,MT,0.405818
Hill,MT,0.355049
Jefferson,MT,0.313688
JudithBasin,MT,0.300119
Lake,MT,0.275195
LewisandClark,MT,0.256978
Liberty,MT,0.255336
Lincoln,MT,0.250819
Madison,MT,0.232838
McCone,MT,0.21758
Meagher,MT,0.209521
Mineral,MT,0.198731
Missoula,MT,0.195976
Musselshell,MT,0.177551
Park,MT,0.149708
Petroleum,MT,0.144568
Phillips,MT,0.143934
Pondera,MT,0.133589
PowderRiver,MT,0.131946
Powell,MT,0.131888
Prairie,MT,0.131595
Ravalli,MT,0.122729
Richland,MT,0.120703
Roosevelt,MT,0.115582
Rosebud,MT,0.115438
Sanders,MT,0.111356
Sheridan,MT,0.101856
SilverBow,MT,0.100255
Stillwater,MT,0.091157
SweetGrass,MT,0.087433
Teton,MT,0.085357
Toole,MT,0.081759
Treasure,MT,0.081702
Valley,MT,0.076058
Wheatland,MT,0.058847
Wibaux,MT,0.056908
Yellowstone,MT,0.041415
Alamance,NC,0.684969
Alexander,NC,0.667849
Alleghany,NC,0.658205
Anson,NC,0.626423
Ashe,NC,0.612762
Avery,NC,0.601064
Beaufort,NC,0.583869
Bertie,NC,0.57334
Bladen,NC,0.571327
Brunswick,NC,0.551435
Buncombe,NC,0.54817
Burke,NC,0.547937
Cabarrus,NC,0.544959
Caldwell,NC,0.543243
Camden,NC,0.539025
Carteret,NC,0.533449
Caswell,NC,0.531654
Catawba,NC,0.531492
Chatham,NC,0.52761
Cherokee,NC,0.525894
Chowan,NC,0.522646
Clay,NC,0.517585
Cleveland,NC,0.514537
Columbus,NC,0.507704
Craven,NC,0.501585
Cumberland,NC,0.496482
Currituck,NC,0.494816
Dare,NC,0.490496
Davidson,NC,0.48984
Davie,NC,0.489518
Duplin,NC,0.466396
Durham,NC,0.466258
Edgecombe,NC,0.461653
Forsyth,NC,0.439544
Franklin,NC,0.437584
Gaston,NC,0.418863
Gates,NC,0.418588
Graham,NC,0.408551
Granville,NC,0.401358
Greene,NC,0.397373
Guilford,NC,0.386932
Halifax,NC,0.385173
Harnett,NC,0.371117
Haywood,NC,0.363
Henderson,NC,0.361561
Hertford,NC,0.355959
Hoke,NC,0.352148
Hyde,NC,0.339323
Iredell,NC,0.332519
Jackson,NC,0.325602
Johnston,NC,0.302848
Jones,NC,0.301148
Lee,NC,0.263159
Lenoir,NC,0.25951
Lincoln,NC,0.252152
Macon,NC,0.237899
Madison,NC,0.232919
Martin,NC,0.221636
McDowell,NC,0.215354
Mecklenburg,NC,0.209204
Mitchell,NC,0.194449
Montgomery,NC,0.187464
Moore,NC,0.185116
Nash,NC,0.175977
NewHanover,NC,0.171694
Northampton,NC,0.165969
Onslow,NC,0.158545
Orange,NC,0.157351
Pamlico,NC,0.150198
Pasquotank,NC,0.149461
Pender,NC,0.147695
Perquimans,NC,0.146195
Person,NC,0.144836
Pitt,NC,0.139042
Polk,NC,0.135139
Randolph,NC,0.124529
Richmond,NC,0.120523
Robeson,NC,0.118326
Rockingham,NC,0.117183
Rowan,NC,0.115321
Rutherford,NC,0.113658
Sampson,NC,0.111502
Scotland,NC,0.106021
Stanly,NC,0.094595
Stokes,NC,0.091146
Surry,NC,0.088992
Swain,NC,0.087434
Transylvania,NC,0.081713
Tyrrell,NC,0.079743
Union,NC,0.077944
Vance,NC,0.075965
Wake,NC,0.074051
Warren,NC,0.071953
Washington,NC,0.068449
Watauga,NC,0.064624
Wayne,NC,0.064574
Wilkes,NC,0.056824
Wilson,NC,0.054921
Yadkin,NC,0.043387
Yancey,NC,0.043357
Adams,ND,0.691029
Barnes,ND,0.591257
Benson,ND,0.577249
Billings,ND,0.571908
Bottineau,ND,0.561553
Bowman,ND,0.560046
Burke,ND,0.547813
Burleigh,ND,0.547807
Cass,ND,0.532294
Cavalier,ND,0.53108
Dickey,ND,0.476335
Divide,ND,0.473051
Dunn,ND,0.467128
Eddy,ND,0.462977
Emmons,ND,0.456385
Foster,ND,0.439015
GoldenValley,ND,0.411326
GrandForks,ND,0.407071
Grant,ND,0.401937
Griggs,ND,0.390752
Hettinger,ND,0.355956
Kidder,ND,0.287995
LaMoure,ND,0.270814
Logan,ND,0.244645
McHenry,ND,0.214581
McIntosh,ND,0.213538
McKenzie,ND,0.212758
McLean,ND,0.212086
Mercer,ND,0.205552
Morton,ND,0.179999
Mountrail,ND,0.179506
Nelson,ND,0.174141
Oliver,ND,0.158854
Pembina,ND,0.147706
Pierce,ND,0.141849
Ramsey,ND,0.125654
Ransom,ND,0.122844
Renville,ND,0.121044
Richland,ND,0.120693
Rolette,ND,0.11682
Sargent,ND,0.107444
Sheridan,ND,0.100584
Sioux,ND,0.100056
Slope,ND,0.098676
Stark,ND,0.093075
Steele,ND,0.092922
Stutsman,ND,0.091104
Towner,ND,0.081735
Traill,ND,0.081714
Walsh,ND,0.072258
Ward,ND,0.072121
Wells,ND,0.060781
Williams,ND,0.054976
Adams,NE,0.71441
Antelope,NE,0.624784
Arthur,NE,0.612887
Banner,NE,0.59568
Blaine,NE,0.569087
Boone,NE,0.563845
BoxButte,NE,0.559992
Boyd,NE,0.559616
Brown,NE,0.552126
Buffalo,NE,0.549508
Burt,NE,0.547292
Butler,NE,0.546476
Cass,NE,0.532117
Cedar,NE,0.530604
Chase,NE,0.527814
Cherry,NE,0.525778
Cheyenne,NE,0.524634
Clay,NE,0.518066
Colfax,NE,0.51051
Cuming,NE,0.495025
Custer,NE,0.493394
Dakota,NE,0.492445
Dawes,NE,0.487881
Dawson,NE,0.48701
Deuel,NE,0.477309
Dixon,NE,0.472884
Dodge,NE,0.472444
Douglas,NE,0.470863
Dundy,NE,0.468315
Fillmore,NE,0.445408
Franklin,NE,0.430525
Frontier,NE,0.42736
Furnas,NE,0.425545
Gage,NE,0.425468
Garden,NE,0.422692
Garfield,NE,0.420549
Gosper,NE,0.409428
Grant,NE,0.401417
Greeley,NE,0.398006
Hall,NE,0.383305
Hamilton,NE,0.381813
Harlan,NE,0.371522
Hayes,NE,0.364387
Hitchcock,NE,0.353858
Holt,NE,0.351343
Hooker,NE,0.35039
Howard,NE,0.344414
Jefferson,NE,0.313091
Johnson,NE,0.305176
Kearney,NE,0.294478
Keith,NE,0.293995
KeyaPaha,NE,0.288075
Kimball,NE,0.287826
Knox,NE,0.281563
Lancaster,NE,0.270005
Lincoln,NE,0.251369
Logan,NE,0.244665
Loup,NE,0.242641
Madison,NE,0.234437
McPherson,NE,0.210075
Merrick,NE,0.204329
Morrill,NE,0.181353
Nance,NE,0.177024
Nemaha,NE,0.174132
Nuckolls,NE,0.163588
Otoe,NE,0.155115
Pawnee,NE,0.148109
Perkins,NE,0.146272
Phelps,NE,0.144454
Pierce,NE,0.141781
Platte,NE,0.137489
Polk,NE,0.133735
RedWillow,NE,0.122603
Richardson,NE,0.120781
Rock,NE,0.117328
Saline,NE,0.111807
Sarpy,NE,0.107126
Saunders,NE,0.106186
ScottsBluff,NE,0.10522
Seward,NE,0.104069
Sheridan,NE,0.102046
Sherman,NE,0.100466
Sioux,NE,0.099753
Stanton,NE,0.094273
Thayer,NE,0.085309
Thomas,NE,0.085294
Thurston,NE,0.085043
Valley,NE,0.076046
Washington,NE,0.066366
Wayne,NE,0.064553
Webster,NE,0.062601
Wheeler,NE,0.058825
York,NE,0.039485
Belknap,NH,0.580696
Carroll,NH,0.534138
Cheshire,NH,0.525607
Coos,NH,0.505367
Grafton,NH,0.409028
Hillsborough,NH,0.354606
Merrimack,NH,0.204041
Rockingham,NH,0.117129
Strafford,NH,0.091113
Sullivan,NH,0.090852
Atlantic,NJ,0.605911
Bergen,NJ,0.575335
Burlington,NJ,0.547468
Camden,NJ,0.539621
CapeMay,NJ,0.536931
Cumberland,NJ,0.496278
Essex,NJ,0.454651
Gloucester,NJ,0.412457
Hudson,NJ,0.342979
Hunterdon,NJ,0.340236
Mercer,NJ,0.205964
Middlesex,NJ,0.202161
Monmouth,NJ,0.192607
Morris,NJ,0.181004
Ocean,NJ,0.162386
Passaic,NJ,0.148916
Salem,NJ,0.113242
Somerset,NJ,0.098485
Sussex,NJ,0.087483
Union,NJ,0.077996
Warren,NJ,0.07034
Bernalillo,NM,0.573803
Catron,NM,0.531194
Chaves,NM,0.527085
Cibola,NM,0.522061
Colfax,NM,0.510528
Curry,NM,0.494638
DeBaca,NM,0.484672
Do?aAna,NM,0.472869
Eddy,NM,0.463094
Grant,NM,0.405812
Guadalupe,NM,0.387568
Harding,NM,0.373039
Hidalgo,NM,0.355383
Lea,NM,0.263727
Lincoln,NM,0.253304
LosAlamos,NM,0.24407
Luna,NM,0.240993
McKinley,NM,0.212449
Mora,NM,0.184634
Otero,NM,0.155178
Quay,NM,0.126877
RioArriba,NM,0.11912
Roosevelt,NM,0.116401
Sandoval,NM,0.111069
SanJuan,NM,0.109624
SanMiguel,NM,0.108058
SantaFe,NM,0.107808
Sierra,NM,0.100394
Socorro,NM,0.09853
Taos,NM,0.087137
Torrance,NM,0.08174
Union,NM,0.07799
Valencia,NM,0.076088
CarsonCity,NV,0.533985
Churchill,NV,0.522181
Clark,NV,0.521253
Douglas,NV,0.470683
Elko,NV,0.458668
Esmeralda,NV,0.455234
Eureka,NV,0.451626
Humboldt,NV,0.34174
Lander,NV,0.269846
Lincoln,NV,0.251719
Lyon,NV,0.239118
Mineral,NV,0.198848
Nye,NV,0.162959
Pershing,NV,0.145246
Storey,NV,0.091117
Washoe,NV,0.064635
WhitePine,NV,0.056939
Albany,NY,0.679829
Allegany,NY,0.660503
Bronx,NY,0.554775
Broome,NY,0.55373
Cattaraugus,NY,0.531113
Cayuga,NY,0.531015
Chautauqua,NY,0.527184
Chemung,NY,0.526248
Chenango,NY,0.52618
Clinton,NY,0.514288
Columbia,NY,0.509671
Cortland,NY,0.504723
Delaware,NY,0.481481
Dutchess,NY,0.46585
Erie,NY,0.456053
Essex,NY,0.452732
Franklin,NY,0.435695
Fulton,NY,0.426681
Genesee,NY,0.417403
Greene,NY,0.395788
Hamilton,NY,0.381524
Herkimer,NY,0.356937
Jefferson,NY,0.315694
Kings,NY,0.28675
Lewis,NY,0.257729
Livingston,NY,0.247261
Madison,NY,0.233284
Monroe,NY,0.191378
Montgomery,NY,0.185932
Nassau,NY,0.175639
NewYork,NY,0.169107
Niagara,NY,0.168506
Oneida,NY,0.158705
Onondaga,NY,0.15862
Ontario,NY,0.158535
Orange,NY,0.157365
Orleans,NY,0.156634
Oswego,NY,0.155268
Otsego,NY,0.155103
Putnam,NY,0.127893
Queens,NY,0.126433
Rensselaer,NY,0.121925
Richmond,NY,0.120104
Rockland,NY,0.116952
Saratoga,NY,0.107461
Schenectady,NY,0.106143
Schoharie,NY,0.106123
Schuyler,NY,0.106074
Seneca,NY,0.104182
St.Lawrence,NY,0.094973
Steuben,NY,0.092685
Suffolk,NY,0.09107
Sullivan,NY,0.091061
Tioga,NY,0.083623
Tompkins,NY,0.081765
Ulster,NY,0.078039
Warren,NY,0.070297
Washington,NY,0.066493
Wayne,NY,0.064553
Westchester,NY,0.06076
Wyoming,NY,0.045305
Yates,NY,0.043287
Adams,OH,0.690899
Allen,OH,0.649776
Ashland,OH,0.612108
Ashtabula,OH,0.60928
Athens,OH,0.60615
Auglaize,OH,0.601993
Belmont,OH,0.580247
Brown,OH,0.552251
Butler,OH,0.547155
Carroll,OH,0.534065
Champaign,OH,0.52897
Clark,OH,0.520745
Clermont,OH,0.514677
Clinton,OH,0.513794
Columbiana,OH,0.507901
Coshocton,OH,0.504601
Crawford,OH,0.499671
Cuyahoga,OH,0.493346
Darke,OH,0.490321
Defiance,OH,0.482363
Delaware,OH,0.481693
Erie,OH,0.455794
Fairfield,OH,0.449569
Fayette,OH,0.446389
Franklin,OH,0.437303
Fulton,OH,0.426977
Gallia,OH,0.423472
Geauga,OH,0.418065
Greene,OH,0.396495
Guernsey,OH,0.387107
Hamilton,OH,0.382821
Hancock,OH,0.379431
Hardin,OH,0.373131
Harrison,OH,0.367921
Henry,OH,0.35812
Highland,OH,0.355249
Hocking,OH,0.353713
Holmes,OH,0.351636
Huron,OH,0.33995
Jackson,OH,0.32261
Jefferson,OH,0.314216
Knox,OH,0.281305
Lake,OH,0.274214
Lawrence,OH,0.264178
Licking,OH,0.254506
Logan,OH,0.244716
Lorain,OH,0.24417
Lucas,OH,0.241699
Madison,OH,0.233621
Mahoning,OH,0.231542
Marion,OH,0.227105
Medina,OH,0.208044
Meigs,OH,0.207542
Mercer,OH,0.20517
Miami,OH,0.203317
Monroe,OH,0.189111
Montgomery,OH,0.186787
Morgan,OH,0.183119
Morrow,OH,0.180246
Muskingum,OH,0.1777
Noble,OH,0.167245
Ottawa,OH,0.15474
Paulding,OH,0.148385
Perry,OH,0.14528
Pickaway,OH,0.143612
Pike,OH,0.140984
Portage,OH,0.133173
Preble,OH,0.131367
Putnam,OH,0.127579
Richland,OH,0.120744
Ross,OH,0.115422
Sandusky,OH,0.110617
Scioto,OH,0.106026
