county,state,diversity_index
SantaBarbara,CA,0.107969
SantaClara,CA,0.107905
SantaCruz,CA,0.107824
Shasta,CA,0.103838
Sierra,CA,0.100371
Siskiyou,CA,0.098769
Solano,CA,0.098517
Sonoma,CA,0.098291
Stanislaus,CA,0.09471
Sutter,CA,0.087482
Tehama,CA,0.085503
Trinity,CA,0.081657
Tulare,CA,0.079915
Tuolumne,CA,0.079862
Ventura,CA,0.075787
Yolo,CA,0.041404
Yuba,CA,0.039468
Adams,CO,0.731461
Alamosa,CO,0.681277
Arapahoe,CO,0.617255
Archuleta,CO,0.615762
Baca,CO,0.600981
Bent,CO,0.577085
Boulder,CO,0.561534
Broomfield,CO,0.553516
Chaffee,CO,0.529928
Cheyenne,CO,0.524687
ClearCreek,CO,0.516013
Conejos,CO,0.506452
Costilla,CO,0.504339
Crowley,CO,0.497661
Custer,CO,0.493641
Delta,CO,0.480133
Denver,CO,0.479026
Dolores,CO,0.471709
Douglas,CO,0.470458
Eagle,CO,0.465316
Elbert,CO,0.459482
ElPaso,CO,0.457798
Fremont,CO,0.428108
Garfield,CO,0.421728
Gilpin,CO,0.414569
Grand,CO,0.407136
Gunnison,CO,0.386788
Hinsdale,CO,0.353978
Huerfano,CO,0.342505
Jackson,CO,0.32394
Jefferson,CO,0.316292
Kiowa,CO,0.284601
KitCarson,CO,0.284596
Lake,CO,0.275323
LaPlata,CO,0.26891
Larimer,CO,0.267708
LasAnimas,CO,0.267129
Lincoln,CO,0.252392
Logan,CO,0.245427
Mesa,CO,0.203971
Mineral,CO,0.198444
Moffat,CO,0.19302
Montezuma,CO,0.188138
Montrose,CO,0.185178
Morgan,CO,0.184256
Otero,CO,0.155142
Ouray,CO,0.153416
Park,CO,0.149824
Phillips,CO,0.144153
Pitkin,CO,0.1391
Prowers,CO,0.129545
Pueblo,CO,0.128912
RioBlanco,CO,0.119038
RioGrande,CO,0.118989
Routt,CO,0.115338
Saguache,CO,0.113364
SanJuan,CO,0.10929
SanMiguel,CO,0.108015
Sedgwick,CO,0.104258
Summit,CO,0.090279
Teller,CO,0.085481
Washington,CO,0.066517
Weld,CO,0.060797
Yuma,CO,0.035585
Fairfield,CT,0.450661
Hartford,CT,0.366411
Litchfield,CT,0.24821
Middlesex,CT,0.201324
NewHaven,CT,0.171527
NewLondon,CT,0.171118
Tolland,CT,0.081809
Windham,CT,0.053061
DistrictofColumbia,DC,0.474088
Kent,DE,0.291793
NewCastle,DE,0.17197
Sussex,DE,0.087501
Alachua,FL,0.685223
Baker,FL,0.599061
Bay,FL,0.584873
Bradford,FL,0.558831
Brevard,FL,0.556216
Broward,FL,0.553319
Calhoun,FL,0.542071
Charlotte,FL,0.528219
Citrus,FL,0.522024
Clay,FL,0.51843
Collier,FL,0.510463
Columbia,FL,0.50976
DeSoto,FL,0.47837
Dixie,FL,0.47289
Duval,FL,0.465689
Escambia,FL,0.455254
Flagler,FL,0.444213
Franklin,FL,0.436344
Gadsden,FL,0.425527
Gilchrist,FL,0.41609
Glades,FL,0.414346
Gulf,FL,0.386886
Hamilton,FL,0.382844
Hardee,FL,0.374545
Hendry,FL,0.360671
Hernando,FL,0.35684
Highlands,FL,0.355058
Hillsborough,FL,0.354752
Holmes,FL,0.352027
IndianRiver,FL,0.334928
Jackson,FL,0.326766
Jefferson,FL,0.317042
Lafayette,FL,0.277916
Lake,FL,0.274471
Lee,FL,0.261725
Leon,FL,0.25931
Levy,FL,0.25854
Liberty,FL,0.255583
Madison,FL,0.235881
Manatee,FL,0.230725
Marion,FL,0.227828
Martin,FL,0.221504
Miami-Dade,FL,0.202402
Monroe,FL,0.191649
Nassau,FL,0.174957
Okaloosa,FL,0.160227
Okeechobee,FL,0.160081
Orange,FL,0.158223
Osceola,FL,0.155874
PalmBeach,FL,0.151092
Pasco,FL,0.149496
Pinellas,FL,0.140102
Polk,FL,0.135697
Putnam,FL,0.128048
SantaRosa,FL,0.107733
Sarasota,FL,0.107566
Seminole,FL,0.10425
St.Johns,FL,0.096368
St.Lucie,FL,0.094932
Sumter,FL,0.0892
