county,state,Clinton,Sanders
Yuba,CA,"2,388","2,771"
California,T,"2,745,302","2,381,722"
,,,
Fairfield,CT,"46,651","29,596"
Hartford,CT,"48,104","40,442"
Litchfield,CT,"6,643","9,022"
Middlesex,CT,"8,498","9,829"
New Haven,CT,"40,627","36,259"
New London,CT,"10,518","13,142"
Tolland,CT,"5,609","8,737"
Windham,CT,"3,395","5,352"
Connecticut,T,"170,045","152,379"
,,,
Kent,DE,"7,338","4,980"
New Castle,DE,"38,584","25,741"
Sussex,DE,"10,032","5,941"
Delaware,T,"55,954","36,662"
,,,
District of Columbia,DC,"76,704","20,361"
District of Columbia,T,"76,704","20,361"
,,,
Alachua,FL,"17,783","17,738"
Baker,FL,654,805
Bay,FL,"5,218","4,135"
Bradford,FL,"1,057",908
Brevard,FL,"31,878","20,107"
Broward,FL,"134,357","49,071"
Calhoun,FL,437,545
Charlotte,FL,"8,127","4,638"
Citrus,FL,"6,865","4,786"
Clay,FL,"5,347","3,700"
Collier,FL,"12,729","6,139"
Columbia,FL,"2,304","1,676"
Desoto,FL,988,728
Dixie,FL,409,459
Duval,FL,"59,521","27,244"
Escambia,FL,"16,774","9,332"
Flagler,FL,"6,162","2,980"
Franklin,FL,666,647
Gadsden,FL,"7,449","1,945"
Gilchrist,FL,428,578
Glades,FL,387,313
Gulf,FL,568,520
Hamilton,FL,758,479
Hardee,FL,530,393
Hendry,FL,"1,157",647
Hernando,FL,"8,946","5,550"
Highlands,FL,"3,716","2,057"
Hillsborough,FL,"69,066","38,602"
Holmes,FL,339,619
Indian River,FL,"6,901","3,928"
Jackson,FL,"2,805","1,842"
Jefferson,FL,"1,671",762
Lafayette,FL,204,363
Lake,FL,"15,932","8,486"
Lee,FL,"27,995","15,677"
Leon,FL,"27,406","19,942"
Levy,FL,"1,570","1,356"
Liberty,FL,316,392
Madison,FL,"1,548",743
Manatee,FL,"18,131","10,182"
Marion,FL,"18,225","9,898"
Martin,FL,"6,529","4,109"
Miami-Dade,FL,"129,570","42,073"
Monroe,FL,"4,868","3,769"
Nassau,FL,"2,914","2,063"
Okaloosa,FL,"4,568","3,792"
Okeechobee,FL,"1,152",787
Orange,FL,"66,713","36,683"
Osceola,FL,"16,533","7,285"
Palm Beach,FL,"103,802","39,540"
Pasco,FL,"21,776","14,506"
Pinellas,FL,"63,722","39,776"
Polk,FL,"29,348","15,497"
Putnam,FL,"3,183","2,747"
St. Johns,FL,"9,744","6,960"
St. Lucie,FL,"17,562","8,100"
Santa Rosa,FL,"3,941","3,614"
Sarasota,FL,"25,901","15,798"
Seminole,FL,"22,094","15,116"
Sumter,FL,"7,024","3,022"
Suwannee,FL,"1,475","1,551"
Taylor,FL,987,908
Union,FL,336,472
Volusia,FL,"26,316","16,184"
Wakulla,FL,"1,659","1,427"
Walton,FL,"1,515","1,367"
