"","county","state","clinton_16","trump_16","obama_08","mccain_08","obama_12","romney_12","clinton_primary","sanders_primary","miss_data","alcohol_08","alcohol_12","alcohol_16","drug_08","drug_12","drug_16","suicides_08","suicides_12","suicides_16","pop_2014","pop_2010","perc_under_18","perc_over_65","perc_females","perc_white","perc_black","perc_asian","perc_hisp","perc_immigrants","perc_high_school","perc_bachelors","perc_vets","commuting_time","perc_own_homes","per_cap_income","median_hh_income","perc_below_poverty","land_area","pop_density_2010","pop_density_2014","religious_14","civic_14","business_14","political_14","professsional_14","labor_14","bowling_14","recreation_14","golf_14","sports_14","pop_14","soc_cap_agg_14","voter_to_12","census_resp_10","non_profits_14","soc_cap_indx_14","hh_inc_change_p25","hh_inc_change_p75","diversity_idx_2016","total_votes_16","total_votes_08","total_votes_12","primary_total","suicides_16_scaled","alcohol_08_scaled","alcohol_12_scaled","alcohol_16_scaled","drug_08_scaled","drug_12_scaled","drug_16_scaled","suicides_08_scaled","suicides_12_scaled","religious_14_scaled","civic_14_scaled","business_14_scaled","political_14_scaled","professsional_14_scaled","labor_14_scaled","bowling_14_scaled","recreation_14_scaled","golf_14_scaled","sports_14_scaled","non_profits_14_scaled","total_mort_08","total_mort_12","total_mort_16","total_mort_08_scaled","total_mort_12_scaled","total_mort_16_scaled","trump_over_romney","trump_over_mccain","trump_over_hillary"
"11","Chilton","Alabama",2911,15081,3666,13934,3391,13910,861,289,0,1,4,2,5,5,3,2,8,2,43931,43643,24.2,15.2,50.8,87.1,10.6,0.4,7.7,5.2,76,12.9,3308,31.8,74.5,20701,41250,19.5,692.85,63,63.40622068,64,1,1,0,0,1,0,2,1,0,43921,1.593770634,0.626208724,0.72,97,-0.599205869,0.14,0.31,0.52337,17992,17600,17301,1150,4.55259384034053,2.27629692017027,9.10518768068107,4.55259384034053,11.3814846008513,11.3814846008513,6.8288907605108,4.55259384034053,18.2103753613621,145.683002890897,2.27629692017027,2.27629692017027,0,0,2.27629692017027,0,4.55259384034053,2.27629692017027,0,220.800801256516,8,17,7,0.000183305455628623,0.000389524093210824,0.000159340784411919,1171,1147,12170
"12","Choctaw","Alabama",3109,4106,3633,4220,3785,4150,1772,273,0,0,2,0,0.813131148,2,0,0,1,1,13323,13859,20.6,20.8,52.5,56.6,42.4,0.3,0.8,0.3,75.2,11.8,938,33.4,83.7,20323,33941,21.5,913.5,15.2,14.58456486,23,0,0,0,0,4,0,0,1,0,13289,2.107005794,0.725882781,0.57,63,0.76313955,-0.17,0.23,0.522788,7215,7853,7935,2045,7.50581700818134,0,15.0116340163627,0,6.10321360054042,15.0116340163627,0,0,7.50581700818134,172.633791188171,0,0,0,0,30.0232680327254,0,0,7.50581700818134,0,472.866471515424,0.813131148,5,1,5.86717041633595e-05,0.000360776390792987,7.50581700818134e-05,-44,-114,997
"13","Clarke","Alabama",5749,7140,5907,7455,6317,7463,3157,213,0,3,2,1,0,2,1,2,7,7,24945,25833,22.6,18,52.8,54,44.2,0.5,1.3,0.3,78.3,11.2,1583,25.5,72.9,18979,29357,29.3,1238.47,20.9,20.14178785,40,1,2,0,0,2,0,3,1,0,24847,1.972069063,0.720486562,0.57,88,0.411954035,-0.11,0.21,0.520264,12889,13362,13780,3370,28.0617358188014,12.0264582080577,8.01763880537182,4.00881940268591,0,8.01763880537182,4.00881940268591,8.01763880537182,28.0617358188014,160.352776107436,4.00881940268591,8.01763880537182,0,0,8.01763880537182,0,12.0264582080577,4.00881940268591,0,352.77610743636,5,11,9,0.000193550884527542,0.000425811945960593,0.000360793746241732,-323,-315,1391
"14","Clay","Alabama",1237,5245,1722,4946,1770,4802,814,135,0,0,1,1,2,1,3,1,0,1,13552,13932,21.6,19.4,50.6,82.8,14.5,0.3,3.4,2.2,76.5,9.2,1076,30.7,75,18694,34002,19,603.96,23.1,22.43857209,12,0,1,0,0,0,0,0,0,0,13538,0.960260009,0.636823036,0.7,42,-0.963110376,0.07,0.11,0.51843,6482,6668,6572,949,7.37898465171192,0,7.37898465171192,7.37898465171192,14.7579693034238,7.37898465171192,22.1369539551358,7.37898465171192,0,88.5478158205431,0,7.37898465171192,0,0,0,0,0,0,0,309.917355371901,3,2,5,0.000215331610680448,0.000143554407120299,0.000368949232585596,443,299,4008
"15","Cleburne","Alabama",684,5764,1166,5204,971,5269,221,72,-1,0.122510573,0.122510573,0.583836567,1,3,0,2,2,2,15080,14972,23.3,18.4,50.4,94.5,3.6,0.2,2.5,1.5,76,9,989,31.4,77.6,19108,38019,18.4,560.1,26.7,26.92376361,12,0,0,0,0,0,0,1,0,0,15072,0.862526539,0.632849274,0.67,36,-1.180039859,0.55,0.39,0.514744,6448,6370,6240,293,13.262599469496,0.812404330238727,0.812404330238727,3.87159527188329,6.63129973474801,19.893899204244,0,13.262599469496,13.262599469496,79.5755968169761,0,0,0,0,0,0,6.63129973474801,0,0,238.726790450928,3.122510573,5.122510573,2.583836567,0.000208556677331018,0.000342139365014694,0.000171341947413793,495,560,5080
"16","Coffee","Alabama",4221,15875,5068,14909,4899,14638,1499,390,0,3,3,6,3,2,6,3,11,10,50909,49948,23.7,15.9,50.5,76.4,17.7,1.6,6.4,5.1,82.4,22.5,6066,21.3,69.9,23380,43768,18.6,678.97,73.6,74.97974874,67,0,4,0,0,2,1,4,3,0,50831,1.593515768,0.628141341,0.71,143,-0.484028325,0.07,0.05,0.512362,20096,19977,19537,1889,19.6428922194504,5.89286766583512,5.89286766583512,11.7857353316702,5.89286766583512,3.92857844389008,11.7857353316702,5.89286766583512,21.6071814413954,131.607377870318,0,7.85715688778016,0,0,3.92857844389008,1.96428922194504,7.85715688778016,5.89286766583512,0,280.893358738141,9,16,22,0.000180187394890686,0.000320333146472331,0.000432143628827909,1237,966,11654
"17","Colbert","Alabama",7312,16746,9698,14729,9160,13931,3893,1349,0,2,3,5,3,2,5,8,4,9,54543,54428,21.7,18.5,51.8,80.8,16.3,0.5,2.6,2,83.5,17.7,4376,22.7,72.1,21572,39077,17.9,592.62,91.8,92.03705579,67,4,2,0,0,15,0,6,2,0,54480,1.762114537,0.638366236,0.74,171,-0.2444873,-0.31,0.01,0.511982,24058,24427,23091,5242,16.500742533414,3.666831674092,5.500247511138,9.16707918523,5.500247511138,3.666831674092,9.16707918523,14.667326696368,7.333663348184,122.838861082082,7.333663348184,3.666831674092,0,0,27.50123755569,0,11.000495022276,3.666831674092,0,313.514108134866,13,9,19,0.000238847651943852,0.000165356066730359,0.00034834900903874,2815,2017,9434
"18","Conecuh","Alabama",3080,3420,3411,3461,3551,3434,2031,544,0,0,2,2,0,0,2,2,4,1,12670,13228,21.4,20.4,51.9,52.1,46.2,0.1,1.8,0.6,77.3,8.8,1101,27.2,79.1,15605,24658,32.7,850.16,15.6,14.90307707,12,0,1,0,0,0,0,0,1,0,12662,1.10567051,0.659129293,0.53,45,-0.602738922,-0.38,0.06,0.506501,6500,6872,6985,2575,7.89265982636148,0,15.785319652723,15.785319652723,0,0,15.785319652723,15.785319652723,31.5706393054459,94.7119179163378,0,7.89265982636148,0,0,0,0,0,7.89265982636148,0,355.169692186267,2,6,5,0.000151194436044754,0.000453583308134261,0.000394632991318074,-14,-41,340
"19","Coosa","Alabama",1782,3381,2269,3245,2188,3028,1013,125,0,3,2,2,0,2,1,2,2,2,10886,11539,18.3,18.5,49.5,66.1,31.8,0.2,2.3,1.8,75,9.8,934,30.2,83,18493,37277,20.9,650.93,17.7,16.72376446,12,0,0,0,0,0,0,0,0,0,10807,1.110391413,0.638385303,0.47,38,-0.669160327,-0.56,0.31,0.505207,5163,5514,5216,1138,18.3722212015433,27.5583318023149,18.3722212015433,18.3722212015433,0,18.3722212015433,9.18611060077163,18.3722212015433,18.3722212015433,110.23332720926,0,0,0,0,0,0,0,0,0,349.072202829322,5,6,5,0.000433313112054771,0.000519975734465725,0.000459305530038582,353,136,1599
"20","Covington","Alabama",2387,13267,3238,12431,3155,12148,742,190,0,4,4,2,4,3,0,6,5,5,37914,37765,22.1,19.8,51.6,84.3,13,0.5,1.6,1.4,78.4,14.2,3433,23.3,75.1,20391,35869,20,1030.46,36.6,36.79327679,40,0,2,0,0,0,0,3,3,0,37888,1.266891892,0.65975813,0.64,142,-0.460003562,0.18,0.25,0.502885,15654,15669,15303,932,13.1877406762673,10.5501925410139,10.5501925410139,5.27509627050694,10.5501925410139,7.91264440576041,0,15.8252888115208,13.1877406762673,105.501925410139,0,5.27509627050694,0,0,0,0,7.91264440576041,7.91264440576041,0,374.531835205993,14,12,7,0.000370713623725672,0.000317754534622004,0.000184628369467743,1119,836,10880
