"","county","state","clinton_16","trump_16","obama_08","mccain_08","obama_12","romney_12","clinton_primary","sanders_primary","miss_data","alcohol_08","alcohol_12","alcohol_16","drug_08","drug_12","drug_16","suicides_08","suicides_12","suicides_16","pop_2014","pop_2010","perc_under_18","perc_over_65","perc_females","perc_white","perc_black","perc_asian","perc_hisp","perc_immigrants","perc_high_school","perc_bachelors","perc_vets","commuting_time","perc_own_homes","per_cap_income","median_hh_income","perc_below_poverty","land_area","pop_density_2010","pop_density_2014","religious_14","civic_14","business_14","political_14","professsional_14","labor_14","bowling_14","recreation_14","golf_14","sports_14","pop_14","soc_cap_agg_14","voter_to_12","census_resp_10","non_profits_14","soc_cap_indx_14","hh_inc_change_p25","hh_inc_change_p75","diversity_idx_2016","total_votes_16","total_votes_08","total_votes_12","primary_total","suicides_16_scaled","alcohol_08_scaled","alcohol_12_scaled","alcohol_16_scaled","drug_08_scaled","drug_12_scaled","drug_16_scaled","suicides_08_scaled","suicides_12_scaled","religious_14_scaled","civic_14_scaled","business_14_scaled","political_14_scaled","professsional_14_scaled","labor_14_scaled","bowling_14_scaled","recreation_14_scaled","golf_14_scaled","sports_14_scaled","non_profits_14_scaled","total_mort_08","total_mort_12","total_mort_16","total_mort_08_scaled","total_mort_12_scaled","total_mort_16_scaled","trump_over_romney","trump_over_mccain","trump_over_hillary"
"181","Pope","Arkansas",5000,16256,5986,15535,5108,14733,1689,1177,0,7,3,9,8,6,11,12,10,9,63201,61754,22.8,14.4,50.1,92.4,3.2,1.2,8.4,3.5,81.9,20.7,4459,19.5,69.8,19918,40453,19.3,812.55,76,77.78105963,62,7,3,0,0,3,1,9,3,0,63047,1.395784098,0.608249263,0.74,273,-0.491801043,0.27,0.04,0.133525,21256,21521,19841,2866,14.2402810082119,11.0757741174981,4.74676033607063,14.2402810082119,12.658027562855,9.49352067214126,17.4047878989257,18.9870413442825,15.8225344535688,98.0997136121264,11.0757741174981,4.74676033607063,0,0,4.74676033607063,1.58225344535688,14.2402810082119,4.74676033607063,0,431.955190582427,27,19,29,0.00043721864170742,0.000307672377497814,0.000458853499153494,1523,721,11256
"182","Prairie","Arkansas",814,2505,1048,2223,877,2149,565,385,-1,0.375509896,0.284895522,1.278832187,0,0.688629992,0,0,0,2,8304,8715,20.2,22,50.6,86.7,11.7,0.1,1.2,0.3,78.6,9.3,824,24.4,72.9,18137,34855,21.2,647.96,13.4,12.8156059,11,0,1,0,0,0,0,0,1,0,8315,1.563439567,0.700490633,0.55,31,0.002119832,-0.01,0.31,0.131634,3319,3271,3026,950,24.0847784200385,4.52203631984586,3.43082276011561,15.4001949301541,0,8.29275038535645,0,0,0,132.466281310212,0,12.0423892100193,0,0,0,0,0,12.0423892100193,0,373.314065510597,0.375509896,0.973525514,3.278832187,4.30877677567413e-05,0.000111706886288009,0.000394849733501927,356,282,1691
"183","Pulaski","Arkansas",89574,61257,88632,70094,87055,68856,34906,10485,0,28,26,40,41,52,56,55,70,74,392702,382748,23.7,13.5,52,59.2,36,2.2,6,5.2,89.2,31.2,31984,19.8,60.4,27414,46013,17.2,759.76,503.8,516.876382,382,48,55,14,35,30,2,43,13,1,392490,1.587301587,0.671830345,0.72,2522,0.311615316,-0.3,-0.07,0.128294,150831,158726,155911,45391,18.8438052263548,7.13008846402616,6.62079643088143,10.1858406628945,10.4404866794669,13.2415928617629,14.2601769280523,14.00553091148,17.8252211600654,97.2747783306426,12.2230087954734,14.00553091148,3.56504423201308,8.9126105800327,7.63938049717088,0.509292033144726,10.9497787126116,3.31039821544072,0.254646016572363,642.217253795499,124,148,170,0.000323972953483754,0.000386677396093513,0.000432898228173017,-7599,-8837,-28317
"184","Randolph","Arkansas",1425,4509,2460,3601,2040,3699,663,356,0,0,1,1,3,4,1,2,4,4,17571,17969,22.5,19.9,50.9,96.8,0.9,0.4,1.9,0.6,80.4,12.3,1405,29.2,75.3,18871,34418,21.8,652.19,27.6,26.94153544,11,1,2,0,0,0,0,3,1,0,17550,1.025641026,0.605038602,0.71,78,-0.806949413,0.34,0.25,0.12437,5934,6061,5739,1019,22.7647828808833,0,5.69119572022082,5.69119572022082,17.0735871606625,22.7647828808833,5.69119572022082,11.3823914404416,22.7647828808833,62.603152922429,5.69119572022082,11.3823914404416,0,0,0,0,17.0735871606625,5.69119572022082,0,443.913266177224,5,9,6,0.000278256998163504,0.000500862596694307,0.000341471743213249,810,908,3084
"185","St.Francis","Arkansas",4031,3195,NA,NA,NA,NA,1912,354,0,0,2,1,2,2,2,4,0,3,26899,28258,22.5,13.9,45.1,44.5,52.7,0.6,4.4,2.4,76,11.7,1905,20.6,55.3,15511,30873,28.4,634.77,44.5,42.3759787,21,0,2,0,0,0,0,0,2,0,26977,0.92671535,0.607218067,0.59,81,-1.093833354,NA,NA,0.096593,7226,NA,NA,2266,11.1528309602587,0,7.4352206401725,3.71761032008625,7.4352206401725,7.4352206401725,7.4352206401725,14.870441280345,0,78.0698167218112,0,7.4352206401725,0,0,0,0,0,7.4352206401725,0,301.126435926986,6,4,6,0.000212329251893269,0.000141552834595513,0.000223056619205175,NA,NA,-836
"186","Saline","Arkansas",13256,35863,12657,30842,12868,32962,4361,2012,0,7,3,11,17,17,19,16,12,18,115719,107118,23.8,17.1,51,90.3,6.6,1.1,4.2,2.2,89.2,23.4,10509,25.6,77.7,25962,55348,8.6,723.6,148,159.9212272,66,5,6,0,0,1,1,12,2,0,115750,0.803455724,0.708743713,0.77,306,-0.910821185,0.02,0.12,0.111582,49119,43499,45830,6373,15.5549218365178,6.04913626975691,2.59248697275296,9.50578556676086,14.6907595122668,14.6907595122668,16.4190841607688,13.8265971880158,10.3699478910118,57.0347134005652,4.32081162125494,5.18497394550592,0,0,0.864162324250987,0.864162324250987,10.3699478910118,1.72832464850197,0,264.433671220802,40,32,48,0.000373419966765623,0.000298735973412498,0.000414797915640474,2901,5021,22607
"187","Scott","Arkansas",602,2731,1052,2790,895,2630,306,152,-1,0.463335622,0.351528003,1.577930472,0,1,3,0,0,2,10693,11233,23.6,18.7,49.6,91.1,0.7,3.8,7.6,4.8,77,11.6,961,23,73,18934,37448,20,892.32,12.6,11.98336919,10,1,1,0,0,0,0,0,1,0,10683,1.216886642,0.589187439,0.6,43,-0.734168511,0.44,0.43,0.105957,3333,3842,3525,458,18.7038249321986,4.33307417936968,3.2874591134387,14.7566676517348,0,9.35191246609932,28.055737398298,0,0,93.5191246609932,9.35191246609932,9.35191246609932,0,0,0,0,0,9.35191246609932,0,402.132236042271,0.463335622,1.351528003,6.577930472,4.12477185079676e-05,0.000120317635805217,0.000615162299822314,101,-59,2129
"188","Searcy","Arkansas",601,2955,1161,2726,814,2699,221,164,0,1,0,1.166342652,0,0,3,1,1,1,7929,8195,20.3,23.6,49.6,95.5,0.3,0.2,2.1,0.8,74.1,12,745,29.4,77.5,16731,30779,26.1,666.1,12.3,11.90361808,5,0,1,0,0,0,0,0,0,0,7916,0.757958565,0.681801403,0.54,52,-0.303842598,0.27,0.22,0.1043,3556,3887,3513,385,12.6119308866187,12.6119308866187,0,14.7098329171396,0,0,37.8357926598562,12.6119308866187,12.6119308866187,63.0596544330937,0,12.6119308866187,0,0,0,0,0,0,0,655.820406104174,2,1,5.166342652,0.00024405125076266,0.00012202562538133,0.000651575564636146,256,229,2354
"189","Sebastian","Arkansas",12300,29127,13592,28404,13083,29158,3815,2326,0,12,6,11,25,29,25,18,19,21,126776,125744,24.5,14.5,51,82.9,6.8,4.5,13.4,9.5,82.2,19.2,10175,17.7,62.8,23222,40471,21.2,531.91,236.4,238.3410727,87,13,4,0,3,9,2,14,5,0,126990,1.078825104,0.633734271,0.73,547,-0.671280159,0.02,0.06,0.104274,41427,41996,42241,6141,16.5646494604657,9.46551397740897,4.73275698870449,8.67672114595823,19.7198207862687,22.8749921120717,19.7198207862687,14.1982709661135,14.9870637975642,68.6249763362151,10.2543068088597,3.15517132580299,0,2.36637849435224,7.09913548305673,1.5775856629015,11.0430996403105,3.94396415725374,0,431.469678803559,55,54,57,0.000437396615345464,0.00042944394961191,0.000449611913926926,-31,723,16827
"190","Sevier","Arkansas",1075,3282,1254,3052,1042,3135,342,167,0,0,2,0,0,6,0,2,3,5,17426,17058,28.8,13.6,50.3,89,4.5,0.5,32.7,16.9,66.3,8.6,1055,21.4,69.6,16021,35153,24.4,565.13,30.2,30.83538301,14,0,1,0,0,1,1,1,1,0,17388,1.092707614,0.673301197,0.61,56,-0.64160251,0.2,0.25,0.104155,4357,4306,4177,509,28.692757947894,0,11.4771031791576,0,0,34.4313095374727,0,11.4771031791576,17.2156547687364,80.3397222541031,0,5.73855158957879,0,0,5.73855158957879,5.73855158957879,5.73855158957879,5.73855158957879,0,321.358889016412,2,11,5,0.000117247039512252,0.000644858717317388,0.00028692757947894,147,230,2207
"191","Sharp","Arkansas",1472,5407,2436,4535,2092,4920,608,294,0,0,1,3,3,1,3,7,3,5,16906,17264,20.4,25.7,50.6,95.9,0.8,0.4,2.1,1.4,83,11,2092,27.9,80,16714,30861,23.9,604.44,28.6,27.96969095,21,4,1,0,0,0,1,1,0,0,16923,1.654552975,0.649513957,0.62,84,0.062888352,0.24,0.27,0.103878,6879,6971,7012,902,29.575298710517,0,5.9150597421034,17.7451792263102,17.7451792263102,5.9150597421034,17.7451792263102,41.4054181947238,17.7451792263102,124.216254584171,23.6602389684136,5.9150597421034,0,0,0,5.9150597421034,5.9150597421034,0,0,496.865018336685,10,5,11,0.000579240037071362,0.000289620018535681,0.000650656571631374,487,872,3935
"192","Stone","Arkansas",1203,4113,1756,3810,1356,3773,547,421,-1,0.512287013,0.388666923,1.744638765,1,3,1,5,2,3,12494,12394,20.1,25.4,50.4,96.6,0.4,0.4,1.8,0.8,78.9,14.2,1342,21.1,78.3,17403,29832,25.5,606.41,20.4,20.60322224,11,0,2,0,1,0,0,0,0,0,12450,1.124497992,0.705216017,0.6,67,-0.104578383,0.11,0.3,0.091133,5316,5566,5129,968,24.0115255322555,4.1002642308308,3.11082858171923,13.9638127501201,8.00384184408516,24.0115255322555,8.00384184408516,40.0192092204258,16.0076836881703,88.0422602849368,0,16.0076836881703,0,8.00384184408516,0,0,0,0,0,536.257403553706,6.512287013,5.388666923,5.744638765,0.000525438681055349,0.00043478029070518,0.000459791801264607,340,303,2910
"193","Union","Arkansas",5855,10456,6177,10657,6182,10696,2548,1671,0,10,4,3,11,5,7,11,4,10,40227,41639,23.9,16.6,51.4,64.4,32.6,0.8,3.6,2.1,82.4,16.1,3090,18.2,69.3,20718,37435,21.5,1039.21,40.1,38.70921181,76,5,2,0,0,6,1,2,3,0,40175,2.364654636,0.708943828,0.71,220,1.001973964,-0.29,0.13,0.077985,16311,16834,16878,4219,24.8589255972357,24.8589255972357,9.94357023889428,7.45767767917071,27.3448181569593,12.4294627986178,17.401247918065,27.3448181569593,9.94357023889428,188.927834538991,12.4294627986178,4.97178511944714,0,0,14.9153553583414,2.48589255972357,4.97178511944714,7.45767767917071,0,546.896363139185,32,13,20,0.000768510290833113,0.000312207305650952,0.000497178511944714,-240,-201,4601
"194","VanBuren","Arkansas",1549,5382,2145,4269,1826,4362,770,437,0,0,2,2,3,0,2,1,2,3,16851,17295,19.7,24.6,50.3,96.3,0.5,0.4,3.1,1.6,81.4,13.6,1901,28.7,78.1,18782,32517,24.5,708.14,24.4,23.79614201,23,2,2,0,0,0,0,1,2,0,16880,1.777251185,0.734857143,0.56,97,0.681172709,NA,NA,0.076017,6931,6414,6188,1207,17.8030977390066,0,11.8687318260044,11.8687318260044,17.8030977390066,0,11.8687318260044,5.9343659130022,11.8687318260044,136.49041599905,11.8687318260044,11.8687318260044,0,0,0,0,5.9343659130022,11.8687318260044,0,575.633493561213,4,4,7,0.000231280716970223,0.000231280716970223,0.000415405613910154,1020,1113,3833
"195","Washington","Arkansas",33366,41476,28965,37915,28136,39570,9119,8524,0,8,12,27,12,18,16,23,27,39,220792,203065,25.3,10.7,49.9,87.3,3.5,2.6,16.2,11.6,82.6,28.7,12056,20.6,55.9,23264,41248,20.7,941.97,215.6,234.3938767,136,8,9,0,0,2,2,25,7,0,220682,0.856435958,0.657269988,0.75,860,-0.852172497,0.16,0.13,0.068352,74842,66880,67706,17643,17.6636834667923,3.62331968549585,5.43497952824378,12.2287039385485,5.43497952824378,8.15246929236567,7.2466393709917,10.4170440958006,12.2287039385485,61.5964346534295,3.62331968549585,4.07623464618283,0,0,0.905829921373963,0.905829921373963,11.3228740171745,3.17040472480887,0,389.506866190804,43,57,82,0.000211754856819245,0.000280698298574348,0.000371390267763325,1906,3561,8110
"196","White","Arkansas",5170,21077,6708,19429,5765,20005,2024,819,0,4,3,5,9,8,13,10,5,14,78592,77076,23.8,15.1,51.1,92.2,4.6,0.7,4.2,2.5,82.6,18.1,6022,22.8,68.4,21793,42487,17.5,1035.08,74.5,75.92843065,65,4,5,0,0,2,1,10,2,0,78643,1.1316964,0.564872811,0.69,242,-1.106552347,0.47,0.19,0.058812,26247,26137,25770,2843,17.8135179153094,5.08957654723127,3.81718241042345,6.36197068403909,11.4515472312704,10.1791530944625,16.5411237785016,12.7239413680782,6.36197068403909,82.7056188925081,5.08957654723127,6.36197068403909,0,0,2.54478827361564,1.27239413680782,12.7239413680782,2.54478827361564,0,307.919381107492,23,16,32,0.000298406767346515,0.000207587316414967,0.000407166123778502,1072,1648,15907
"197","Woodruff","Arkansas",1118,1347,1350,1135,1340,1227,886,306,0,0,0,1,2,0,1,2,3,3,6910,7260,21.9,21.2,52,70.7,26.9,0.2,1.5,0.7,73.6,10.1,581,19.3,62.9,19087,28259,24.3,586.79,12.4,11.77593347,13,0,1,0,0,0,0,1,1,0,6884,2.324230099,0.655357579,0.57,32,0.65149506,-0.41,0.12,0.049175,2465,2485,2567,1192,43.4153400868307,0,0,14.4717800289436,28.9435600578871,0,14.4717800289436,28.9435600578871,43.4153400868307,188.133140376266,0,14.4717800289436,0,0,0,0,14.4717800289436,14.4717800289436,0,463.096960926194,4,3,5,0.000550964187327824,0.000413223140495868,0.000723589001447178,120,212,229
"198","Yell","Arkansas",1480,4608,2001,3805,1720,4041,723,432,0,1,3,2,3,1,2,2,3,4,21951,22185,25.1,17.1,50.2,93.9,2.1,1.6,18.9,12.7,71.3,9.4,1426,20.4,66.4,16992,35535,22.7,929.98,23.9,23.60373341,21,1,2,1,0,0,0,0,3,0,21916,1.277605402,0.634991497,0.58,69,-0.635243014,0.28,0.17,0.041441,6088,5806,5761,1155,18.2224044462667,4.55560111156667,13.6668033347,9.11120222313334,13.6668033347,4.55560111156667,9.11120222313334,9.11120222313334,13.6668033347,95.6676233429001,4.55560111156667,9.11120222313334,4.55560111156667,0,0,0,0,13.6668033347,0,314.3364766981,6,7,8,0.000270453008789723,0.000315528510254677,0.000364448088925334,567,803,3128
"199","Alameda","California",514842,95922,374922,93372,438091,104330,164889,153955,0,127,137,170,162,139,173,132,133,157,1610921,1510271,21.4,12.5,51,51.7,12.1,28.9,22.7,30.8,86.4,41.8,63738,28.8,53.2,35763,72112,12.5,739.02,2043.6,2179.807042,542,110,60,18,34,98,9,148,22,6,1612850,0.649161422,0.734602312,0.74,7798,-0.553982784,-0.3,-0.16,0.682123,610764,468294,542421,318844,9.74597761156506,7.88368889597938,8.50445180117461,10.5529693883189,10.0563590641627,8.62860438221365,10.7391982598774,8.19407034857699,8.25614663909652,33.6453494615813,6.8283919571475,3.72457743117136,1.11737322935141,2.11059387766377,6.08347647091322,0.558686614675704,9.18729099688936,1.3656783914295,0.372457743117136,484.070913471238,421,409,500,0.000278757918280891,0.000270812324410652,0.000310381452597613,-8408,2550,-418920
"200","Alpine","California",334,217,422,252,389,236,113,137,-1,0,1,0,0,0,0,2,0,0,1116,1175,20,21.1,48,70.3,0.3,1.3,9.6,3.8,90.4,31.2,177,23.7,81.5,25527,58636,16.6,738.33,1.6,1.511519239,0,0,1,0,0,0,0,0,0,0,1107,0.903342367,0.844760673,0.22,15,1.818815927,NA,NA,0.644473,551,674,625,250,0,0,89.6057347670251,0,0,0,0,179.21146953405,0,0,0,89.6057347670251,0,0,0,0,0,0,0,1344.08602150538,2,1,0,0.00170212765957447,0.000851063829787234,0,-19,-35,-117
"201","Amador","California",6004,10485,7321,9818,6001,8903,2516,2386,0,6,7,8,9,10,7,7,11,10,36742,38091,15.3,25.1,46.9,90.7,2.1,1.4,13,5.7,88.1,19.3,4631,30,76.1,27347,53684,12.6,594.58,64.1,61.79488042,21,2,3,0,0,0,1,4,2,0,36744,0.898105813,0.820769195,0.71,195,0.117297375,0.16,-0.12,0.642078,16489,17139,14904,4902,27.216809101301,16.3300854607806,19.0517663709107,21.7734472810408,24.4951281911709,27.216809101301,19.0517663709107,19.0517663709107,29.9384900114311,57.155299112732,5.44336182026019,8.16504273039029,0,0,0,2.7216809101301,10.8867236405204,5.44336182026019,0,530.727777475369,22,28,25,0.00057756425402326,0.000735081777847786,0.000680420227532524,1582,667,4481
"202","Butte","California",41567,45144,41474,39954,32567,35312,11766,19739,0,26,44,40,70,72,75,41,28,49,224241,220000,20.2,17,50.5,86.6,1.8,4.6,15.5,7.5,87.7,24.4,18453,20.3,60.1,23787,43752,20.4,1636.46,134.4,137.0280972,100,20,9,0,3,5,2,18,8,0,224033,0.736498641,0.740506226,0.74,1001,-0.514412585,-0.12,-0.22,0.54594,86711,81428,67879,31505,21.8514901378428,11.5946682364064,19.6217462462262,17.8379511329329,31.2164144826325,32.1083120392792,33.4461583742491,18.2838999112562,12.486565793053,44.5948778323322,8.91897556646644,4.0135390049099,0,1.33784633496997,2.22974389161661,0.891897556646643,8.02707800981979,3.56759022658657,0,446.394727101645,137,144,164,0.000622727272727273,0.000654545454545455,0.000731355996450248,9832,5190,3577
"203","Calaveras","California",7944,13511,8464,10979,7404,10537,2971,2914,0,5,5,6,5,7,8,8,11,7,44624,45578,17.7,25.1,50,91.9,1,1.5,11.5,4.2,92.8,21.2,5216,35.5,78.4,29329,55295,10.9,1020.01,44.7,43.7485907,21,3,3,0,1,0,0,4,4,0,44575,0.807627594,0.750878886,0.58,298,0.031797481,-0.04,-0.11,0.543823,21455,19443,17941,5885,15.6866260308354,11.2047328791682,11.2047328791682,13.4456794550018,11.2047328791682,15.6866260308354,17.9275726066691,17.9275726066691,24.65041233417,47.0598780925063,6.7228397275009,6.7228397275009,0,2.24094657583363,0,0,8.96378630333453,8.96378630333453,0,667.802079598422,18,23,21,0.000394927377243407,0.000504629426477687,0.000470598780925063,2974,2532,5567
"204","Colusa","California",2661,3551,2206,3273,2248,3521,835,809,0,3,1,2,1,1,7,2,2,1,21419,21419,28,13.1,48.6,91.6,1.2,1.8,58.1,23.3,69.4,13.8,1126,21.2,63.3,21579,52158,12.5,1150.73,18.6,18.61340193,13,0,1,0,0,0,0,1,2,0,21351,0.796215634,0.777076626,0.71,98,-0.278404613,0.74,-0.05,0.506965,6212,5479,5769,1644,4.66875204257902,14.0062561277371,4.66875204257902,9.33750408515804,4.66875204257902,4.66875204257902,32.6812642980531,9.33750408515804,9.33750408515804,60.6937765535272,0,4.66875204257902,0,0,0,0,4.66875204257902,9.33750408515804,0,457.537700172744,6,4,10,0.000280125122554741,0.000186750081703161,0.000466875204257902,30,278,890
"205","ContraCosta","California",319287,115956,258610,115205,230826,112547,103333,77862,0,91,90,114,122,131,137,119,111,141,1111339,1049025,23.4,14.2,51.3,67.3,9.6,16.4,25.2,23.5,88.8,39,57474,33.3,65.9,38219,78756,10.5,715.94,1465.2,1552.279521,308,41,46,1,14,37,7,127,25,2,1111710,0.546905218,0.787679001,0.76,4291,-0.602032311,NA,NA,0.506259,435243,373815,343373,181195,12.6873978147082,8.18832057544998,8.09833903066481,10.2578961055088,10.9777484637901,11.7875823668566,12.3274716355675,10.7078038294346,9.98795147115327,27.7143157938307,3.68924333619175,4.13915106011757,0.0899815447851646,1.2597416269923,3.32931715705109,0.629870813496152,11.4276561877159,2.24953861962911,0.179963089570329,386.110808673141,332,332,392,0.000316484354519673,0.000316484354519673,0.000352727655557845,3409,751,-203331
"206","DelNorte","California",3485,5134,3869,4429,3396,4256,1119,1598,0,7,5,10,4,2,5,4,5,5,27212,28610,21.2,15.6,45.2,78.6,3.5,3.7,19,6.5,79.1,14,2770,14.2,60.2,19072,37909,21.8,1006.37,28.4,27.03975675,12,2,2,0,0,0,0,0,0,0,27194,0.588365081,0.7007031,0.74,131,-0.751127168,NA,NA,0.480346,8619,8298,7652,2717,18.3742466558871,25.723945318242,18.3742466558871,36.7484933117742,14.6993973247097,7.34969866235484,18.3742466558871,14.6993973247097,18.3742466558871,44.0981919741291,7.34969866235484,7.34969866235484,0,0,0,0,0,0,0,481.405262384242,15,12,20,0.000524292205522545,0.000419433764418036,0.000734969866235484,878,705,1649
"207","ElDorado","California",36404,49247,33010,40512,34033,49661,12492,12620,0,13,32,40,30,35,44,16,39,42,183087,181058,20.9,18,49.9,89.8,1,4,12.7,8.7,93.2,32,16792,28.8,74.8,34884,69297,9,1707.88,106,107.2013256,55,14,12,0,2,2,1,20,7,0,183050,0.617317673,0.802411555,0.65,792,-0.358958233,NA,NA,0.459434,85651,73522,83694,25112,22.9399138114667,7.10044951307302,17.4780295706413,21.8475369633016,16.3856527224762,19.1165948428889,24.0322906596318,8.73901478532064,21.3013485392191,30.0403633245397,7.64663793715556,6.55426108899048,0,1.09237684816508,1.09237684816508,0.54618842408254,10.9237684816508,3.82331896857778,0,432.581231873372,59,106,126,0.000325862430823272,0.000585447757072319,0.000688197414344,-414,8735,12843
"208","Fresno","California",141341,124049,94788,94814,85862,91143,45436,34663,0,107,109,130,98,86,152,66,75,102,965974,930450,28.9,11.2,50.1,77.2,5.9,10.7,51.9,21.9,73.1,19.6,42944,22.1,53.8,20208,45563,26,5957.99,156.2,162.1308529,315,52,27,6,10,31,4,49,10,3,964983,0.525397857,0.630996031,0.73,2917,-1.401915617,-0.67,-0.1,0.427552,265390,189602,177005,80099,10.5592904156841,11.0769026909627,11.2839476010741,13.4579191572444,10.1452005954612,8.90293113479245,15.7354131684704,6.83248203367793,7.76418412917946,32.6095733425537,5.38316766289776,2.79510628650461,0.621134730334357,1.03522455055726,3.20919610672751,0.414089820222905,5.07260029773058,1.03522455055726,0.310567365167178,301.975001397553,271,270,384,0.000291256918695255,0.000290182169917782,0.000397526227413988,32906,29235,-17292
"209","Glenn","California",3065,5788,3693,5874,3276,5608,911,1003,0,6,5,2,3,3,4,3,0,7,27955,28122,26.7,14.9,49.6,90,1.2,3,40.4,17.2,72.3,14.6,1514,21.8,63.1,22148,43023,18.8,1313.95,21.4,21.27554321,17,1,3,4,0,0,1,0,1,0,28030,0.963253657,0.734412374,0.76,137,-0.270631896,0.06,-0.05,0.413422,8853,9567,8884,1914,25.0402432480773,21.4630656412091,17.8858880343409,7.15435521373636,10.7315328206045,10.7315328206045,14.3087104274727,10.7315328206045,0,60.8120193167591,3.57717760686818,10.7315328206045,14.3087104274727,0,0,3.57717760686818,0,3.57717760686818,0,490.073332140941,12,8,13,0.000426712182632814,0.000284474788421876,0.000465033088892864,180,-86,2723
"210","Humboldt","California",33200,18373,30807,16704,27757,15653,8135,19928,0,44,46,42,56,49,61,35,36,36,134809,134623,19.5,15.4,50,84,1.4,2.8,10.8,5.7,90.4,27.5,10437,17.5,55.9,23540,41426,20.4,3567.99,37.7,37.78289737,68,15,17,0,3,4,2,19,3,0,134831,0.971586653,0.718033934,0.67,845,-0.060061909,-0.2,-0.18,0.341242,51573,47511,43410,28063,26.7044485160486,32.6387704085039,34.1223508816177,31.1551899353901,41.5402532471868,36.3477215912884,45.2492044299713,25.9626582794917,26.7044485160486,50.4417360858696,11.1268535483536,12.6104340214674,0,2.22537070967072,2.96716094622763,1.48358047311381,14.0940144945812,2.22537070967072,0,626.812749890586,135,131,139,0.00100280041300521,0.000973087808175423,0.0010310884288141,2720,1669,-14827
"211","Imperial","California",32667,12704,17791,10850,17464,9545,9843,5111,0,17,9,18,14,24,39,7,11,14,179091,174528,28.5,12,48.9,89.7,3.5,2.3,82.3,32.3,64.5,13.3,6405,20.8,56.4,16763,41807,23.3,4176.6,41.8,42.879615,50,14,7,0,0,1,0,12,2,0,179332,0.479557469,0.631323053,0.67,388,-1.568675741,-0.12,-0.21,0.337185,45371,28641,27009,14954,7.81725491509903,9.49238096833453,5.02537815970652,10.050756319413,7.81725491509903,13.401008425884,21.7766386920616,3.90862745754951,6.14212886186352,27.9187675539251,7.81725491509903,3.90862745754951,0,0,0.558375351078502,0,6.70050421294202,1.116750702157,0,216.649636218459,38,44,71,0.000217730106343968,0.000252108544187752,0.000396446499265736,3159,1854,-19963
"212","Inyo","California",3155,4248,3208,3833,2775,3541,1001,1313,0,4,8,3,1,4,6,2,6,5,18410,18546,20.6,21.4,49.9,81.4,1,1.6,20.9,10.4,88.1,21.4,1720,14.8,64.1,27441,44796,12.8,10180.88,1.8,1.808291621,8,3,2,0,0,0,1,1,2,0,18396,0.924113938,0.807151466,0.78,171,0.749007336,0.08,0.07,0.334424,7403,7041,6316,2314,27.1591526344378,21.7273221075502,43.4546442151005,16.2954915806627,5.43183052688756,21.7273221075502,32.5909831613254,10.8636610537751,32.5909831613254,43.4546442151005,16.2954915806627,10.8636610537751,0,0,0,5.43183052688756,5.43183052688756,10.8636610537751,0,928.843020097773,7,18,14,0.000377439879219239,0.000970559689420899,0.000760456273764259,707,415,1093
"213","Kern","California",98689,129584,76189,111254,64690,99840,28806,23374,0,112,89,127,131,164,215,78,98,123,874589,839631,29.4,9.9,48.7,82.7,6.3,5,51.5,20.6,72.4,15,44753,23.6,58,20295,48552,22.9,8131.92,103.3,107.5501235,226,49,24,5,9,21,5,42,14,2,874190,0.454134685,0.665352817,0.72,2319,-1.38425035,0.19,-0.12,0.28962,228273,187443,164530,52180,14.0637488008653,12.8060151682676,10.1762084819269,14.5211064854463,14.9784641700273,18.7516650678204,24.582975546228,8.91847484932923,11.2052632722342,25.8407091788257,5.60263163611708,2.74414610748592,0.571697105726233,1.02905479030722,2.40112784405018,0.571697105726233,4.80225568810035,1.60075189603345,0.228678842290493,265.153117635827,321,351,465,0.000382310800816073,0.000418040782200752,0.000531678308325396,29744,18330,30895
"214","Kings","California",13617,18093,14190,19178,12282,17184,4150,2869,0,13,19,19,12,10,12,12,12,14,150269,152982,27.5,9.1,44.8,81.3,7.3,4.4,53.2,20.1,71,12.9,10609,21.4,51.8,18429,48133,21,1389.42,110.1,108.1523226,39,6,3,1,2,0,1,7,3,0,150108,0.413035947,0.659280243,0.71,339,-1.511440275,-0.11,-0.13,0.28649,31710,33368,29466,7019,9.3166255182373,8.65115226693463,12.6439917747506,12.6439917747506,7.98567901563197,6.65473251302664,7.98567901563197,7.98567901563197,7.98567901563197,25.9534568008039,3.99283950781598,1.99641975390799,0.665473251302664,1.33094650260533,0,0.665473251302664,4.65831275911865,1.99641975390799,0,225.595432191603,37,41,45,0.000241858519302925,0.000268005386254592,0.000299462963086199,909,-1085,4476
"215","Lake","California",11500,10603,11986,8034,9159,6474,3988,5195,0,20,27,23,19,23,22,17,19,15,64184,64665,20.4,20.6,50,87.7,2.1,1.4,19.1,8.6,85.4,16.2,6777,27.5,62.7,21537,36548,25,1256.46,51.5,51.08320201,27,4,3,0,0,0,0,4,2,0,64156,0.623480267,0.669538585,0.61,279,-0.883263368,-0.08,-0.17,0.274425,22103,20020,15633,9183,23.3703103577216,31.1604138102954,42.0665586438988,35.8344758818397,29.6023931197806,35.8344758818397,34.2764551913249,26.4863517387511,29.6023931197806,42.0665586438988,6.23208276205908,4.67406207154431,0,0,0,0,6.23208276205908,3.11604138102954,0,434.687772653621,56,69,60,0.00086600170107477,0.00106703781025284,0.000934812414308862,4129,2569,-897
