Geography,total_2008,native_2008,state_native_2008,foreign_born_est_2008,foreign_born_est_no_citizen_2008,precent_foreign_born_2008,percent_born_out_of_state_2008
"Williamson County, Texas",394193,356904,209060,37289,23816,0.094595794,0.469650653
"Cache County, Utah",112616,106003,74234,6613,4294,0.058721674,0.340821908
"Davis County, Utah",295332,282268,189893,13064,6678,0.044234963,0.357018542
"Salt Lake County, Utah",1022651,894378,611048,128273,86411,0.125431843,0.402486283
"Utah County, Utah",530837,494368,318703,36469,25943,0.068700938,0.399621729
"Washington County, Utah",137589,128952,77879,8637,5768,0.062773914,0.433973646
"Weber County, Utah",227487,211819,144722,15668,12092,0.068874265,0.363822988
"Chittenden County, Vermont",152782,142581,77384,10201,4443,0.066768337,0.493500543
"Albemarle County, Virginia",94075,86871,45857,7204,4258,0.076577199,0.512548499
"Arlington County, Virginia",209969,160738,40600,49231,28858,0.234467945,0.806638123
"Augusta County, Virginia",70634,69035,48549,1599,563,0.022637823,0.31266812
"Bedford County, Virginia",65805,64307,45291,1498,763,0.022764228,0.31173923
"Chesterfield County, Virginia",303469,281476,175262,21993,12700,0.072471982,0.422471488
"Fairfax County, Virginia",1015302,729954,253100,285348,143288,0.281047412,0.750714566
"Fauquier County, Virginia",66408,63311,37191,3097,2111,0.046635947,0.439962053
"Frederick County, Virginia",73898,70292,42592,3606,2137,0.04879699,0.423637987
"Hanover County, Virginia",99716,96773,66421,2943,1207,0.029513819,0.333898271
"Henrico County, Virginia",292599,265763,173726,26836,14581,0.091715966,0.406265913
"Loudoun County, Virginia",289995,234732,96852,55263,29295,0.190565355,0.666021828
"Montgomery County, Virginia",89967,83843,47728,6124,3177,0.068069403,0.46949437
"Prince William County, Virginia",364734,291728,119578,73006,41839,0.20016231,0.672150115
"Roanoke County, Virginia",90867,85193,52823,5674,3073,0.062442911,0.418677848
"Rockingham County, Virginia",74394,70735,51442,3659,2955,0.049184074,0.308519504
"Spotsylvania County, Virginia",120031,112780,57043,7251,3184,0.060409394,0.524764436
"Stafford County, Virginia",121736,109476,43577,12260,7486,0.100709733,0.642036867
"Alexandria city, Virginia",143885,110173,34301,33712,19628,0.234298224,0.761608229
"Chesapeake city, Virginia",220111,212120,120594,7991,3949,0.03630441,0.452121884
"Hampton city, Virginia",145494,139245,73885,6249,2277,0.042950225,0.492178372
"Lynchburg city, Virginia",73839,70441,43807,3398,2898,0.046019041,0.406722735
"Newport News city, Virginia",179614,167046,83002,12568,7221,0.069972274,0.537886802
"Norfolk city, Virginia",234220,220341,119671,13879,8308,0.059256255,0.489065836
"Portsmouth city, Virginia",100577,98299,61559,2278,1249,0.022649313,0.387941577
"Richmond city, Virginia",202002,189342,130466,12660,9781,0.062672647,0.354135108
"Roanoke city, Virginia",92967,87726,60476,5241,3053,0.056374843,0.349489604
"Suffolk city, Virginia",82302,79884,53536,2418,712,0.029379602,0.34951763
"Virginia Beach city, Virginia",433746,398799,163599,34947,12779,0.080570195,0.622823035
"Benton County, Washington",163058,149036,78730,14022,9506,0.085993941,0.517165671
"Chelan County, Washington",71540,64154,39487,7386,5150,0.103242941,0.448043053
"Clallam County, Washington",71021,67534,34749,3487,2031,0.049098154,0.510722181
"Clark County, Washington",424733,380964,130616,43769,24792,0.103050622,0.692475037
"Cowlitz County, Washington",101254,95831,55127,5423,4418,0.053558378,0.455557311
"Franklin County, Washington",72783,53576,35357,19207,15046,0.263894041,0.514213484
"Grant County, Washington",84697,72351,46980,12346,9694,0.145766674,0.445316835
"Grays Harbor County, Washington",71342,68266,45240,3076,2126,0.043116257,0.365871436
"Island County, Washington",81424,75855,28615,5569,1888,0.068395068,0.64856799
"King County, Washington",1875519,1508055,778401,367464,192382,0.195926568,0.584967681
"Kitsap County, Washington",239769,226636,104875,13133,4482,0.054773553,0.562599836
"Lewis County, Washington",74132,70232,41854,3900,2547,0.05260886,0.435412507
"Pierce County, Washington",785639,716790,390333,68849,33911,0.087634397,0.50316494
"Skagit County, Washington",118000,104555,65687,13445,9392,0.113940678,0.443330508
"Snohomish County, Washington",683655,593496,356106,90159,48054,0.131877921,0.479114466
"Spokane County, Washington",462677,439436,237558,23241,12769,0.050231587,0.486557577
"Thurston County, Washington",245181,228232,113343,16949,8006,0.069128521,0.537717034
"Whatcom County, Washington",196529,176337,99317,20192,11849,0.102743107,0.494644556
"Yakima County, Washington",234564,196664,137816,37900,28562,0.161576371,0.41245886
"Berkeley County, West Virginia",102044,100002,41479,2042,1405,0.020010976,0.593518482
"Cabell County, West Virginia",94631,93510,72541,1121,801,0.011846012,0.233433019
"Harrison County, West Virginia",68853,68039,54552,814,547,0.011822288,0.207703368
"Kanawha County, West Virginia",191018,187084,152026,3934,1091,0.020594918,0.20412736
"Monongalia County, West Virginia",88221,84679,53776,3542,2489,0.040149171,0.390439918
"Raleigh County, West Virginia",79357,78609,59780,748,382,0.00942576,0.246695314
"Wood County, West Virginia",86204,85365,65056,839,699,0.009732727,0.245325043
"Brown County, Wisconsin",245018,232482,184427,12536,8500,0.051163588,0.247292036
"Dane County, Wisconsin",482705,450027,311208,32678,19887,0.067697662,0.355283248
"Dodge County, Wisconsin",87912,85457,71345,2455,1535,0.027925653,0.188449813
"Eau Claire County, Wisconsin",98286,95058,68958,3228,2176,0.032842928,0.298394481
"Fond du Lac County, Wisconsin",99453,96451,81542,3002,2247,0.030185113,0.18009512
"Jefferson County, Wisconsin",80792,77394,62967,3398,2625,0.04205862,0.22062828
"Kenosha County, Wisconsin",164465,154482,80081,9983,5551,0.060699845,0.513081811
"La Crosse County, Wisconsin",112627,109098,80352,3529,2038,0.031333517,0.286565388
"Manitowoc County, Wisconsin",80641,78532,66430,2109,1109,0.026152949,0.176225493
