county,state,Religious2014,Civic2014,Business2014,Political2014,Professional2014,Labor2014,Bowling2014,Recreational2014,Golf2014,Sports2014,pop2014,assn2014,pvote2012,respn2010,nccs2014,sk2014
Bristol Bay Borough, AK,0,1,0,0,0,0,0,0,0,0,946,1.057082452,0.42183908,0.64,14,0.280524446
Oconee , GA,31,1,4,1,2,0,0,4,2,0,35147,1.280336871,0.796753421,0.82,178,0.280524446
Christian , IL,35,8,4,1,0,2,2,3,3,0,33917,1.710056904,0.673554476,0.78,193,0.280524446
Buffalo , NE,45,11,8,0,0,2,1,5,4,1,48348,1.59262017,0.701413428,0.81,275,0.279111224
Wabash , IN,39,8,3,0,1,3,2,2,4,0,32282,1.920574933,0.571999822,0.81,228,0.277698003
Alger , MI,9,1,2,0,0,2,1,0,1,0,9452,1.692763436,0.629841789,0.51,59,0.275578171
Allen , KS,16,1,2,0,0,0,1,0,1,0,12912,1.626394052,0.607273559,0.78,99,0.274164949
Mercer , OH,33,14,1,1,0,2,3,2,3,0,40926,1.44162635,0.734096994,0.84,234,0.272751728
Portage , WI,47,6,7,0,3,11,4,12,3,0,70500,1.319148936,0.810787971,0.84,319,0.272751728
Tucker , WV,4,1,0,0,0,0,0,1,1,0,6947,1.007629192,0.593306863,0.44,73,0.272045117
Reynolds , MO,8,1,0,0,0,0,0,0,0,0,6540,1.376146789,0.59572093,0.46,56,0.269218674
Boone , AR,43,2,2,0,1,0,1,2,1,0,37152,1.399655469,0.726813374,0.75,219,0.267805453
Adair , MO,27,10,2,0,1,0,1,1,1,0,25530,1.684292989,0.637938638,0.81,170,0.267805453
Olmsted , MN,103,21,6,0,9,17,4,16,7,2,150199,1.231699279,0.803084527,0.83,767,0.267098842
Iron , MO,11,3,1,0,0,1,1,2,1,0,10240,1.953125,0.572992182,0.54,64,0.265685621
Huron , OH,50,12,2,1,0,8,3,3,4,0,58685,1.414330749,0.670135587,0.79,425,0.265685621
De Witt , IL,20,2,2,0,0,0,0,2,2,0,16246,1.72350117,0.631664947,0.75,105,0.2642724
