county,state,Religious2014,Civic2014,Business2014,Political2014,Professional2014,Labor2014,Bowling2014,Recreational2014,Golf2014,Sports2014,pop2014,assn2014,pvote2012,respn2010,nccs2014,sk2014
Edgefield , SC,25,2,1,0,0,0,0,0,3,0,26457,1.17171259,0.72758101,0.77,3485,21.80883246
Hinsdale , CO,3,1,1,0,0,0,0,0,0,0,781,6.402048656,0.810810811,0.2,22,9.149195267
Lexington city, VA,10,9,1,0,1,0,0,1,0,0,7149,3.077353476,0.649818622,0.76,302,7.735973879
Mineral , CO,2,1,1,0,0,0,0,0,0,0,695,5.755395683,0.776583035,0.21,15,7.285862867
Motley , TX,4,1,1,0,0,0,0,0,1,0,1153,6.07111882,0.730816078,0.47,24,7.155846499
Thomas , NE,3,0,0,0,0,0,0,0,1,0,687,5.822416303,0.777142857,0.61,13,6.747425518
Hooker , NE,2,0,0,0,0,0,0,0,3,0,726,6.887052342,0.652892562,0.7,12,6.745305686
Griggs , ND,10,0,1,0,0,0,1,1,1,0,2312,6.055363322,0.700361011,0.63,39,6.277529406
Grant , NE,1,0,1,0,0,0,0,0,0,0,620,3.225806452,0.775641026,0.64,17,5.867695204
Kiowa , KS,12,0,1,0,0,0,0,0,1,0,2530,5.533596838,0.708359133,0.64,39,5.587877369
Smith , KS,14,1,1,0,0,0,0,0,0,0,3739,4.279219043,0.656391953,0.77,78,5.142712632
Greeley , KS,4,0,1,0,0,0,1,0,1,0,1305,5.363984674,0.70230608,0.61,18,5.140592799
Sheridan , MT,9,2,0,0,0,0,1,1,1,0,3679,3.805381897,0.770891643,0.61,68,4.834630369
Lane , KS,5,1,2,0,0,0,1,0,0,0,1687,5.334914049,0.68285504,0.69,21,4.773861849
Divide , ND,6,3,0,0,0,0,0,2,1,0,2429,4.940304652,0.668926554,0.52,35,4.760436246
Kittson , MN,11,5,0,0,0,0,0,0,2,0,4442,4.052228726,0.842032011,0.7,67,4.730051986
Gove , KS,9,1,1,0,0,0,0,1,0,0,2706,4.4345898,0.718441558,0.73,42,4.629006657
Murray , MN,28,3,1,0,0,0,1,1,3,0,8447,4.380253344,0.850642398,0.75,101,4.502523343
Prairie , MT,2,1,0,0,0,0,0,0,0,0,1140,2.631578947,0.797052154,0.67,25,4.462953144
Garfield , NE,6,1,0,0,0,0,0,0,1,0,1995,4.010025063,0.758064516,0.62,30,4.366147479
Comanche , KS,8,0,1,0,0,0,0,0,1,0,1949,5.130836326,0.741214058,0.62,18,4.300432684
Northumberland , VA,21,3,0,0,0,1,0,0,1,0,6052,4.296100463,0.792741766,0.75,76,4.291953356
Sheridan , ND,4,0,1,0,0,0,0,0,0,0,1323,3.779289494,0.759746147,0.61,20,4.183135309
Lake of the Woods , MN,9,3,0,0,0,0,0,1,1,0,3917,3.574163901,0.853975535,0.31,52,4.175362591
Burke , ND,7,0,0,0,0,0,1,0,1,0,2235,4.026845638,0.650564617,0.51,36,4.161936988
San Juan , CO,0,0,1,0,0,0,0,0,0,0,719,1.390820584,0.766666667,0.32,19,4.124486621
Wallace , KS,4,1,0,0,1,0,0,0,0,0,1514,3.963011889,0.727438469,0.66,22,4.096222194
Haakon , SD,4,0,0,0,0,0,1,0,1,0,1847,3.248511099,0.773919206,0.6,30,3.963379383
Republic , KS,17,2,2,0,0,0,0,1,1,0,4773,4.818772261,0.706842105,0.75,47,3.937941398
Washington , KS,19,1,1,0,0,0,0,0,2,0,5628,4.086709311,0.708088235,0.73,76,3.925222406
Grant , MN,14,3,1,0,0,0,0,0,1,0,5969,3.183112749,0.800872761,0.7,92,3.836896069
Highland , VA,4,2,1,0,0,0,0,0,0,0,2251,3.109729009,0.794713161,0.53,35,3.829123351
Teton , MT,12,1,1,0,0,0,0,2,2,0,6046,2.977174992,0.821893788,0.71,96,3.815697748
Nuckolls , NE,9,4,1,0,1,0,0,2,1,0,4366,4.122766835,0.67916925,0.71,58,3.80721842
Fairfax city, VA,22,3,14,2,9,3,1,14,1,0,23694,2.912129653,0.736245647,0.79,435,3.805098588
Wells , ND,10,4,1,0,0,0,0,0,2,0,4184,4.063097514,0.699012202,0.65,54,3.791672984
Lincoln , MN,15,2,0,0,0,0,1,0,2,0,5804,3.44589938,0.807453416,0.73,78,3.748569732
Marshall , MN,22,9,1,0,0,0,0,0,2,0,9434,3.603985584,0.87177584,0.8,105,3.731611075
Deuel , NE,7,0,0,0,0,0,0,0,0,0,1936,3.615702479,0.688557888,0.7,29,3.687801212
Johnson , WY,11,1,2,0,1,0,1,2,1,0,8552,2.221702526,0.939761695,0.65,137,3.669429334
Big Stone , MN,15,3,0,0,0,0,1,0,1,0,5125,3.902439024,0.753376553,0.82,61,3.638338464
Logan , NE,2,1,0,0,0,0,0,0,0,0,752,3.989361702,0.772401434,0.66,8,3.632685578
Garden , NE,6,1,0,0,0,0,0,0,1,0,1912,4.184100418,0.694462126,0.56,21,3.581102998
Decatur , KS,7,1,1,0,0,0,0,0,1,0,2890,3.460207612,0.753937008,0.61,38,3.53305347
Sheridan , KS,7,1,1,0,0,0,0,0,1,0,2541,3.935458481,0.730538922,0.71,29,3.527400585
Stafford , KS,12,2,2,0,0,0,0,0,1,0,4296,3.95716946,0.670189504,0.67,54,3.51256176
Covington city, VA,18,0,1,0,0,3,0,1,0,0,5696,4.037921348,0.606928888,0.8,79,3.502669211
Wichita , KS,8,0,1,0,0,0,0,0,1,0,2174,4.599816007,0.697033898,0.62,18,3.475818004
Dickey , ND,13,2,2,0,0,0,1,1,2,0,5123,4.099160648,0.628641371,0.63,63,3.435541195
Fallon , MT,7,1,1,0,0,0,1,0,1,0,3111,3.535840566,0.754291845,0.65,38,3.426355256
Cook , MN,8,3,0,1,0,0,0,0,0,0,5223,2.297530155,0.864878938,0.41,81,3.424942034
McIntosh , ND,5,3,0,0,0,0,1,0,1,0,2763,3.619254434,0.691489362,0.57,36,3.411516431
Cheyenne , KS,6,0,1,0,0,0,0,0,1,0,2687,2.977298102,0.747379455,0.7,41,3.405156935
Teton , WY,13,7,3,2,0,0,0,14,4,1,22905,1.920977952,0.954696869,0.5,344,3.340855362
District of Columbia, DC,477,211,485,136,324,134,1,88,3,5,659836,2.82494438,0.607232701,0.72,12568,3.338028919
Custer , CO,9,0,1,0,0,0,0,0,1,0,4347,2.530480791,0.765219842,0.38,70,3.336615697
Yellow Medicine , MN,25,1,3,0,0,0,0,0,2,0,10033,3.089803648,0.912061995,0.82,106,3.331669423
Towner , ND,4,2,1,0,0,0,0,0,1,0,2298,3.481288077,0.662065157,0.57,32,3.321070262
Nelson , ND,8,0,0,0,0,0,0,0,1,0,3042,2.958579882,0.672748909,0.61,50,3.316123987
San Juan , WA,14,4,2,0,0,0,0,6,2,0,16026,1.747160864,0.881437724,0.47,271,3.220024933
Hyde , SD,3,1,0,0,0,0,1,0,0,0,1396,3.581661891,0.69478673,0.65,17,3.215785269
Foard , TX,2,0,1,0,1,0,0,0,0,0,1268,3.154574132,0.460037175,0.52,25,3.213665437
McCone , MT,3,0,0,0,0,0,0,0,0,0,1704,1.76056338,0.801452785,0.55,32,3.197413391
Swift , MN,22,3,1,0,0,0,1,0,2,0,9446,3.070082575,0.831276388,0.8,108,3.138058092
Powder River , MT,1,0,2,0,0,0,0,0,1,0,1778,2.249718785,0.78277439,0.54,29,3.13593826
Rawlins , KS,8,0,1,0,0,0,0,0,1,0,2555,3.913894325,0.696239151,0.6,25,3.123925879
Barber , KS,13,1,2,0,0,0,0,1,1,0,4870,3.696098563,0.710251688,0.76,53,3.119686214
Gregory , SD,8,1,1,0,0,0,1,0,2,0,4221,3.079838901,0.694991922,0.61,59,3.091421787
Dundy , NE,4,0,0,0,0,0,0,0,1,0,1889,2.646903123,0.733432614,0.64,29,3.088595344
Ness , KS,9,0,2,0,0,0,0,0,0,0,3083,3.567953292,0.695568401,0.62,35,3.075169741
Martinsville city, VA,32,3,3,0,0,0,0,2,1,0,13552,3.025383707,0.682746632,0.76,197,3.035599542
Jerauld , SD,4,0,0,0,0,0,1,0,1,0,2005,2.992518703,0.680649526,0.66,29,3.020054107
Atchison , MO,14,0,1,0,0,0,1,1,2,0,5371,3.537516291,0.641639034,0.74,68,3.008748335
Lac qui Parle , MN,13,3,1,0,0,0,0,0,2,0,6895,2.755620015,0.820597322,0.81,86,2.987550015
Foster , ND,8,0,1,0,0,0,0,1,1,0,3362,3.271861987,0.646969697,0.69,46,2.986843404
Polk , IA,262,47,73,15,32,51,8,73,12,6,460341,1.257763267,0.811074572,0.79,9392,2.981190518
Graham , KS,5,0,2,0,0,0,0,0,0,0,2555,2.739726027,0.667663179,0.79,41,2.967764915
Lancaster , VA,25,3,1,0,0,0,1,1,0,0,11003,2.817413433,0.787265325,0.76,140,2.967058304
Fillmore , MN,44,11,5,0,0,0,2,0,5,0,20812,3.21929656,0.78847546,0.79,222,2.966351694
Chippewa , MN,27,9,2,0,0,0,1,1,1,0,12085,3.392635499,0.818181818,0.84,108,2.927488106
Jeff Davis , TX,6,0,1,0,0,0,0,0,0,0,2185,3.203661327,0.759719567,0.47,23,2.922541831
Watonwan , MN,21,7,2,0,0,0,2,3,1,0,10969,3.281976479,0.823830878,0.8,100,2.897103846
Hot Springs , WY,6,1,1,0,0,1,0,2,0,0,4793,2.295013561,0.926676492,0.66,55,2.892157571
Keya Paha , NE,1,0,0,0,0,0,0,0,0,0,804,1.243781095,0.742331288,0.57,17,2.89074435
Hughes , SD,14,8,18,3,7,3,1,3,0,0,17617,3.235511154,0.649852578,0.8,236,2.877318746
Wallowa , OR,9,1,2,0,0,0,0,0,1,0,6817,1.906997213,0.863981919,0.72,102,2.866719586
Mitchell , KS,12,1,2,0,0,0,1,2,1,0,6255,3.037569944,0.695846046,0.73,82,2.864599754
Rock , NE,3,0,0,0,0,0,0,0,1,0,1413,2.830856334,0.744339623,0.61,18,2.857533647
Valley , MT,11,2,2,0,0,1,1,0,1,0,7624,2.360965373,0.805636743,0.52,103,2.853293983
Hand , SD,6,0,0,0,0,0,0,1,1,0,3354,2.385211688,0.683937824,0.87,57,2.851880761
Kiowa , CO,4,0,0,0,0,0,0,0,0,0,1411,2.834868887,0.765144455,0.55,17,2.848347708
Phillips , KS,13,2,1,0,0,1,0,1,0,0,5483,3.282874339,0.660401648,0.77,69,2.834215494
Faribault , MN,31,6,2,0,0,0,0,2,3,0,14156,3.108222662,0.800103734,0.81,145,2.834215494
Perkins , SD,4,1,1,0,0,0,1,0,1,0,3045,2.6272578,0.648450245,0.84,50,2.834215494
Niobrara , WY,2,1,0,0,0,0,0,1,0,0,2530,1.581027668,0.926652142,0.59,37,2.82008328
Lincoln , KS,7,2,2,0,0,0,0,0,0,0,3153,3.488740882,0.661758144,0.76,35,2.771327142
Jones , SD,1,0,0,0,0,0,0,0,0,0,965,1.03626943,0.77284264,0.57,20,2.757901539
Golden Valley , ND,3,1,1,0,0,0,0,0,1,0,1828,3.282275711,0.716666667,0.58,19,2.753661875
Platte , WY,12,2,0,0,0,3,0,0,1,0,8776,2.051048314,0.966098081,0.63,96,2.753661875
Potter , SD,5,1,0,0,0,0,0,0,1,0,2334,2.999143102,0.691537306,0.58,29,2.747302379
Harding , NM,1,0,0,0,0,0,0,0,0,0,677,1.477104874,0.789750329,0.48,12,2.736703218
Pembina , ND,16,2,2,0,0,0,1,0,3,0,7129,3.36653107,0.574519647,0.69,96,2.735289997
Pocahontas , IA,16,0,1,0,0,1,1,0,4,0,7125,3.228070175,0.713249602,0.81,79,2.729637111
Renville , MN,32,6,1,0,1,1,1,0,4,0,15003,3.066053456,0.778945241,0.78,153,2.711971844
Traverse , MN,7,1,0,0,0,0,0,0,1,0,3391,2.654084341,0.787969283,0.77,41,2.709852012
Redwood , MN,29,8,4,0,0,0,3,2,2,1,15509,3.1594558,0.742895289,0.83,165,2.705612348
Nicollet , MN,22,6,4,0,1,2,2,2,1,0,33257,1.202754307,0.763380047,0.86,676,2.697133019
Thayer , NE,13,0,0,0,0,0,1,0,1,0,5228,2.869166029,0.704184322,0.73,66,2.663922317
Pondera , MT,10,2,1,0,0,0,1,0,1,0,6211,2.415070037,0.74656782,0.68,86,2.659682653
Pope , MN,23,2,2,0,1,0,0,2,2,0,10952,2.92184076,0.794959908,0.73,111,2.655442988
Liberty , MT,3,0,1,0,0,0,0,1,0,0,2363,2.115954295,0.800963082,0.63,33,2.654029767
Rock , MN,19,3,0,0,0,0,1,2,1,0,9516,2.732240437,0.821495169,0.85,101,2.634951278
Kingsbury , SD,11,0,1,0,0,0,1,0,1,0,5076,2.758077226,0.721438451,0.84,65,2.627885171
Kossuth , IA,30,1,3,0,0,1,0,1,4,0,15224,2.627430373,0.743955311,0.76,194,2.620819064
Dickens , TX,6,0,1,0,0,0,0,0,0,0,2205,3.174603175,0.7432531,0.57,21,2.620112454
Stevens , MN,21,2,1,0,0,0,1,1,1,0,9838,2.744460256,0.757640751,0.85,116,2.58619514
Dukes , MA,17,6,1,1,0,0,0,7,5,0,17320,2.136258661,0.783428571,0.75,244,2.578422423
Cavalier , ND,5,2,1,0,0,0,0,0,1,0,3858,2.33281493,0.666771753,0.63,60,2.569236484
Norton , KS,11,2,2,0,0,0,0,0,1,0,5525,2.895927602,0.690525691,0.74,67,2.542385277
McPherson , SD,6,1,0,0,0,0,1,0,0,0,2426,3.297609233,0.615189873,0.62,28,2.533199338
Perkins , NE,8,0,0,0,0,0,0,1,0,0,2892,3.112033195,0.696303696,0.7,31,2.531079506
Sheridan , WY,24,8,2,0,2,2,1,4,4,0,30020,1.565622918,1.049538326,0.72,308,2.512707628
Tripp , SD,5,5,1,0,0,0,2,1,1,0,5499,2.727768685,0.652680087,0.61,74,2.510587796
Norman , MN,11,3,0,0,0,0,1,0,1,0,6643,2.408550354,0.794795539,0.77,80,2.509174575
Hamilton , IL,23,4,2,0,0,2,0,0,1,0,8298,3.856350928,0.68586843,0.71,58,2.507761353
Billings , ND,1,0,1,0,0,0,0,0,0,0,910,2.197802198,0.863298663,0.53,10,2.504934911
LaMoure , ND,8,2,0,0,0,0,0,0,2,0,4111,2.918997811,0.689005559,0.67,48,2.503521689
Stanley , SD,2,2,3,0,0,1,0,0,1,0,2965,3.035413153,0.702875399,0.7,32,2.502108468
Wheatland , MT,1,2,0,0,0,0,0,0,1,0,2096,1.908396947,0.753799392,0.62,32,2.501401857
Cottonwood , MN,22,2,1,0,0,2,1,0,2,0,11589,2.588661662,0.823777403,0.81,118,2.454765551
Sherman , OR,4,0,0,0,0,0,0,0,0,0,1702,2.350176263,0.840983607,0.61,18,2.450525887
Sedgwick , CO,3,0,0,0,0,0,1,0,0,0,2334,1.713796058,0.794536817,0.62,35,2.447699444
Antelope , NE,14,3,0,0,0,0,1,0,3,0,6403,3.279712635,0.696701875,0.71,60,2.446286223
Phillips , CO,10,0,1,0,0,0,0,1,1,0,4391,2.96060123,0.719504447,0.71,46,2.444873002
Traill , ND,18,5,0,0,0,1,0,0,2,0,8063,3.224606226,0.622229209,0.71,92,2.442046559
Schuyler , IL,12,1,1,1,1,2,0,0,0,0,7238,2.486874827,0.736324058,0.69,90,2.434273841
Thomas , KS,16,0,2,0,1,1,1,0,1,0,7855,2.800763845,0.769605671,0.71,78,2.413782131
Jackson , MN,22,2,1,0,0,0,1,1,3,0,10247,2.927686152,0.822478037,0.81,84,2.410955688
Throckmorton , TX,4,0,0,1,0,0,0,0,0,0,1614,3.097893432,0.632192846,0.48,18,2.406009413
Camas , ID,2,0,0,0,0,0,0,0,0,1,1038,2.89017341,0.696385542,0.46,11,2.395410253
Carter , MT,2,0,0,0,0,0,0,0,0,0,1176,1.700680272,0.799196787,0.57,17,2.379864818
Logan , KS,4,1,1,0,0,0,1,1,1,0,2793,3.222341568,0.707918196,0.71,25,2.368559047
Marshall , KS,18,4,2,0,0,1,1,1,1,0,9998,2.800560112,0.674915158,0.8,121,2.367145825
Rush , KS,5,0,2,1,0,0,0,0,0,0,3187,2.510197678,0.680537495,0.66,42,2.364319382
Door , WI,34,2,9,0,1,1,2,4,9,0,27713,2.23721719,0.854207957,0.84,296,2.340294619
Lyon , IA,27,1,1,0,0,1,0,0,3,0,11695,2.821718683,0.760130795,0.77,113,2.326162405
Hamilton , NY,7,1,2,0,0,0,0,0,3,0,4706,2.762430939,0.627874143,0.69,61,2.326162405
Daniels , MT,2,0,0,0,0,0,1,0,1,0,1801,2.22098834,0.769877676,0.61,22,2.324749184
Gilliam , OR,2,1,0,0,0,0,0,0,0,0,1924,1.559251559,0.855645161,0.57,26,2.322629351
Clark , KS,5,0,1,0,0,0,0,0,0,0,2120,2.830188679,0.656552615,0.65,25,2.316976466
Harding , SD,2,0,1,0,0,0,0,0,0,0,1254,2.392344498,0.735323383,0.58,15,2.302844252
Osborne , KS,10,0,1,0,0,0,0,0,0,0,3763,2.923199575,0.626235094,0.67,45,2.297191366
Cimarron , OK,7,0,0,0,0,0,0,0,0,0,2288,3.059440559,0.656609984,0.46,23,2.289418649
Jackson , CO,0,0,0,0,0,0,2,0,0,0,1395,1.433691756,0.674622116,0.39,25,2.288712038
Burt , NE,13,0,1,1,0,0,0,2,2,0,6590,2.883156297,0.682921894,0.86,73,2.275993046
Faulk , SD,3,0,1,0,0,0,0,0,1,0,2345,2.132196162,0.687195122,0.68,34,2.273873214
Phillips , MT,3,1,1,0,0,0,0,0,1,0,4186,1.433349259,0.797994269,0.61,64,2.264687275
Howard , IA,17,1,2,0,0,1,1,1,3,0,9441,2.753945557,0.742131331,0.83,96,2.256914557
Logan , ND,3,1,0,0,0,0,0,0,0,0,1950,2.051282051,0.70134014,0.62,28,2.256207946
Cloud , KS,21,3,3,0,0,1,1,1,1,0,9331,3.322259136,0.645048482,0.74,87,2.252674893
Hutchinson , SD,19,1,0,0,0,0,1,0,2,0,7228,3.182069729,0.645739065,0.85,74,2.249141839
Boyd , NE,3,0,0,0,0,0,0,0,0,0,2027,1.480019734,0.714,0.55,34,2.237836068
Wadena , MN,20,7,1,0,0,0,1,1,2,0,13740,2.328966521,0.782463417,0.8,154,2.232183183
Madison , MT,4,0,3,0,0,0,0,2,2,0,7806,1.409172431,0.799153588,0.39,115,2.228650129
Park , WY,26,11,4,0,0,0,2,2,2,0,29126,1.6136785,1.006753963,0.74,274,2.225117076
Knox , MO,7,1,0,0,0,0,0,2,0,0,3996,2.502502503,0.679749913,0.59,49,2.220877412
Wright , IA,27,1,3,0,0,1,2,2,3,0,12872,3.029832194,0.674763543,0.77,128,2.20957164
Morton , KS,8,0,2,0,0,0,0,0,0,0,3075,3.25203252,0.652706844,0.54,27,2.198265869
Ida , IA,15,1,1,0,0,0,1,1,2,0,7025,2.989323843,0.683268047,0.78,69,2.183427045
Fillmore , NE,13,2,1,0,0,0,0,0,1,0,5634,3.017394391,0.691900985,0.86,54,2.174947716
Real , TX,6,1,1,0,0,0,0,1,0,0,3359,2.67936886,0.632728772,0.34,39,2.161522113
Douglas , SD,6,0,0,0,0,0,0,0,0,0,2948,2.035278155,0.705342237,0.85,42,2.15798906
Chouteau , MT,6,1,1,0,0,0,0,1,1,0,5900,1.694915254,0.731587137,0.62,88,2.157282449
Bowman , ND,5,0,2,0,0,0,0,0,1,0,3244,2.466091245,0.715802368,0.68,37,2.157282449
Stonewall , TX,3,0,1,0,0,0,0,0,0,0,1397,2.863278454,0.639204545,0.47,15,2.156575838
Pitkin , CO,14,8,1,1,0,0,1,7,3,0,17599,1.988749361,0.675268097,0.4,251,2.153749396
Sweet Grass , MT,5,1,1,0,0,0,0,1,1,0,3666,2.454991817,0.77489019,0.58,36,2.151629563
Charlottesville city, VA,61,14,3,0,4,3,0,9,0,0,45622,2.060409452,0.657724804,0.75,684,2.148803121
Haines Borough, AK,1,1,1,0,0,0,0,0,1,0,2566,1.558846454,0.602232143,0.46,47,2.145976678
Hancock , IA,26,4,1,0,0,0,0,1,4,0,10987,3.276599618,0.6989501,0.8,85,2.138910571
Ouray , CO,6,0,2,0,0,0,0,0,1,0,4625,1.945945946,0.729052823,0.47,61,2.126898189
Brown , NE,4,1,0,0,0,0,0,0,1,0,2941,2.040122407,0.718908923,0.63,39,2.125484968
Washakie , WY,9,4,0,0,0,1,1,1,0,0,8316,1.924001924,0.934597156,0.72,74,2.124778357
Crook , WY,7,1,0,0,0,0,0,0,3,0,7264,1.514317181,0.964659686,0.6,73,2.122658525
Ringgold , IA,8,0,1,0,0,0,1,0,2,0,5033,2.384263859,0.809909629,0.76,48,2.120538693
Mason , TX,6,0,2,0,0,0,0,0,1,0,4073,2.209673459,0.680262703,0.51,53,2.11771225
Barnes , ND,19,4,1,1,2,0,1,2,1,0,11118,2.788271272,0.637275006,0.84,130,2.115592418
Trego , KS,7,1,0,0,0,0,0,0,1,0,2916,3.086419753,0.701777778,0.84,25,2.109939533
Sioux , IA,74,3,5,0,0,0,2,4,6,0,34699,2.709011787,0.835892978,0.81,252,2.108526311
Ransom , ND,8,5,1,0,0,1,0,0,1,0,5437,2.942799338,0.591664659,0.67,63,2.1078197
Ellsworth , KS,14,0,2,0,1,1,1,0,0,0,6375,2.980392157,0.652079827,0.72,64,2.105699868
Jewell , KS,8,0,1,0,0,0,0,0,0,0,3030,2.97029703,0.628727425,0.69,32,2.101460204
Lincoln , WA,15,0,2,0,0,0,1,0,2,0,10253,1.950648591,0.831845871,0.6,111,2.100753594
Cole , MO,68,18,41,7,28,12,1,8,1,0,76531,2.404254485,0.696013071,0.8,925,2.095100708
Cherry , NE,10,2,2,0,0,0,1,1,0,0,5760,2.777777778,0.712723889,0.62,54,2.094394097
Carbon , WY,10,7,2,0,0,2,0,0,2,0,15856,1.450554995,1.002464192,0.58,147,2.093687487
Menard , TX,3,0,2,0,0,0,0,0,1,0,2150,2.790697674,0.518315018,0.41,29,2.089447822
Dawson , MT,9,5,2,0,0,2,1,1,1,0,9543,2.20056586,0.744111709,0.69,112,2.088741212
Osceola , IA,15,1,1,0,0,0,1,0,0,0,6203,2.901821699,0.688510455,0.74,59,2.08732799
Hamilton , KS,6,0,2,0,0,0,1,0,0,0,2593,3.470883147,0.685691947,0.52,16,2.08662138
Grant , SD,16,5,0,0,0,0,1,1,1,0,7221,3.323639385,0.645889307,0.73,60,2.085914769
Frontier , NE,4,1,0,0,0,1,0,0,1,0,2714,2.579218865,0.680396246,0.6,30,2.080261883
Kent , TX,3,0,0,0,0,0,0,0,0,0,783,3.831417625,0.646964856,0.49,4,2.077435441
Baker , OR,20,8,3,0,0,1,1,2,0,0,16082,2.176346226,0.830923576,0.71,157,2.07672883
O'Brien , IA,31,3,2,0,0,0,1,3,3,0,14066,3.05701692,0.704578174,0.76,116,2.06683628
Meade , KS,13,0,1,0,0,0,0,0,1,0,4367,3.434852301,0.556134071,0.67,42,2.062596616
Lewis and Clark , MT,46,16,30,7,16,11,1,11,5,2,65904,2.200169944,0.727451366,0.71,792,2.061183395
Greene , IA,18,3,3,0,0,1,0,0,1,0,9204,2.824858757,0.698170292,0.76,88,2.059063563
Eddy , ND,3,1,0,0,0,0,1,0,1,0,2368,2.533783784,0.619926199,0.65,30,2.051290845
Pipestone , MN,21,1,1,0,0,0,0,0,1,0,9301,2.580367702,0.809407666,0.81,76,2.040691685
Guthrie , IA,19,0,3,0,0,0,1,1,2,0,10709,2.427864413,0.728712871,0.71,114,2.033625578
Marshall , SD,10,0,1,1,0,0,0,0,1,0,4698,2.767134951,0.651048493,0.56,49,2.033625578
Sully , SD,4,0,0,0,0,0,0,0,0,0,1426,2.805049088,0.727111111,0.56,12,2.033625578
Bottineau , ND,15,0,1,0,0,0,0,0,2,0,6649,2.707174011,0.693495464,0.53,64,2.026559471
Sherman , NE,7,1,0,0,0,0,1,0,0,0,3072,2.9296875,0.743801653,0.64,23,2.025146249
Lake , OR,6,3,0,0,0,0,0,1,0,0,7843,1.275022313,0.873969376,0.61,101,2.018786753
Vilas , WI,25,3,7,0,0,0,3,3,5,0,21398,2.14973362,0.864314705,0.82,191,2.007480982
Day , SD,9,3,1,0,0,0,0,0,0,0,5558,2.338970853,0.66015625,0.54,68,2.006067761
Turner , SD,20,0,0,0,0,1,0,0,1,0,8253,2.665697322,0.684886937,0.84,87,2.003241318
Campbell , SD,5,0,0,0,0,0,0,0,0,0,1375,3.636363636,0.61677116,0.59,9,1.991228936
Goshen , WY,17,3,2,0,0,2,0,0,0,0,13509,1.776593382,0.98490246,0.66,102,1.988402493
Jefferson , NE,17,1,1,0,0,0,0,0,1,0,7303,2.738600575,0.666408818,0.86,77,1.98557605
Aurora , SD,5,0,0,0,0,0,1,0,1,0,2743,2.551950419,0.690335306,0.68,29,1.98486944
Fayette , TX,39,2,6,0,0,0,2,1,2,0,24870,2.090872537,0.666729858,0.73,339,1.98486944
Sargent , ND,6,2,0,0,0,0,0,0,1,0,3922,2.294747578,0.686783547,0.69,47,1.979923165
Pawnee , NE,2,1,0,0,0,0,0,0,0,0,2692,1.114413076,0.693381593,0.63,48,1.979216554
Judith Basin , MT,1,0,0,0,0,0,0,0,0,0,1991,0.502260171,0.81054036,0.57,36,1.977096722
Park , MT,20,2,3,0,0,0,1,2,2,0,15855,1.892147588,0.741668076,0.61,199,1.970737226
Sheridan , NE,11,2,0,0,0,0,1,0,1,0,5268,2.84738041,0.599708879,0.63,58,1.970030615
Walsh , ND,21,2,2,0,1,1,1,3,2,0,10959,3.011223652,0.606918239,0.71,111,1.966497562
Grant , OR,8,1,1,0,0,0,0,0,1,0,7190,1.529902643,0.868918018,0.59,81,1.955191791
Natrona , WY,53,17,12,2,8,7,1,12,4,1,81603,1.433770817,1.115964011,0.74,504,1.955191791
Hardin , IA,26,4,4,0,0,0,2,0,7,0,17371,2.475390018,0.720836034,0.81,179,1.950245516
Phelps , NE,19,2,2,0,0,0,1,1,2,0,9201,2.934463645,0.695127757,0.74,77,1.946005852
Musselshell , MT,4,1,0,0,0,0,0,0,1,0,4604,1.303214596,0.777203746,0.58,67,1.945299241
Calhoun , IA,21,2,0,0,0,0,1,1,3,0,9857,2.840620879,0.728513721,0.8,80,1.93470008
Aitkin , MN,14,13,3,0,0,1,2,0,0,0,15708,2.100840336,0.823826259,0.55,144,1.933286859
Red Lake , MN,5,3,0,0,0,0,0,0,1,0,4019,2.239363026,0.769080997,0.79,41,1.926220752
McPherson , KS,55,4,6,1,1,2,1,4,2,0,29161,2.606220637,0.784197436,0.81,232,1.922687699
Beaverhead , MT,7,5,0,0,0,0,0,2,2,0,9310,1.71858217,0.718316167,0.57,127,1.921274477
Sibley , MN,23,6,1,0,2,0,0,3,1,0,14897,2.416593945,0.816529098,0.8,121,1.917741424
Deuel , SD,8,0,0,0,1,0,1,0,1,0,4320,2.546296296,0.686373696,0.85,46,1.917034813
Albany , WY,29,8,2,0,0,0,1,4,0,0,37918,1.160398755,1.065220233,0.72,324,1.917034813
Kidder , ND,3,1,0,0,0,0,0,1,0,0,2424,2.062706271,0.708071279,0.52,29,1.915621592
De Baca , NM,4,0,1,0,0,0,0,0,0,0,1827,2.736726875,0.644746247,0.48,18,1.909262095
Wheeler , OR,0,0,0,0,0,0,0,0,0,0,1372,0,0.89748954,0.6,25,1.898662935
Weston , WY,8,0,1,0,0,1,0,0,2,0,7185,1.670146138,0.967732642,0.65,57,1.891596828
Polk , MN,47,13,4,0,0,2,0,3,6,1,31517,2.411397024,0.789055368,0.76,267,1.874638171
Marion , KS,31,3,3,0,0,0,0,0,0,0,12208,3.030799476,0.693372645,0.77,92,1.871105118
Polk , NE,11,2,0,0,0,0,0,0,1,0,5277,2.653022551,0.70705036,0.85,49,1.86262579
Sac , IA,22,1,2,1,0,1,0,1,2,0,10043,2.987155233,0.67763832,0.76,81,1.861919179
Chaffee , CO,24,5,2,0,0,0,1,4,3,0,18459,2.112790509,0.767909571,0.62,187,1.855559683
