county,state,Obama_08,McCain_08
DelNorte,California,"3,869","4,429"
ElDorado,California,"33,010","40,512"
Fresno,California,"94,788","94,814"
Glenn,California,"3,693","5,874"
Humboldt,California,"30,807","16,704"
Imperial,California,"17,791","10,850"
Inyo,California,"3,208","3,833"
Kern,California,"76,189","111,254"
Kings,California,"14,190","19,178"
Lake,California,"11,986","8,034"
Lassen,California,"3,586","7,483"
LosAngeles,California,"1,938,744","826,512"
Madera,California,"14,997","20,251"
Marin,California,"93,772","24,478"
Mariposa,California,"3,766","4,880"
Mendocino,California,"15,963","6,256"
Merced,California,"28,152","23,994"
Modoc,California,"1,311","2,980"
Mono,California,"2,827","2,159"
Monterey,California,"61,837","27,321"
Napa,California,"28,212","14,251"
Nevada,California,"23,035","20,899"
Orange,California,"433,988","469,124"
Placer,California,"64,460","80,209"
Plumas,California,"4,715","6,034"
Riverside,California,"210,905","197,517"
Sacramento,California,"253,581","172,431"
SanBenito,California,"5,940","3,566"
SanBernardino,California,"237,831","214,031"
SanDiego,California,"559,983","462,191"
SanFrancisco,California,"253,375","40,829"
SanJoaquin,California,"90,851","74,318"
SanLuisObispo,California,"63,159","57,550"
SanMateo,California,"166,334","56,100"
SantaBarbara,California,"95,677","61,099"
SantaClara,California,"386,279","158,630"
SantaCruz,California,"78,495","20,063"
Shasta,California,"24,322","41,482"
Sierra,California,743,"1,157"
Siskiyou,California,"7,575","9,288"
Solano,California,"74,340","40,755"
Sonoma,California,"144,399","47,184"
Stanislaus,California,"75,106","74,025"
Sutter,California,"7,360","10,445"
Tehama,California,"6,848","11,106"
Trinity,California,"3,197","2,904"
Tulare,California,"32,670","44,729"
Tuolumne,California,"11,319","14,700"
Ventura,California,"132,937","103,256"
Yolo,California,"46,499","21,486"
Yuba,California,"7,107","9,608"
Adams,Colorado,"90,113","62,321"
Alamosa,Colorado,"3,521","2,635"
Arapahoe,Colorado,"128,366","100,409"
Archuleta,Colorado,"2,822","3,618"
Baca,Colorado,532,"1,568"
Bent,Colorado,799,"1,077"
Boulder,Colorado,"115,339","41,644"
Broomfield,Colorado,"16,031","12,675"
Chaffee,Colorado,"4,827","4,832"
Cheyenne,Colorado,198,890
ClearCreek,Colorado,"3,295","2,278"
Conejos,Colorado,"2,106","1,616"
Costilla,Colorado,"1,236",411
Crowley,Colorado,552,976
Custer,Colorado,914,"1,668"
Delta,Colorado,"5,007","9,905"
Denver,Colorado,"195,499","60,226"
Dolores,Colorado,356,803
Douglas,Colorado,"51,813","73,225"
Eagle,Colorado,"13,055","8,112"
ElPaso,Colorado,"104,670","155,914"
Elbert,Colorado,"3,775","9,030"
