county,state,Obama_08,McCain_08
Lake,Indiana,"138,603","67,417"
LaPorte,Indiana,"28,247","17,911"
Lawrence,Indiana,"7,208","11,018"
Madison,Indiana,"30,152","26,403"
Marion,Indiana,"237,275","131,459"
Marshall,Indiana,"7,880","10,401"
Martin,Indiana,"1,706","3,112"
Miami,Indiana,"5,559","8,305"
Monroe,Indiana,"41,332","21,083"
Montgomery,Indiana,"6,005","9,055"
Morgan,Indiana,"10,314","18,105"
Newton,Indiana,"2,623","3,300"
Noble,Indiana,"7,063","9,671"
Ohio,Indiana,"1,158","1,712"
Orange,Indiana,"3,390","4,536"
Owen,Indiana,"3,570","4,415"
Parke,Indiana,"2,913","3,900"
Perry,Indiana,"5,140","3,201"
Pike,Indiana,"2,700","3,221"
Porter,Indiana,"39,046","33,796"
Posey,Indiana,"5,820","6,794"
Pulaski,Indiana,"2,466","3,368"
Putnam,Indiana,"6,331","8,085"
Randolph,Indiana,"4,839","5,787"
Ripley,Indiana,"4,187","7,794"
Rush,Indiana,"3,228","4,270"
Scott,Indiana,"4,268","4,443"
Shelby,Indiana,"6,983","10,330"
Spencer,Indiana,"5,037","4,998"
St.Joseph,Indiana,"68,708","48,510"
Starke,Indiana,"4,778","4,473"
Steuben,Indiana,"6,283","7,670"
Sullivan,Indiana,"4,282","4,341"
Switzerland,Indiana,"1,638","1,940"
Tippecanoe,Indiana,"37,709","29,789"
Tipton,Indiana,"3,250","4,452"
Union,Indiana,"1,220","2,058"
Vanderburgh,Indiana,"39,368","37,449"
Vermillion,Indiana,"4,002","3,004"
Vigo,Indiana,"25,023","18,111"
Wabash,Indiana,"5,455","8,238"
Warren,Indiana,"1,753","2,164"
Warrick,Indiana,"12,329","16,013"
Washington,Indiana,"4,561","6,512"
Wayne,Indiana,"13,459","14,558"
Wells,Indiana,"4,403","8,503"
White,Indiana,"4,839","5,730"
Whitley,Indiana,"5,861","9,122"
Adair,Iowa,"1,920","2,059"
Adams,Iowa,"1,113","1,039"
Allamakee,Iowa,"3,962","2,961"
Appanoose,Iowa,"2,964","3,081"
Audubon,Iowa,"1,731","1,631"
Benton,Iowa,"7,035","6,431"
BlackHawk,Iowa,"38,564","24,467"
Boone,Iowa,"7,333","6,265"
Bremer,Iowa,"6,870","5,704"
Buchanan,Iowa,"6,037","4,131"
BuenaVista,Iowa,"4,065","4,217"
Butler,Iowa,"3,348","3,686"
Calhoun,Iowa,"2,335","2,747"
Carroll,Iowa,"5,284","4,905"
Cass,Iowa,"3,201","3,990"
Cedar,Iowa,"5,201","4,278"
CerroGordo,Iowa,"14,305","9,344"
Cherokee,Iowa,"2,883","3,365"
Chickasaw,Iowa,"3,897","2,536"
Clarke,Iowa,"2,214","2,112"
Clay,Iowa,"3,908","4,345"
Clayton,Iowa,"5,174","3,640"
Clinton,Iowa,"14,733","9,068"
Crawford,Iowa,"3,697","3,338"
Dallas,Iowa,"15,101","16,904"
Davis,Iowa,"2,262","2,553"
Decatur,Iowa,"1,983","2,019"
Delaware,Iowa,"4,630","4,108"
DesMoines,Iowa,"12,396","7,687"
Dickinson,Iowa,"4,609","5,150"
Dubuque,Iowa,"23,791","16,694"
Emmet,Iowa,"2,565","2,366"
Fayette,Iowa,"5,889","4,199"
Floyd,Iowa,"4,797","3,044"
Franklin,Iowa,"2,566","2,495"
Fremont,Iowa,"2,490","2,708"
Greene,Iowa,"2,359","2,340"
Grundy,Iowa,"2,774","3,936"
Guthrie,Iowa,"2,603","3,025"
Hamilton,Iowa,"3,999","3,909"
Hancock,Iowa,"2,790","3,008"
Hardin,Iowa,"4,368","4,301"
Harrison,Iowa,"3,549","3,906"
Henry,Iowa,"5,306","5,582"
Howard,Iowa,"2,933","1,721"
Humboldt,Iowa,"2,151","2,881"
Ida,Iowa,"1,455","2,025"
Iowa,Iowa,"4,173","4,173"
Jackson,Iowa,"6,069","3,662"
Jasper,Iowa,"10,195","8,750"
Jefferson,Iowa,"5,028","3,321"
Johnson,Iowa,"50,708","20,639"
Jones,Iowa,"5,431","4,398"
Keokuk,Iowa,"2,508","2,703"
Kossuth,Iowa,"4,609","4,310"
Lee,Iowa,"9,470","6,724"
Linn,Iowa,"67,476","43,384"
Louisa,Iowa,"2,520","2,310"
Lucas,Iowa,"2,024","2,329"
Lyon,Iowa,"1,673","4,461"
Madison,Iowa,"3,702","4,525"
Mahaska,Iowa,"4,450","6,249"
Marion,Iowa,"7,408","9,232"
Marshall,Iowa,"9,918","8,229"
Mills,Iowa,"2,970","4,177"
Mitchell,Iowa,"3,175","2,465"
Monona,Iowa,"2,284","2,407"
Monroe,Iowa,"1,793","1,997"
Montgomery,Iowa,"2,318","2,878"
Muscatine,Iowa,"10,850","7,907"
O'Brien,Iowa,"2,333","4,883"
Osceola,Iowa,"1,037","2,027"
Page,Iowa,"2,892","4,344"
PaloAlto,Iowa,"2,420","2,290"
Plymouth,Iowa,"4,564","7,744"
Pocahontas,Iowa,"1,794","2,131"
Polk,Iowa,"119,569","88,983"
Pottawattamie,Iowa,"20,226","21,161"
Poweshiek,Iowa,"5,441","4,331"
Ringgold,Iowa,"1,236","1,401"
Sac,Iowa,"2,237","2,699"
Scott,Iowa,"48,675","36,239"
Shelby,Iowa,"2,847","3,472"
Sioux,Iowa,"3,010","13,440"
Story,Iowa,"26,268","18,812"
Tama,Iowa,"4,859","3,813"
Taylor,Iowa,"1,344","1,602"
Union,Iowa,"2,990","2,774"
VanBuren,Iowa,"1,540","1,980"
Wapello,Iowa,"8,481","6,466"
Warren,Iowa,"12,261","12,112"
Washington,Iowa,"5,140","5,228"
Wayne,Iowa,"1,356","1,563"
Webster,Iowa,"9,847","8,299"
Winnebago,Iowa,"3,236","2,726"
Winneshiek,Iowa,"6,808","4,260"
Woodbury,Iowa,"20,290","20,798"
Worth,Iowa,"2,560","1,612"
Wright,Iowa,"3,087","3,187"
Allen,Kansas,"2,130","3,481"
Anderson,Kansas,"1,161","2,329"
Atchison,Kansas,"3,157","3,717"
Barber,Kansas,585,"1,794"
Barton,Kansas,"2,967","7,636"
Bourbon,Kansas,"2,343","4,159"
Brown,Kansas,"1,284","2,926"
Butler,Kansas,"8,942","17,756"
Chase,Kansas,371,934
Chautauqua,Kansas,385,"1,396"
Cherokee,Kansas,"3,366","5,750"
Cheyenne,Kansas,432,"1,247"
Clark,Kansas,241,870
Clay,Kansas,982,"2,919"
Cloud,Kansas,"1,213","3,070"
Coffey,Kansas,"1,105","3,008"
Comanche,Kansas,194,756
Cowley,Kansas,"4,859","8,263"
Crawford,Kansas,"7,646","7,453"
Decatur,Kansas,340,"1,189"
Dickinson,Kansas,"2,353","5,961"
Doniphan,Kansas,"1,077","2,336"
Douglas,Kansas,"33,141","17,475"
Edwards,Kansas,326,979
Elk,Kansas,359,"1,035"
Ellis,Kansas,"3,917","8,037"
Ellsworth,Kansas,838,"1,996"
Finney,Kansas,"3,188","6,776"
Ford,Kansas,"2,848","5,587"
Franklin,Kansas,"4,366","6,969"
Geary,Kansas,"3,368","4,376"
Gove,Kansas,257,"1,120"
Graham,Kansas,323,"1,043"
Grant,Kansas,616,"1,941"
Gray,Kansas,416,"1,585"
Greeley,Kansas,150,587
Greenwood,Kansas,916,"2,087"
Hamilton,Kansas,233,836
Harper,Kansas,740,"1,960"
Harvey,Kansas,"6,185","8,865"
Haskell,Kansas,265,"1,216"
Hodgeman,Kansas,202,836
Jackson,Kansas,"2,266","3,770"
Jefferson,Kansas,"3,450","5,058"
Jewell,Kansas,312,"1,229"
Johnson,Kansas,"124,142","149,816"
Kearny,Kansas,302,"1,138"
Kingman,Kansas,918,"2,468"
Kiowa,Kansas,197,903
Labette,Kansas,"3,782","4,955"
Lane,Kansas,187,786
Leavenworth,Kansas,"12,749","16,387"
Lincoln,Kansas,334,"1,175"
Linn,Kansas,"1,401","3,029"
Logan,Kansas,222,"1,171"
Lyon,Kansas,"5,661","6,468"
Marion,Kansas,"1,607","3,695"
Marshall,Kansas,"1,779","3,150"
McPherson,Kansas,"4,113","8,732"
Meade,Kansas,369,"1,527"
Miami,Kansas,"5,644","9,229"
Mitchell,Kansas,692,"2,405"
Montgomery,Kansas,"4,203","9,142"
Morris,Kansas,897,"1,858"
Morton,Kansas,225,"1,129"
Nemaha,Kansas,"1,405","3,761"
Neosho,Kansas,"2,496","4,372"
Ness,Kansas,283,"1,197"
Norton,Kansas,488,"1,836"
Osage,Kansas,"2,508","4,768"
Osborne,Kansas,391,"1,441"
Ottawa,Kansas,703,"2,304"
Pawnee,Kansas,869,"1,923"
Phillips,Kansas,516,"2,066"
Pottawatomie,Kansas,"2,552","6,816"
Pratt,Kansas,"1,265","2,765"
Rawlins,Kansas,270,"1,243"
Reno,Kansas,"9,711","15,858"
Republic,Kansas,627,"1,949"
Rice,Kansas,"1,137","2,746"
Riley,Kansas,"10,033","11,729"
Rooks,Kansas,467,"2,054"
Rush,Kansas,498,"1,217"
Russell,Kansas,719,"2,470"
Saline,Kansas,"7,897","13,754"
Scott,Kansas,311,"1,788"
Sedgwick,Kansas,"79,175","104,119"
Seward,Kansas,"1,376","3,620"
Shawnee,Kansas,"40,072","40,806"
Sheridan,Kansas,252,"1,068"
Sherman,Kansas,677,"1,932"
Smith,Kansas,437,"1,695"
Stafford,Kansas,535,"1,483"
Stanton,Kansas,187,625
Stevens,Kansas,277,"1,770"
Sumner,Kansas,"3,304","6,637"
Thomas,Kansas,761,"2,762"
Trego,Kansas,415,"1,215"
Wabaunsee,Kansas,"1,020","2,375"
Wallace,Kansas,96,690
Washington,Kansas,640,"2,193"
Wichita,Kansas,163,835
Wilson,Kansas,"1,218","2,927"
Woodson,Kansas,507,"1,045"
Wyandotte,Kansas,"38,482","16,211"
Adair,Kentucky,"1,888","5,512"
Allen,Kentucky,"2,023","5,258"
Anderson,Kentucky,"3,461","6,884"
Ballard,Kentucky,"1,427","2,537"
Barren,Kentucky,"5,434","11,133"
Bath,Kentucky,"2,210","2,234"
Bell,Kentucky,"2,718","9,519"
Boone,Kentucky,"16,292","33,812"
Bourbon,Kentucky,"3,385","4,820"
Boyd,Kentucky,"8,886","11,429"
Boyle,Kentucky,"4,764","7,697"
Bracken,Kentucky,"1,241","2,066"
Breathitt,Kentucky,"2,205","2,671"
Breckinridge,Kentucky,"3,110","5,281"
Bullitt,Kentucky,"10,056","19,857"
Butler,Kentucky,"1,555","3,696"
Caldwell,Kentucky,"2,212","3,866"
Calloway,Kentucky,"6,165","8,991"
Campbell,Kentucky,"15,619","24,045"
Carlisle,Kentucky,879,"1,699"
Carroll,Kentucky,"1,716","2,032"
Carter,Kentucky,"4,314","5,252"
Casey,Kentucky,"1,219","4,679"
Christian,Kentucky,"8,822","13,515"
Clark,Kentucky,"5,749","9,664"
Clay,Kentucky,"1,552","5,710"
Clinton,Kentucky,761,"3,366"
Crittenden,Kentucky,"1,254","2,604"
Cumberland,Kentucky,697,"2,056"
Daviess,Kentucky,"19,282","23,692"
Edmonson,Kentucky,"1,652","3,562"
Elliott,Kentucky,"1,535",902
Estill,Kentucky,"1,555","3,685"
Fayette,Kentucky,"66,040","59,884"
Fleming,Kentucky,"2,279","3,432"
Floyd,Kentucky,"7,530","7,741"
Franklin,Kentucky,"11,767","11,911"
Fulton,Kentucky,"1,226","1,530"
Gallatin,Kentucky,"1,278","1,840"
Garrard,Kentucky,"2,012","5,117"
Grant,Kentucky,"3,109","5,605"
Graves,Kentucky,"5,843","10,056"
Grayson,Kentucky,"3,154","6,605"
Green,Kentucky,"1,204","3,785"
Greenup,Kentucky,"6,621","8,849"
Hancock,Kentucky,"2,128","1,924"
Hardin,Kentucky,"15,650","23,896"
Harlan,Kentucky,"2,586","7,165"
Harrison,Kentucky,"2,916","4,520"
Hart,Kentucky,"2,290","4,397"
Henderson,Kentucky,"10,049","9,523"
Henry,Kentucky,"2,724","4,081"
Hickman,Kentucky,812,"1,406"
Hopkins,Kentucky,"7,104","11,916"
Jackson,Kentucky,743,"4,407"
Jefferson,Kentucky,"196,272","153,865"
Jessamine,Kentucky,"6,236","13,710"
Johnson,Kentucky,"2,413","5,964"
Kenton,Kentucky,"21,460","33,371"
Knott,Kentucky,"2,523","2,950"
Knox,Kentucky,"3,074","8,150"
LaRue,Kentucky,"1,913","4,153"
Laurel,Kentucky,"4,593","17,563"
Lawrence,Kentucky,"2,036","3,503"
Lee,Kentucky,752,"1,978"
Leslie,Kentucky,766,"3,574"
Letcher,Kentucky,"2,623","5,367"
Lewis,Kentucky,"1,510","3,213"
Lincoln,Kentucky,"2,752","6,273"
Livingston,Kentucky,"1,622","2,890"
Logan,Kentucky,"3,811","6,925"
Lyon,Kentucky,"1,577","2,220"
Madison,Kentucky,"12,392","19,694"
Magoffin,Kentucky,"2,105","2,434"
Marion,Kentucky,"3,596","3,842"
Marshall,Kentucky,"5,593","9,463"
Martin,Kentucky,808,"2,824"
Mason,Kentucky,"2,891","4,102"
McCracken,Kentucky,"11,285","19,043"
McCreary,Kentucky,"1,258","4,078"
McLean,Kentucky,"1,963","2,386"
Meade,Kentucky,"4,343","6,691"
Menifee,Kentucky,"1,276","1,155"
Mercer,Kentucky,"3,159","6,781"
Metcalfe,Kentucky,"1,350","2,734"
Monroe,Kentucky,"1,067","3,537"
Montgomery,Kentucky,"4,234","5,947"
Morgan,Kentucky,"1,858","2,377"
Muhlenberg,Kentucky,"6,221","6,447"
Nelson,Kentucky,"7,654","10,139"
Nicholas,Kentucky,"1,272","1,634"
Ohio,Kentucky,"4,059","5,781"
Oldham,Kentucky,"9,996","18,992"
Owen,Kentucky,"1,694","2,969"
Owsley,Kentucky,381,"1,279"
Pendleton,Kentucky,"2,027","3,676"
Perry,Kentucky,"3,444","6,762"
Pike,Kentucky,"9,525","12,665"
Powell,Kentucky,"2,065","2,867"
Pulaski,Kentucky,"5,590","19,862"
Robertson,Kentucky,451,533
Rockcastle,Kentucky,"1,410","4,757"
Rowan,Kentucky,"4,074","3,907"
Russell,Kentucky,"1,579","5,702"
Scott,Kentucky,"7,712","11,782"
Shelby,Kentucky,"6,871","11,451"
Simpson,Kentucky,"2,775","4,437"
Spencer,Kentucky,"2,519","5,378"
Taylor,Kentucky,"3,165","7,568"
Todd,Kentucky,"1,543","3,336"
Trigg,Kentucky,"2,246","4,189"
Trimble,Kentucky,"1,484","2,239"
Union,Kentucky,"2,804","3,120"
Warren,Kentucky,"17,650","25,957"
Washington,Kentucky,"1,890","3,305"
Wayne,Kentucky,"2,201","4,868"
Webster,Kentucky,"2,390","3,037"
Whitley,Kentucky,"3,484","10,014"
Wolfe,Kentucky,"1,493","1,408"
Woodford,Kentucky,"5,027","7,130"
Acadia,Louisiana,"7,028","19,228"
Allen,Louisiana,"2,891","6,333"
Ascension,Louisiana,"14,620","31,225"
Assumption,Louisiana,"4,756","5,981"
Avoyelles,Louisiana,"6,327","10,234"
Beauregard,Louisiana,"3,071","10,718"
Bienville,Louisiana,"3,589","3,776"
Bossier,Louisiana,"12,701","32,706"
Caddo,Louisiana,"55,220","52,105"
Calcasieu,Louisiana,"30,227","50,431"
Caldwell,Louisiana,"1,118","3,696"
Cameron,Louisiana,613,"3,089"
Catahoula,Louisiana,"1,659","3,486"
Claiborne,Louisiana,"3,025","3,750"
Concordia,Louisiana,"3,766","5,668"
DeSoto,Louisiana,"5,241","6,882"
EastBatonRouge,Louisiana,"99,431","95,297"
EastCarroll,Louisiana,"2,267","1,254"
EastFeliciana,Louisiana,"4,383","5,431"
Evangeline,Louisiana,"5,852","9,792"
Franklin,Louisiana,"2,959","6,278"
Grant,Louisiana,"1,474","6,906"
Iberia,Louisiana,"12,492","20,123"
Iberville,Louisiana,"9,023","7,185"
Jackson,Louisiana,"2,456","5,190"
JeffDavis,Louisiana,"3,923","9,277"
Jefferson,Louisiana,"64,853","113,008"
Lafayette,Louisiana,"32,145","62,055"
Lafourche,Louisiana,"9,662","27,089"
LaSalle,Louisiana,860,"5,601"
Lincoln,Louisiana,"8,267","10,676"
Livingston,Louisiana,"6,674","43,247"
Madison,Louisiana,"3,100","2,152"
Morehouse,Louisiana,"5,789","7,258"
Natchitoches,Louisiana,"7,801","9,054"
Orleans,Louisiana,"116,042","28,041"
Ouachita,Louisiana,"24,769","41,708"
Plaquemines,Louisiana,"3,378","6,889"
PointeCoupee,Louisiana,"5,516","6,702"
Rapides,Louisiana,"20,109","36,605"
RedRiver,Louisiana,"2,080","2,484"
Richland,Louisiana,"3,311","5,751"
Sabine,Louisiana,"2,245","7,226"
St.Bernard,Louisiana,"3,491","9,642"
St.Charles,Louisiana,"8,519","16,456"
St.Helena,Louisiana,"3,567","2,522"
St.James,Louisiana,"6,993","5,432"
St.JohntheBaptist,Louisiana,"12,420","8,908"
St.Landry,Louisiana,"20,267","21,647"
St.Martin,Louisiana,"9,419","14,443"
St.Mary,Louisiana,"9,342","13,181"
St.Tammany,Louisiana,"24,589","83,047"
Tangipahoa,Louisiana,"16,427","31,421"
Tensas,Louisiana,"1,646","1,367"
Terrebonne,Louisiana,"11,579","28,208"
Union,Louisiana,"3,103","7,619"
Vermilion,Louisiana,"6,261","18,069"
Vernon,Louisiana,"3,534","11,946"
Washington,Louisiana,"6,122","12,215"
Webster,Louisiana,"6,610","11,417"
WestBatonRouge,Louisiana,"5,043","6,654"
WestCarroll,Louisiana,878,"4,045"
WestFeliciana,Louisiana,"2,414","3,149"
Winn,Louisiana,"2,044","4,628"
Androscoggin,Maine,"30,635","22,597"
Aroostook,Maine,"19,303","15,862"
Cumberland,Maine,"103,637","55,818"
Franklin,Maine,"10,582","6,986"
Hancock,Maine,"18,863","12,667"
Kennebec,Maine,"37,099","27,456"
Knox,Maine,"13,728","8,816"
Lincoln,Maine,"11,884","9,287"
Oxford,Maine,"17,936","12,856"
Penobscot,Maine,"42,975","37,523"
Piscataquis,Maine,"4,430","4,785"
Sagadahoc,Maine,"12,207","8,771"
Somerset,Maine,"13,343","11,864"
Waldo,Maine,"11,820","10,375"
Washington,Maine,"8,241","8,070"
York,Maine,"64,798","42,459"
Allegany,Maryland,"10,564","18,197"
AnneArundel,Maryland,"122,064","127,336"
Baltimore,Maryland,"207,382","155,497"
BaltimoreCity,Maryland,"206,548","27,850"
Calvert,Maryland,"19,953","22,808"
Caroline,Maryland,"4,856","7,882"
Carroll,Maryland,"27,655","53,859"
Cecil,Maryland,"17,391","23,534"
Charles,Maryland,"42,352","24,957"
Dorchester,Maryland,"6,718","7,990"
Frederick,Maryland,"52,078","53,712"
Garrett,Maryland,"3,628","8,749"
Harford,Maryland,"47,301","70,226"
Howard,Maryland,"84,215","53,932"
Kent,Maryland,"4,861","4,861"
Montgomery,Maryland,"303,945","114,998"
PrinceGeorge's,Maryland,"323,105","37,969"
QueenAnne's,Maryland,"8,349","14,766"
Somerset,Maryland,"4,650","4,897"
St.Mary's,Maryland,"18,402","24,078"
Talbot,Maryland,"8,582","10,636"
Washington,Maryland,"25,462","33,381"
Wicomico,Maryland,"18,697","21,234"
Worcester,Massachusetts,"11,132","15,322"
Barnstable,Massachusetts,"73,503","55,570"
Berkshire,Massachusetts,"49,415","14,851"
Bristol,Massachusetts,"146,311","90,284"
Dukes,Massachusetts,"7,892","2,438"
Essex,Massachusetts,"208,323","136,905"
Franklin,Massachusetts,"27,818","9,528"
Hampden,Massachusetts,"120,021","70,923"
Hampshire,Massachusetts,"56,847","20,569"
Middlesex,Massachusetts,"462,226","245,215"
Nantucket,Massachusetts,"4,059","1,863"
Norfolk,Massachusetts,"199,833","136,573"
Plymouth,Massachusetts,"131,457","112,681"
Suffolk,Massachusetts,"202,148","55,142"
Worcester,Massachusetts,"201,230","151,742"
Alcona,Michigan,"2,896","3,404"
Alger,Michigan,"2,472","2,188"
Allegan,Michigan,"23,526","29,526"
Alpena,Michigan,"7,705","7,125"
Antrim,Michigan,"6,079","7,506"
Arenac,Michigan,"4,155","3,807"
Baraga,Michigan,"1,725","1,846"
Barry,Michigan,"13,449","16,431"
Bay,Michigan,"32,589","23,794"
Benzie,Michigan,"5,461","4,687"
Berrien,Michigan,"40,376","36,128"
Branch,Michigan,"8,412","9,534"
Calhoun,Michigan,"34,550","28,538"
Cass,Michigan,"12,080","11,112"
Charlevoix,Michigan,"6,817","7,306"
Cheboygan,Michigan,"6,721","6,919"
Chippewa,Michigan,"8,169","8,249"
Clare,Michigan,"7,496","6,793"
Clinton,Michigan,"20,001","19,724"
Crawford,Michigan,"3,440","3,558"
Delta,Michigan,"9,976","8,763"
Dickinson,Michigan,"5,995","7,049"
Eaton,Michigan,"30,736","25,898"
Emmet,Michigan,"8,515","9,315"
Genesee,Michigan,"143,919","72,445"
Gladwin,Michigan,"6,590","6,391"
Gogebic,Michigan,"4,757","3,330"
GrandTraverse,Michigan,"23,255","24,713"
Gratiot,Michigan,"9,102","8,324"
Hillsdale,Michigan,"8,765","11,221"
Houghton,Michigan,"7,473","8,100"
Huron,Michigan,"8,367","8,434"
Ingham,Michigan,"95,698","47,143"
Ionia,Michigan,"14,808","15,850"
Iosco,Michigan,"7,307","6,583"
Iron,Michigan,"3,080","2,947"
Isabella,Michigan,"16,679","11,220"
Jackson,Michigan,"37,480","35,692"
Kalamazoo,Michigan,"73,407","48,411"
Kalkaska,Michigan,"3,780","4,527"
Kent,Michigan,"149,855","148,305"
Keweenaw,Michigan,610,756
Lake,Michigan,"2,919","2,269"
Lapeer,Michigan,"21,457","22,831"
Leelanau,Michigan,"7,354","6,937"
Lenawee,Michigan,"24,638","22,223"
Livingston,Michigan,"42,346","55,581"
Luce,Michigan,"1,191","1,490"
Mackinac,Michigan,"3,027","3,268"
Macomb,Michigan,"223,754","187,645"
Manistee,Michigan,"7,234","5,506"
Marquette,Michigan,"19,630","12,902"
Mason,Michigan,"7,816","7,146"
Mecosta,Michigan,"9,099","9,235"
Menominee,Michigan,"5,980","4,855"
Midland,Michigan,"20,742","22,285"
Missaukee,Michigan,"2,898","4,469"
Monroe,Michigan,"39,180","35,852"
Montcalm,Michigan,"13,208","13,291"
Montmorency,Michigan,"2,403","2,841"
Muskegon,Michigan,"53,400","28,855"
Newaygo,Michigan,"10,788","11,862"
Oakland,Michigan,"372,694","276,881"
Oceana,Michigan,"6,405","5,860"
Ogemaw,Michigan,"5,391","5,133"
Ontonagon,Michigan,"1,966","1,823"
Osceola,Michigan,"4,848","5,966"
Oscoda,Michigan,"1,887","2,320"
Otsego,Michigan,"5,634","6,752"
Ottawa,Michigan,"51,925","84,823"
PresqueIsle,Michigan,"3,719","3,605"
Roscommon,Michigan,"7,082","6,727"
Saginaw,Michigan,"60,260","42,218"
Sanilac,Michigan,"9,047","10,678"
Schoolcraft,Michigan,"2,184","2,058"
Shiawassee,Michigan,"18,015","15,054"
St.Clair,Michigan,"40,676","38,555"
St.Joseph,Michigan,"12,311","12,876"
Tuscola,Michigan,"13,503","13,739"
VanBuren,Michigan,"18,589","15,535"
Washtenaw,Michigan,"130,547","53,943"
Wayne,Michigan,"656,303","216,880"
Wexford,Michigan,"7,357","8,044"
Aitkin,Minnesota,"4,595","4,589"
Anoka,Minnesota,"86,977","91,357"
Becker,Minnesota,"7,687","8,851"
Beltrami,Minnesota,"12,019","9,762"
Benton,Minnesota,"8,452","10,338"
BigStone,Minnesota,"1,552","1,362"
BlueEarth,Minnesota,"19,325","14,782"
Brown,Minnesota,"5,808","7,454"
Carlton,Minnesota,"11,501","6,549"
Carver,Minnesota,"20,654","28,157"
Cass,Minnesota,"7,276","8,660"
Chippewa,Minnesota,"3,277","2,906"
Chisago,Minnesota,"12,782","15,788"
Clay,Minnesota,"16,666","11,978"
Clearwater,Minnesota,"1,877","2,291"
Cook,Minnesota,"2,019","1,240"
Cottonwood,Minnesota,"2,759","3,157"
CrowWing,Minnesota,"15,859","18,566"
Dakota,Minnesota,"116,778","104,365"
Dodge,Minnesota,"4,463","5,468"
Douglas,Minnesota,"9,255","11,241"
Faribault,Minnesota,"3,736","4,197"
Fillmore,Minnesota,"5,921","4,993"
Freeborn,Minnesota,"9,915","6,955"
Goodhue,Minnesota,"12,420","12,775"
Grant,Minnesota,"1,850","1,646"
Hennepin,Minnesota,"420,958","231,057"
Houston,Minnesota,"5,906","4,743"
Hubbard,Minnesota,"4,872","6,559"
Isanti,Minnesota,"8,248","11,325"
Itasca,Minnesota,"13,461","10,309"
Jackson,Minnesota,"2,618","2,858"
Kanabec,Minnesota,"3,742","4,479"
Kandiyohi,Minnesota,"10,123","11,318"
Kittson,Minnesota,"1,492","1,016"
Koochiching,Minnesota,"3,649","2,962"
LacQuiParle,Minnesota,"2,160","1,913"
Lake,Minnesota,"4,174","2,636"
LakeoftheWoods,Minnesota,971,"1,278"
LeSueur,Minnesota,"6,994","7,636"
Lincoln,Minnesota,"1,517","1,491"
Lyon,Minnesota,"6,110","6,315"
Mahnomen,Minnesota,"1,436",843
Marshall,Minnesota,"2,311","2,285"
Martin,Minnesota,"4,413","6,053"
McLeod,Minnesota,"7,505","10,993"
Meeker,Minnesota,"5,379","6,737"
MilleLacs,Minnesota,"6,073","7,049"
Morrison,Minnesota,"6,547","9,734"
Mower,Minnesota,"11,605","7,075"
Murray,Minnesota,"2,345","2,320"
Nicollet,Minnesota,"9,887","7,968"
Nobles,Minnesota,"4,244","4,368"
Norman,Minnesota,"2,129","1,204"
Olmsted,Minnesota,"38,711","36,202"
OtterTail,Minnesota,"13,856","18,077"
Pennington,Minnesota,"3,394","3,248"
Pine,Minnesota,"7,084","6,862"
Pipestone,Minnesota,"2,021","2,652"
Polk,Minnesota,"7,849","7,148"
Pope,Minnesota,"3,317","3,068"
Ramsey,Minnesota,"182,972","88,942"
RedLake,Minnesota,"1,119",983
Redwood,Minnesota,"3,250","4,308"
Renville,Minnesota,"3,904","3,956"
Rice,Minnesota,"17,381","13,723"
Rock,Minnesota,"2,078","2,773"
Roseau,Minnesota,"3,096","4,437"
Scott,Minnesota,"29,209","36,726"
Sherburne,Minnesota,"17,960","26,143"
Sibley,Minnesota,"2,998","4,492"
St.Louis,Minnesota,"77,332","38,730"
Stearns,Minnesota,"35,690","41,194"
Steele,Minnesota,"9,016","10,068"
Stevens,Minnesota,"2,780","2,710"
Swift,Minnesota,"2,907","2,184"
Todd,Minnesota,"5,277","6,637"
Traverse,Minnesota,"1,041",933
Wabasha,Minnesota,"5,646","5,935"
Wadena,Minnesota,"2,882","4,127"
Waseca,Minnesota,"4,401","5,212"
Washington,Minnesota,"70,281","64,335"
Watonwan,Minnesota,"2,562","2,526"
Wilkin,Minnesota,"1,550","1,786"
Winona,Minnesota,"16,308","10,974"
Wright,Minnesota,"26,343","37,779"
YellowMedicine,Minnesota,"2,816","2,579"
Adams,Mississippi,"7,630","5,300"
Alcorn,Mississippi,"3,701","9,752"
Amite,Mississippi,"3,320","4,214"
Attala,Mississippi,"3,739","5,209"
Benton,Mississippi,"2,224","2,329"
Bolivar,Mississippi,"9,471","4,487"
Calhoun,Mississippi,"2,242","4,068"
Carroll,Mississippi,"2,027","3,886"
Chickasaw,Mississippi,"4,053","3,934"
Choctaw,Mississippi,"1,459","2,624"
Claiborne,Mississippi,"3,561",632
Clarke,Mississippi,"2,727","4,679"
Clay,Mississippi,"6,424","4,412"
Coahoma,Mississippi,"6,947","2,502"
Copiah,Mississippi,"7,640","6,683"
Covington,Mississippi,"3,826","5,503"
DeSoto,Mississippi,"19,265","43,510"
Forrest,Mississippi,"11,622","15,296"
Franklin,Mississippi,"1,722","2,896"
George,Mississippi,"1,398","7,050"
Greene,Mississippi,"1,362","4,358"
Grenada,Mississippi,"4,995","6,215"
Hancock,Mississippi,"3,195","11,614"
Harrison,Mississippi,"22,175","37,927"
Hinds,Mississippi,"68,794","29,187"
Holmes,Mississippi,"6,945","1,504"
Humphreys,Mississippi,"3,180","1,243"
Issaquena,Mississippi,523,322
