county,state,Household_income_change_p25,Household_income_change_p75
Butler,NE,1.23,0.49
Colfax,NE,1.56,0.45
Nance,NE,1.2,0.26
Platte,NE,1.22,0.44
Adams,NE,0.56,0.13
Clay,NE,1.63,0.33
Fillmore,NE,1.3,0.59
Polk,NE,1.44,0.34
York,NE,1.24,0.36
Hall,NE,0.61,0.19
Hamilton,NE,1.04,0.47
Howard,NE,1.37,0.37
Merrick,NE,1.25,0.49
Dakota,NE,0.83,0.25
Dixon,NE,1.3,0.4
Wayne,NE,1.18,0.41
Burt,NE,0.91,0.41
Cuming,NE,1.57,0.57
Thurston,NE,-0.68,0.26
Gage,NE,0.87,0.44
Jefferson,NE,1.22,0.45
Lancaster,NE,0.08,-0.09
Saline,NE,1.29,0.53
Seward,NE,1.11,0.42
Johnson,NE,1.39,0.46
Nemaha,NE,1,0.4
Otoe,NE,0.78,0.39
Richardson,NE,0.83,0.38
Cass,NE,0.65,0.33
Dodge,NE,0.77,0.28
Douglas,NE,-0.14,-0.02
Sarpy,NE,0.58,0.05
Saunders,NE,1.18,0.27
Washington,NE,0.88,0.24
Keith,NE,0.72,0.25
Cherry,NE,0.68,0.29
Custer,NE,1.15,0.29
Lincoln,NE,0.65,0.06
Chase,NE,1.32,0.59
Red Willow,NE,1.06,0.33
Buffalo,NE,0.91,0.15
Kearney,NE,1.1,0.33
Dawson,NE,0.81,0.39
Furnas,NE,1.19,0.4
Phelps,NE,1.09,0.33
Nuckolls,NE,1.23,0.48
Thayer,NE,1.43,0.65
Douglas,NV,0.3,-0.03
Elko,NV,0.58,0.27
Lander,NV,0.78,0.32
White Pine,NV,0.51,0.55
Humboldt,NV,0.74,0.34
Churchill,NV,0.31,-0.05
Lyon,NV,0.34,0.02
Washoe,NV,0.4,-0.4
Carson City,NV,0.26,-0.06
Clark,NV,0.19,-0.1
Lincoln,NV,1.25,0.33
Nye,NV,0.31,0.1
Coos,NH,0.44,0.11
Grafton,NH,0.15,0.02
Sullivan,NH,0.15,-0.04
Belknap,NH,-0.03,0.08
Carroll,NH,0.13,-0.11
Hillsborough,NH,0.04,0.13
Merrimack,NH,0.18,0.02
Rockingham,NH,0.43,0.15
Strafford,NH,0.33,0.13
Cheshire,NH,0.15,-0.05
Monmouth,NJ,0.23,0.15
Ocean,NJ,0.08,-0.03
Bergen,NJ,0.69,0.31
Essex,NJ,-0.46,0.15
Hudson,NJ,0.21,0.33
Hunterdon,NJ,0.64,0.03
Mercer,NJ,-0.05,0.06
Middlesex,NJ,0.46,0.03
Morris,NJ,0.16,-0.09
Passaic,NJ,-0.37,-0.1
Somerset,NJ,0.38,0.17
Sussex,NJ,0.46,-0.02
Union,NJ,-0.03,-0.12
Warren,NJ,0.4,0
Atlantic,NJ,-0.78,-0.12
Burlington,NJ,0.11,-0.13
Camden,NJ,-0.34,-0.27
Cape May,NJ,-0.07,-0.09
Cumberland,NJ,-0.43,0
Gloucester,NJ,-0.03,-0.09
Salem,NJ,0,0.22
Dona Ana,NM,-0.28,-0.33
Lincoln,NM,0.08,-0.08
Otero,NM,-0.15,-0.13
Sierra,NM,0.11,-0.35
Grant,NM,-0.15,-0.14
Hidalgo,NM,0.43,-0.05
Luna,NM,-0.11,-0.1
Chaves,NM,0.03,0.03
Eddy,NM,0.38,0.14
Guadalupe,NM,-0.07,0.05
Lea,NM,0.7,0.26
Curry,NM,0.08,0.09
Roosevelt,NM,0.09,-0.01
Colfax,NM,0,-0.04
Mora,NM,0.12,-0.28
San Miguel,NM,-0.14,-0.12
Los Alamos,NM,0.6,-0.2
Rio Arriba,NM,-0.01,-0.26
Santa Fe,NM,-0.06,-0.31
Taos,NM,-0.17,-0.27
Quay,NM,0.03,-0.14
Bernalillo,NM,-0.2,-0.26
Cibola,NM,-0.32,-0.19
Sandoval,NM,-0.45,-0.33
Torrance,NM,0.36,-0.11
Valencia,NM,-0.09,-0.16
Socorro,NM,-0.23,-0.11
San Juan,NM,0.03,-0.06
McKinley,NM,-0.95,-0.44
Chautauqua,NY,0.03,0.1
Cayuga,NY,0.05,0.01
Cortland,NY,0.07,0.03
Herkimer,NY,0.24,0.05
Madison,NY,0.29,0.01
Oneida,NY,0.13,0.05
Onondaga,NY,-0.14,0
Oswego,NY,0.21,0.21
Chenango,NY,0.23,0.07
Delaware,NY,0.25,0.1
Otsego,NY,0.43,0.04
Broome,NY,-0.32,0.02
Tioga,NY,0.07,0.07
Erie,NY,0.03,0.2
Genesee,NY,0.13,-0.05
Livingston,NY,0.31,-0.07
Monroe,NY,-0.34,-0.15
Niagara,NY,-0.19,0.1
Ontario,NY,0.04,0.03
Orleans,NY,-0.01,0.11
Seneca,NY,0.14,0.02
Wayne,NY,0.11,0.1
Wyoming,NY,0.73,0.12
Yates,NY,0.16,0
Chemung,NY,-0.23,0.07
Schuyler,NY,0.17,-0.1
Steuben,NY,0.17,0.05
Tompkins,NY,0.14,-0.15
Allegany,NY,0.43,0.14
Cattaraugus,NY,0.08,0.17
Jefferson,NY,0.29,0.11
Lewis,NY,0.79,0.23
St Lawrence,NY,0.05,0.01
Clinton,NY,0.24,0
Essex,NY,0.26,0
Franklin,NY,0,0.08
Fulton,NY,0.07,-0.04
Hamilton,NY,0.36,0.12
Montgomery,NY,0.29,0.02
Albany,NY,-0.03,-0.06
Columbia,NY,-0.13,-0.05
Greene,NY,0.09,-0.02
Rensselaer,NY,0.15,-0.1
Saratoga,NY,0.32,-0.03
Schenectady,NY,-0.21,-0.01
Schoharie,NY,0.1,-0.01
Warren,NY,0.05,0
Washington,NY,0.09,0.08
Dutchess,NY,-0.02,0.12
Orange,NY,-0.36,-0.04
Sullivan,NY,0.06,0.08
Ulster,NY,-0.17,-0.05
Bronx,NY,-0.54,-0.42
Kings,NY,-0.22,0.01
Nassau,NY,-0.04,0.07
New York,NY,-0.54,-0.57
Putnam,NY,0.67,0.23
Queens,NY,-0.03,-0.02
Richmond,NY,-0.35,0
Suffolk,NY,-0.01,-0.08
Westchester,NY,0.01,0.34
Rockland,NY,-0.09,0.05
Davie,NC,0.12,0.07
Forsyth,NC,-1.1,-0.4
Stokes,NC,0.11,0.06
Surry,NC,0.05,0.19
Yadkin,NC,0.13,0.21
Alamance,NC,-0.46,-0.11
Caswell,NC,-0.42,0.11
Davidson,NC,-0.46,-0.02
Guilford,NC,-0.78,-0.21
Randolph,NC,-0.04,0.19
Rockingham,NC,-0.59,-0.1
Ashe,NC,-0.24,0.05
Wilkes,NC,-0.14,0.09
Alleghany,NC,0.13,0.14
Polk,NC,-0.11,-0.12
Cleveland,NC,-0.54,0.06
Gaston,NC,-0.67,-0.05
Lincoln,NC,-0.28,0.02
Rutherford,NC,-0.38,-0.05
Anson,NC,-0.76,0.08
Cabarrus,NC,-0.31,-0.07
Mecklenburg,NC,-0.72,-0.19
Rowan,NC,-0.61,-0.05
Stanly,NC,0.11,0.13
Union,NC,-0.37,0
Avery,NC,0.03,-0.07
Watauga,NC,0.11,-0.14
Burke,NC,-0.36,-0.04
McDowell,NC,-0.24,0.2
Mitchell,NC,-0.04,0.2
Yancey,NC,0.16,0.04
Alexander,NC,0,0.03
Caldwell,NC,-0.31,-0.02
Catawba,NC,-0.27,-0.07
Iredell,NC,-0.49,-0.01
Macon,NC,0.09,0.03
Graham,NC,0.51,0.25
Jackson,NC,0.04,-0.09
Swain,NC,0.01,0.14
Buncombe,NC,-0.56,0.01
Haywood,NC,0.02,0.02
Henderson,NC,-0.08,-0.04
Madison,NC,0.1,0.13
Transylvania,NC,-0.32,-0.04
Cherokee,NC,-0.06,0.07
Clay,NC,0.31,0.03
Cumberland,NC,-0.64,-0.33
Hoke,NC,-0.78,-0.27
Montgomery,NC,-0.31,0.19
Moore,NC,-0.45,-0.16
Richmond,NC,-0.59,0.06
Robeson,NC,-0.81,-0.22
Scotland,NC,-0.84,-0.2
Bladen,NC,-0.52,0.12
Brunswick,NC,-0.72,-0.29
Columbus,NC,-0.53,-0.13
New Hanover,NC,-0.66,-0.27
Pender,NC,-0.26,0.02
Edgecombe,NC,-0.58,-0.04
Nash,NC,-0.3,-0.03
Wilson,NC,-0.64,-0.01
Chatham,NC,-0.23,-0.05
Durham,NC,-0.61,-0.41
Franklin,NC,-0.58,-0.15
Granville,NC,-0.41,0.05
Harnett,NC,-0.43,0.04
Johnston,NC,-0.29,0.21
Lee,NC,-0.41,-0.07
Orange,NC,-0.54,-0.46
Person,NC,-0.38,0.07
Wake,NC,-0.54,-0.19
Vance,NC,-0.76,-0.03
Warren,NC,-0.52,0.13
Duplin,NC,-0.04,0.18
Sampson,NC,-0.31,0.07
Wayne,NC,-0.54,-0.02
Carteret,NC,-0.23,-0.06
Craven,NC,-0.3,-0.13
Greene,NC,-0.46,0.15
Jones,NC,-0.25,-0.02
Lenoir,NC,-0.42,0.12
Onslow,NC,-0.11,-0.12
Pamlico,NC,-0.12,0
Pitt,NC,-0.56,-0.15
Camden,NC,0.08,0.1
Chowan,NC,-0.57,0.04
Currituck,NC,0.04,-0.03
Gates,NC,-0.09,0.09
Pasquotank,NC,-0.51,-0.09
Perquimans,NC,-0.38,0.24
Beaufort,NC,-0.4,0.06
Dare,NC,-0.31,-0.26
Hyde,NC,-0.36,0.17
Martin,NC,-0.5,0.06
Washington,NC,-0.57,-0.19
Bertie,NC,-0.36,0.14
Halifax,NC,-0.52,-0.03
Hertford,NC,-0.56,-0.1
Northampton,NC,-0.58,0.01
Burleigh,ND,0.87,0.18
McLean,ND,0.97,0.37
Mercer,ND,1.43,0.46
Morton,ND,1.29,0.32
Emmons,ND,1.82,0.48
Benson,ND,-0.6,0.37
Nelson,ND,1.31,0.56
Ramsey,ND,0.7,0.33
Foster,ND,1.7,0.54
Rolette,ND,-0.77,-0.23
Bottineau,ND,1.55,0.48
McHenry,ND,1.55,0.47
Ward,ND,0.96,0.37
Pierce,ND,1.02,0.59
Wells,ND,1.44,0.57
Bowman,ND,1.87,0.68
Stark,ND,1.58,0.46
McKenzie,ND,1.23,0.7
Mountrail,ND,0.39,0.44
Williams,ND,1.57,0.48
Sioux,ND,-1.22,-0.7
Cavalier,ND,1.62,0.6
Pembina,ND,1,0.32
Walsh,ND,1.04,0.42
Grand Forks,ND,0.69,0.15
Traill,ND,1.3,0.39
Cass,ND,0.63,0.05
Richland,ND,1.41,0.4
Dickey,ND,1.3,0.43
Ransom,ND,1.48,0.31
Sargent,ND,0.81,0.72
Barnes,ND,1.24,0.39
Lamoure,ND,1.92,0.6
Stutsman,ND,0.91,0.34
Champaign,OH,0.25,0.09
Clark,OH,-0.31,0.08
Darke,OH,0.54,0.34
Greene,OH,-0.24,-0.1
Logan,OH,0.2,0.11
Miami,OH,0.2,0.07
Montgomery,OH,-0.45,-0.03
Preble,OH,0.26,0.15
Shelby,OH,0.49,0.27
Clinton,OH,0.08,-0.03
Fayette,OH,-0.24,0.12
Highland,OH,0.06,0.06
Adams,OH,0.07,0.33
Brown,OH,0.02,0.22
Butler,OH,0.06,0.15
Clermont,OH,-0.08,0.2
Hamilton,OH,-0.4,0.32
Warren,OH,0.52,0.17
Hancock,OH,0.3,0.13
Hardin,OH,0.12,0.16
Sandusky,OH,0.27,0.13
Seneca,OH,0.44,0.22
Wyandot,OH,0.75,0.39
Allen,OH,-0.1,0.23
Auglaize,OH,0.79,0.34
Mercer,OH,1.02,0.6
Putnam,OH,1.09,0.56
Van Wert,OH,0.3,0.32
Fulton,OH,0.62,0.1
Henry,OH,0.58,0.43
Lucas,OH,-0.56,-0.04
Ottawa,OH,0.2,0.08
Wood,OH,0.13,0.1
Defiance,OH,0.43,0.15
Paulding,OH,0.54,0.29
Williams,OH,0.43,0.21
Carroll,OH,0.44,0.19
Coshocton,OH,-0.19,0.11
Harrison,OH,0.24,0.23
Holmes,OH,0.81,0.25
Stark,OH,-0.26,0.14
Tuscarawas,OH,0.47,0.13
Wayne,OH,0.36,0.15
Erie,OH,-0.29,0.02
Huron,OH,0.32,0.12
Lorain,OH,-0.24,-0.14
Ashtabula,OH,-0.07,-0.02
Cuyahoga,OH,-0.29,0.08
Geauga,OH,0.45,0.26
Lake,OH,0.23,-0.16
Medina,OH,0.6,-0.01
Portage,OH,0.16,0.06
Summit,OH,-0.3,-0.05
Washington,OH,0.15,0.13
Guernsey,OH,0.04,0.21
Morgan,OH,0.27,0.21
Muskingum,OH,-0.14,0.17
Noble,OH,0.7,0.46
Perry,OH,0.2,0.23
Jefferson,OH,-0.13,0.12
Belmont,OH,0.27,0.22
Monroe,OH,0.76,0.38
Jackson,OH,-0.2,0.1
Pike,OH,-0.2,0.1
Ross,OH,-0.36,0.03
Scioto,OH,-0.24,0.03
Vinton,OH,-0.01,-0.16
Athens,OH,-0.44,-0.22
Gallia,OH,-0.06,0.02
Meigs,OH,0.24,0.12
Delaware,OH,0.06,0.29
Fairfield,OH,0.34,0.22
Franklin,OH,-0.43,0.24
Hocking,OH,0.03,0.05
Knox,OH,0.45,0.15
Licking,OH,0.09,0.04
Madison,OH,0.33,0.04
Pickaway,OH,-0.15,0.33
Union,OH,0.33,0.13
Ashland,OH,0.39,0.2
Crawford,OH,-0.05,0.28
Marion,OH,-0.12,0.13
Morrow,OH,0.21,0.24
Richland,OH,-0.15,0.14
Columbiana,OH,0.17,0.21
Mahoning,OH,-0.5,0.06
Trumbull,OH,-0.46,-0.04
Lawrence,OH,0,0.1
Nowata,OK,0.49,0.26
Washington,OK,0.21,0.06
Ottawa,OK,0.18,0.29
Haskell,OK,0.66,0.16
Latimer,OK,0.58,0.46
Le Flore,OK,0.56,0.37
Pittsburg,OK,0.33,0.23
Sequoyah,OK,0.3,0.29
Adair,OK,-0.12,-0.06
Cherokee,OK,0.03,-0.02
McIntosh,OK,0.37,0.24
Muskogee,OK,-0.13,0.11
Delaware,OK,0.28,0.34
Noble,OK,0.32,0.26
Payne,OK,0.54,0.01
Craig,OK,0.53,0.3
Creek,OK,0.4,0.22
Kay,OK,0.16,0.16
Mayes,OK,0.43,0.21
Osage,OK,0.27,0.07
Pawnee,OK,0.54,0.15
Rogers,OK,0.54,0.21
Tulsa,OK,0.1,0.07
Wagoner,OK,0.09,0.27
Okfuskee,OK,0.33,0.4
Okmulgee,OK,0.3,0.18
Woodward,OK,0.87,0.38
Alfalfa,OK,1.01,0.73
Blaine,OK,0.39,0.39
Dewey,OK,1.45,0.53
Garfield,OK,0.41,0.26
Grant,OK,0.8,0.39
Major,OK,1.53,0.34
Woods,OK,1,0.31
Beaver,OK,1.24,0.57
Texas,OK,0.85,0.25
Comanche,OK,0.02,0.02
Cotton,OK,0.64,0.11
Jefferson,OK,0.87,0.11
Stephens,OK,0.61,0.42
Jackson,OK,0.34,0.1
Kiowa,OK,0.59,0.53
Tillman,OK,0.32,0.34
Carter,OK,0.22,0.23
Garvin,OK,0.71,0.31
Johnston,OK,0.6,0.34
Love,OK,0.51,0.61
Marshall,OK,0.47,0.34
Murray,OK,0.55,0.53
Beckham,OK,1.11,0.63
Custer,OK,0.76,0.34
Washita,OK,1.2,0.4
Caddo,OK,0.28,0.36
Grady,OK,0.39,0.34
Canadian,OK,0.62,0.25
Cleveland,OK,0.2,0.03
Kingfisher,OK,1.04,0.56
Lincoln,OK,0.66,0.37
Logan,OK,0.56,0.16
McClain,OK,0.72,0.35
Oklahoma,OK,-0.34,0.17
Pottawatomie,OK,0.17,0.24
Seminole,OK,0.08,0.21
Atoka,OK,0.62,0.32
Coal,OK,0.94,0.81
Hughes,OK,0.39,0.37
Pontotoc,OK,0.39,0.24
Bryan,OK,0.18,0.25
Choctaw,OK,0.09,0
McCurtain,OK,0.08,0.21
Pushmataha,OK,0.55,0.05
Malheur,OR,0.18,0.01
Klamath,OR,0.05,0.08
Harney,OR,0.55,0.14
Lake,OR,0.37,0.28
Jackson,OR,-0.2,-0.06
Josephine,OR,0.02,-0.08
Curry,OR,0.01,-0.11
Coos,OR,0.05,-0.12
Douglas,OR,-0.14,-0.08
Clatsop,OR,0.16,-0.14
Clackamas,OR,0.14,-0.14
Columbia,OR,0.37,0
Multnomah,OR,-0.1,-0.07
Washington,OR,0.4,0.08
Hood River,OR,0.37,-0.18
Wasco,OR,0.05,-0.1
Benton,OR,-0.1,-0.33
Lane,OR,-0.07,-0.05
Linn,OR,-0.04,-0.01
Marion,OR,0.03,0.02
Polk,OR,-0.03,-0.02
Yamhill,OR,-0.03,-0.03
Lincoln,OR,-0.28,-0.19
Tillamook,OR,0.13,0.03
Morrow,OR,0.35,0.22
Umatilla,OR,0.19,0.18
Baker,OR,0.61,0.09
Union,OR,0.49,0
Wallowa,OR,0.6,-0.06
Crook,OR,0.28,0.14
Deschutes,OR,0.18,-0.28
Jefferson,OR,-0.69,-0.14
Grant,OR,0.62,0.08
Centre,PA,0.35,0.01
Clearfield,PA,0.38,0.19
Huntingdon,PA,0.51,0.27
Jefferson,PA,0.52,0.26
Bedford,PA,0.67,0.38
Blair,PA,0.09,0.09
Cambria,PA,0.65,0.24
Somerset,PA,0.67,0.35
Allegheny,PA,-0.21,0.19
Armstrong,PA,0.39,0.37
Beaver,PA,0.05,0.13
Butler,PA,0.49,0.13
Fayette,PA,-0.1,0.13
Greene,PA,0.44,0.26
Indiana,PA,0.65,0.29
Washington,PA,0.52,0.29
Westmoreland,PA,0.36,0.22
Lawrence,PA,0.12,0.11
Mercer,PA,0.07,0.15
Clarion,PA,0.66,0.33
Crawford,PA,0.33,0.11
Erie,PA,-0.08,0.1
Forest,PA,0.96,0.09
Venango,PA,0.12,0.06
Warren,PA,0.37,0.1
Franklin,PA,0.57,0.32
Fulton,PA,0.77,0.48
Susquehanna,PA,0.41,0.14
Tioga,PA,0.5,0.2
McKean,PA,0.08,0.21
Potter,PA,0.59,0.17
Cameron,PA,0.05,-0.02
Elk,PA,0.6,0.27
Montour,PA,0.31,-0.03
Northumberland,PA,0.42,0.16
Snyder,PA,0.7,0.28
Union,PA,0.71,0.11
Columbia,PA,0.56,0.18
Lackawanna,PA,0.06,0
Luzerne,PA,0.19,0.04
Monroe,PA,0.23,-0.08
Pike,PA,0.29,-0.04
Wayne,PA,0.6,0.1
Wyoming,PA,0.51,0.23
Bradford,PA,0.44,0.23
Clinton,PA,0.3,0.03
Lycoming,PA,0.16,0.11
Sullivan,PA,1.09,0.21
Carbon,PA,0.4,0.28
Lehigh,PA,0.08,0.1
Northampton,PA,0.35,0.13
Berks,PA,0.37,0.09
Lancaster,PA,0.36,0.14
Lebanon,PA,0.65,0.32
Schuylkill,PA,0.53,0.33
Adams,PA,0.54,0.39
Cumberland,PA,0.7,0.13
Dauphin,PA,-0.3,0.07
Juniata,PA,0.78,0.44
Mifflin,PA,0.27,0.3
Perry,PA,0.75,0.36
York,PA,0.29,0.24
Bucks,PA,0.62,-0.05
Chester,PA,0.48,0.32
Delaware,PA,0.08,-0.01
Montgomery,PA,0.49,0.15
Philadelphia,PA,-0.12,0.04
Bristol,RI,0.35,-0.05
Kent,RI,0.15,-0.02
Newport,RI,0.13,-0.06
Providence,RI,0.15,-0.09
Washington,RI,0.15,-0.08
Cherokee,SC,-0.54,-0.08
Spartanburg,SC,-0.36,0.08
Union,SC,-0.61,-0.02
Chester,SC,-0.56,-0.08
Lancaster,SC,-0.58,0.03
York,SC,-0.27,-0.26
Chesterfield,SC,-0.48,0.08
Marlboro,SC,-0.75,-0.22
Darlington,SC,-0.52,-0.11
Dillon,SC,-0.58,0.05
Florence,SC,-0.43,-0.18
Georgetown,SC,-0.68,-0.17
Horry,SC,-0.63,-0.17
Marion,SC,-0.62,-0.06
Williamsburg,SC,-0.53,-0.06
Clarendon,SC,-0.47,0.13
Kershaw,SC,-0.29,-0.08
Lee,SC,-0.69,-0.02
Sumter,SC,-0.54,-0.18
Calhoun,SC,-0.57,-0.11
Fairfield,SC,-0.77,-0.13
Lexington,SC,-0.23,-0.02
Newberry,SC,-0.41,-0.01
Orangeburg,SC,-0.5,-0.07
Richland,SC,-0.75,-0.32
Saluda,SC,-0.35,0.04
Allendale,SC,-0.88,-0.16
Bamberg,SC,-0.61,-0.1
Barnwell,SC,-0.47,0.02
Hampton,SC,-0.46,-0.04
Berkeley,SC,-0.29,-0.23
Charleston,SC,-0.48,-0.26
Colleton,SC,-0.36,0.01
Dorchester,SC,-0.08,-0.12
Abbeville,SC,-0.28,0.05
Anderson,SC,-0.17,-0.12
Greenville,SC,-0.73,-0.25
Greenwood,SC,-0.46,-0.08
Laurens,SC,-0.44,0.01
McCormick,SC,-0.73,-0.24
Oconee,SC,-0.31,-0.04
Pickens,SC,-0.31,-0.12
Aiken,SC,-0.52,-0.1
Edgefield,SC,-0.72,-0.04
Beaufort,SC,-0.48,-0.22
Jasper,SC,-0.54,-0.15
Brookings,SD,0.87,0.18
Kingsbury,SD,1.46,0.67
Moody,SD,0.86,0.28
Lake,SD,1.11,0.32
Clay,SD,0.75,0.13
Lincoln,SD,1.29,0.19
McCook,SD,1.79,0.43
Minnehaha,SD,0.71,-0.08
Turner,SD,1.45,0.51
Clark,SD,1.57,0.74
Codington,SD,0.87,0.28
Deuel,SD,1.51,0.4
Hamlin,SD,1.45,0.68
Grant,SD,1.01,0.34
Day,SD,0.84,0.46
Marshall,SD,1.53,0.51
Roberts,SD,-0.03,0.41
Walworth,SD,1,0.34
Brown,SD,0.86,0.23
Edmunds,SD,1.48,0.43
Spink,SD,1.62,0.57
Gregory,SD,1.09,0.23
Tripp,SD,0.87,0.55
Bon Homme,SD,1.33,0.4
Yankton,SD,0.97,0.1
Davison,SD,0.97,0.28
Beadle,SD,0.86,0.22
Charles Mix,SD,0.1,0.45
Douglas,SD,1.89,0.59
Hutchinson,SD,1.66,0.24
Brule,SD,0.81,0.29
Lyman,SD,-0.4,-0.06
Hughes,SD,0.5,0.17
Butte,SD,0.81,0.46
Custer,SD,0.54,0.39
Fall River,SD,0.29,0.21
Lawrence,SD,0.76,0.05
Meade,SD,0.85,0.13
Pennington,SD,0.25,-0.01
Dewey,SD,-0.9,-0.22
Todd,SD,-1.69,-0.61
Shannon,SD,-1.85,-1.21
Union,SD,1.12,0.14
Carter,TN,-0.19,0.01
Greene,TN,-0.24,0.03
Hawkins,TN,-0.15,0.15
Sullivan,TN,-0.31,-0.07
Unicoi,TN,0.2,0.22
Washington,TN,-0.31,-0.16
Cocke,TN,-0.22,0.05
Grainger,TN,0.08,0.37
Hamblen,TN,-0.18,-0.08
Jefferson,TN,0.06,-0.01
Sevier,TN,-0.16,0.04
Claiborne,TN,-0.07,0.02
Hancock,TN,0.16,-0.2
Anderson,TN,-0.14,-0.14
Blount,TN,-0.12,-0.01
Campbell,TN,-0.11,-0.04
Knox,TN,-0.37,-0.1
Loudon,TN,0.07,-0.1
Morgan,TN,0.14,0.25
Roane,TN,-0.18,-0.01
Union,TN,0.26,0.05
Johnson,TN,-0.15,0.09
Scott,TN,0.01,0.05
Chester,TN,0.12,0.14
Crockett,TN,-0.19,0.01
Gibson,TN,-0.47,0.1
Hardeman,TN,-0.42,0.1
Madison,TN,-0.76,-0.07
Dyer,TN,-0.19,0.05
Haywood,TN,-0.72,0.07
Lake,TN,-0.58,0.03
Lauderdale,TN,-0.67,0.13
Decatur,TN,0.35,0.21
Henderson,TN,0.07,0.11
Perry,TN,0.29,0.09
Hardin,TN,0.01,0.14
McNairy,TN,0.11,0.15
Fayette,TN,-0.57,-0.03
Shelby,TN,-0.66,0.06
Tipton,TN,-0.57,0.07
Clay,TN,0.04,0.35
Giles,TN,0.01,0.1
Hickman,TN,-0.05,0.1
Lewis,TN,-0.03,-0.12
Marshall,TN,0.1,-0.03
Maury,TN,-0.31,-0.07
Cannon,TN,0.5,0.19
Cheatham,TN,0.03,0.08
Davidson,TN,-0.44,-0.07
Macon,TN,0.25,0.23
Robertson,TN,-0.03,0.25
Rutherford,TN,0.1,0.12
Smith,TN,0.33,0.27
Sumner,TN,0.09,-0.01
Trousdale,TN,-0.13,0.22
Williamson,TN,0.22,-0.16
Wilson,TN,0.01,0.2
Bedford,TN,-0.21,0.03
Coffee,TN,-0.01,0.08
Franklin,TN,-0.03,0.02
Benton,TN,0.07,0.09
Carroll,TN,0.01,0.24
Dickson,TN,0.08,0.07
Henry,TN,-0.13,0.04
Humphreys,TN,-0.17,0.1
Houston,TN,0.02,0.32
Montgomery,TN,-0.18,-0.09
Stewart,TN,0.21,0.24
Lincoln,TN,0.33,0.22
Lawrence,TN,0.14,0.25
Wayne,TN,0.29,0.38
DeKalb,TN,0.21,0.12
Warren,TN,-0.01,0.05
White,TN,-0.27,0.1
Jackson,TN,0.1,0.03
Overton,TN,0.39,0.22
Putnam,TN,0.15,-0.08
Grundy,TN,-0.17,0.04
Hamilton,TN,-0.47,-0.09
Marion,TN,0.09,0.09
Sequatchie,TN,0.21,0.07
Bledsoe,TN,0.03,0.19
Cumberland,TN,0.21,0.09
Fentress,TN,0.02,0.34
Rhea,TN,0.07,0.15
Bradley,TN,-0.15,-0.06
McMinn,TN,0.01,0.1
Meigs,TN,0.16,0.16
Monroe,TN,-0.11,0.15
Polk,TN,0.15,0.2
Obion,TN,-0.12,0.02
Weakley,TN,-0.01,0.14
El Paso,TX,-0.04,-0.31
Gaines,TX,0.91,0.41
Terry,TX,0.07,0.25
Yoakum,TX,1.32,0.44
Crosby,TX,0.4,0.37
Hockley,TX,0.75,0.23
Lubbock,TX,-0.22,0.09
Lynn,TX,0.33,0.35
Parmer,TX,0.5,0.23
Bailey,TX,0.38,0.14
Castro,TX,0.5,0.49
Lamb,TX,0.43,0.38
Deaf Smith,TX,0.13,0.31
Potter,TX,-0.25,0.11
Randall,TX,0.48,0.2
Carson,TX,1.18,0.47
Gray,TX,0.6,0.33
Hutchinson,TX,0.61,0.32
Wheeler,TX,1.26,0.43
Floyd,TX,0.15,0.44
Hale,TX,0.27,0.15
Swisher,TX,0.26,0.38
Hansford,TX,1.14,0.72
Ochiltree,TX,1.36,0.54
Dallam,TX,0.77,0.23
Moore,TX,0.54,0.37
Calhoun,TX,0.16,0.19
Dewitt,TX,0.31,0.36
Goliad,TX,0.42,0.26
Jackson,TX,0.41,0.4
Lavaca,TX,0.71,0.46
Victoria,TX,-0.07,0.01
Colorado,TX,0.34,0.34
Fayette,TX,0.65,0.47
Gonzales,TX,0.03,0.18
Bastrop,TX,0.18,0.16
Blanco,TX,0.41,-0.01
Caldwell,TX,-0.24,0.07
Hays,TX,-0.28,-0.13
Lee,TX,0.76,0.44
Milam,TX,0.23,0.35
Travis,TX,-0.46,-0.33
Williamson,TX,0.06,-0.1
Burnet,TX,0.16,0.12
Llano,TX,0.26,0.31
Atascosa,TX,0.24,0.26
Bandera,TX,0.22,-0.14
Bexar,TX,-0.48,-0.19
Comal,TX,0.18,-0.03
Guadalupe,TX,-0.12,-0.01
Kendall,TX,0.33,-0.1
Live Oak,TX,0.64,0.07
Medina,TX,0.13,0.23
Wilson,TX,0.14,0.21
Bee,TX,0.26,0.14
Karnes,TX,0.29,0.45
Gillespie,TX,0.59,0.17
Kerr,TX,-0.01,0.05
Andrews,TX,1.31,0.43
Crane,TX,1.53,0.42
Ector,TX,0.8,0.37
Martin,TX,1.07,0.56
Midland,TX,0.74,0.2
Reeves,TX,0.97,0.19
Ward,TX,0.91,0.3
Winkler,TX,1.28,0.55
Crockett,TX,0.92,0.39
Pecos,TX,1.05,0.38
Brewster,TX,0.18,0.07
Presidio,TX,0.74,-0.15
Dimmit,TX,0.18,0.1
Zavala,TX,-0.08,-0.27
Frio,TX,0.16,0.02
La Salle,TX,0.26,0.06
Jim Hogg,TX,0.1,-0.04
Webb,TX,-0.02,-0.28
Zapata,TX,0.54,0.29
Cameron,TX,0.29,-0.35
Hidalgo,TX,-0.05,-0.18
Starr,TX,0.4,-0.02
Willacy,TX,0.01,-0.19
